xi,b,a
0.348246155634211,0.0100214889906089,0.267996043720321
0.0886565414927125,0.199934471160214,-0.162555536329828
0.499934700942739,0.14208226205214,0.0844328496948774
0.499999922969575,0.0900316381949473,0.208048228740724
0.499941937857983,0.0288294011372164,0.185483603455257
0.498933051628484,0.0176139006019171,0.27593853318024
0.497959906099069,0.0143620117394212,0.189755852466508
0.498825123576338,0.04293839903919,0.243969395586179
0.499061291066925,0.0602126639425361,0.140105183826938
0.499997804636957,0.0273180424902553,0.224735920734605
0.496837069018047,0.0170920933483629,0.173417220440216
-0.112301490985506,0.0918913630877102,-0.0500802901128711
-0.0303242036246622,0.199836052227252,-0.290853160991262
0.499291757061389,0.0277870590685812,0.249781035696373
-0.0650587919783492,0.199986777868616,-0.0224518343542905
0.500813383884037,0.0375265638374983,0.208665565235384
0.499965830215205,0.020137705310151,0.31157627305503
0.499654822057704,0.0680988510245926,0.0700731456370277
0.498663928608601,0.0187896816838688,0.200918980339623
0.499167855132747,0.0202602891734385,0.218002287326684
0.498957119615999,0.0167356883482945,0.166673888635419
-0.146100003860585,0.122022834355968,-0.0527019898161162
0.497510715530079,0.0158705546782028,0.174091979030742
0.214948727759874,0.199853193896242,-0.156918755662119
0.104968476028266,0.199988730099653,-0.341295532941962
-0.0268889326312486,0.200950425317414,-0.250385819169708
0.163902710816005,0.0585833685958576,0.0163578407704076
0.499992403050311,0.0222543950079913,0.161684055960683
-0.0111505877130764,0.143617507220485,-0.157494842240145
-0.149999742908743,0.175707282318659,-0.204980498476888
-0.0655963359656599,0.199995460716169,-0.269059501735885
0.134093912603446,0.0934927011822223,-0.0241930219200465
0.022739842318957,0.200040468666305,-0.208854187677824
0.129616058200628,0.192746708026433,-0.0939306518054932
0.157333724891933,0.197461247020961,-0.212581465816289
-0.0200936463462582,0.199911371837722,-0.232020645658502
-0.0189238431549332,0.200188611168239,-0.247885683855645
0.3625252967859,0.163696306763741,-0.147969994693005
0.130671375191386,0.171633083759793,-0.11812010939293
0.0527374879431555,0.1996077877774,-0.241527983099674
0.0332303973210364,0.199998783583827,-0.212299963598335
0.00859995631487811,0.200009587249741,-0.227920023745471
-0.0471574251814396,0.199997381674,-0.164306081501298
-0.0900405144447053,0.199996690223652,-0.205652394549424
0.0284868615433207,0.200950226915559,-0.295316258515506
-0.00721055696082017,0.20088833631139,-0.259758173126691
0.499924694728229,0.0168665832098047,0.18001186714869
0.499999669451889,0.0203167787040558,0.161062251228045
0.117337923519723,0.19999516369673,-0.314738191099901
0.176799315001534,0.199930156282486,-0.327224491112919
0.499160697982129,0.0277010169920665,0.206672716669856
0.499775091549204,0.0363042085425518,0.14446094065982
0.499693124982989,0.0324362112299984,0.141846063225159
0.493917416102258,0.0178197743254642,0.148622955621235
