xi,b,a
0.499971461671196,0.0932771161344694,-0.0729507634633474
0.499974188184114,0.12854335716296,-0.0652984970748385
-0.0600723320938819,0.249856395517459,-0.126009714375769
-0.0812324387522414,0.249999905298045,-0.150921345605111
0.34644008885288,0.0200000181089284,0.184637282535916
0.121764209579337,0.0646957629030761,0.0895029117771626
0.417749217867956,0.0101352832914967,0.174364542432086
0.0704126538600998,0.0792558101841972,0.102720672630995
-0.142039804438645,0.0657453794619236,0.179133712408032
0.260579758576545,0.0100001753539545,0.178261868447683
0.410583711523778,0.0155064970290466,0.151187476186569
0.352519433715997,0.0168934482452621,0.112029682346856
0.499926628989445,0.0270807354182672,0.0824716907421549
0.00707134249318808,0.107499960266458,0.0273565877381713
0.499965586044859,0.0146116577332069,0.35745992574148
-0.112331116073797,0.250786942839588,-0.229403483323117
0.0162737862411012,0.108050425361808,0.0087126408393259
-0.0147120676814633,0.127170694859736,-0.0312037373386916
0.156913852621594,0.057718748237444,0.0521750062859177
0.353987110502843,0.0196615717568559,0.170020147077259
0.324291519106491,0.0258153217168328,0.102285258221679
0.136081152315442,0.0734154990722053,-0.0304393397833553
0.320287992285402,0.0248118834732333,0.120833820908368
0.499356928247756,0.014924414682518,0.296984226081423
0.499948682211482,0.0209704996611854,0.139484260568885
0.500940256166934,0.0162336326156916,0.177969447258508
-0.0219525111977987,0.0769376853432635,-0.026104284670281
0.401216952252785,0.118441327642403,-0.49999954072171
-0.149995304444654,0.122642617815568,-0.0802827819035378
0.276459162848433,0.0245034391708328,0.0853725697379935
0.499998266995447,0.0148428001639542,0.141146342503708
0.109702597706576,0.0682032835935975,0.0138479378724385
0.494968325866683,0.0356663344616456,-0.285427206640841
0.497253190163196,0.0314966398261446,0.23190975638337
0.49874581030878,0.0214345130920561,0.266326263082799
0.499782338341102,0.0176802330428295,0.19376979950029
0.500182388129469,0.0135566785670336,0.192395650992495
0.498475650706823,0.017271228914827,0.29573987020324
-0.0226676885626701,0.109070602421379,0.0198436082434287
0.499092555099065,0.0180258414601886,0.223966052596622
0.499995389255147,0.0153771051823955,0.236368740456884
0.500012096914464,0.0140717104682808,0.21994604637976
0.499999888178049,0.0196750770349035,0.227185141559663
0.499994744072893,0.0138369247758655,0.205121813680616
0.500948104347561,0.0144052891523072,0.168615575385988
0.500998665601046,0.0189483636439297,0.141677478844819
0.426833196748041,0.0139509912141208,0.159561902614153
0.480407852657594,0.0100000747964833,0.164384599402516
-0.149978208916089,0.135551054427861,-0.059301850076058
0.499471607050383,0.0118396422986619,0.234872330224601
0.1682626586479,0.0516843326157079,0.0958636088610682
0.386573572701762,0.0157430296117802,0.177340246187962
0.379566670419897,0.0166050347256177,0.166973573024753
0.421662735471642,0.013225298325117,0.143448334014407
