moneyness,9,16,23,51,86,142,233,331
-0.8387333472022654,,,,,,120.33000000000001,,
-0.8376429655161777,,,,197.28,,,,
-0.7770147967406253,,,,,,,105.6,
-0.7512454999619959,,,,172.86,,,,
-0.7511804414556608,,,,172.8,,,,
-0.7511796847612486,,,,172.79,,,,
-0.7511229195604389,,,,172.78,,,,
-0.7510498091243565,,,,172.7,,,,
-0.7314243693709905,,,,,,122.78,,
-0.7310390606592986,,,,175.45,,,,
-0.7269220455286489,,,,163.86,,,,
-0.7231156357708017,,,,160.77,,,,
-0.6992943257932753,,,,158.99,,,,
-0.6803975002823155,,,,,,122.56,,
-0.6774681681240178,,,,,,,,104.55
-0.6773245472392829,,,156.94,,,,,
-0.6766192482691045,,,,155.02,,,,
-0.6765917949721343,,,184.24,,,,,
-0.6747290492980653,,,,154.62,,,,
-0.674654265933265,,,,154.59,,,,
-0.6728217974843268,,,,,,,,104.8
-0.672462622526274,,,196.007,,,,,
-0.6722014540597168,,,,153.62,,,,
-0.672173424629392,,,,153.61,,,,
-0.6721035540695774,,,,153.58,,,,
-0.6720490702044555,,,,153.54,,,,
-0.669482037037292,,,,,,,,104.62
-0.6680073635966755,,,,,,,,104.55
-0.6679856857561985,,,,,,,108.8,
-0.6657859197279051,,,,,,,,104.05000000000001
-0.6655209831230251,,,,,,,,103.35000000000001
-0.6654564553940546,,,,,,,,103.34
-0.664969644853864,,,,,,,,103.8
-0.6495208680667139,,,,149.48,,,,
-0.6395189296928812,,,,148.9,,,,
-0.6374895987400254,,,,148.41,,,,
-0.6240350120080531,,,,,,111.87,,
-0.6182264162777348,,,,,,113.95,,
-0.6123864673041064,,,154.08,,,,,
-0.6103795988078728,,,,,,115.55,,
-0.5867743551062844,,,,141.76000000000002,,,,
-0.5858122470348299,,,,143.73,,,,
-0.5856362748369617,,,,143.67,,,,
-0.5850205705303189,,,,143.52000000000004,,,,
-0.5720919435343226,,,,,,,102.58,
-0.5710884675607506,,,153.97,,,,,
-0.5697660629857106,,,146.36,,,,,
-0.5693352716834981,,,153.02,,,,,
-0.5692514451614015,,,153.03,,,,,
-0.5692471544063189,,,153.03,,,,,
-0.5692457627917182,,,153.01,,,,,
-0.5692247715141264,,,153.01,,,,,
-0.5692245395548797,,,153.01,,,,,
-0.5692240756356368,,,153.01,,,,,
-0.5692226838719128,,,153.01,,,,,
-0.5692217560244337,,,153.01,,,,,
-0.5692207121912423,,,153.0,,,,,
-0.569220364245721,,,153.0,,,,,
-0.5692103895684295,,,153.0,,,,,
-0.5692064459639491,,,153.02,,,,,
-0.5692041261628795,,,153.01,,,,,
