,a,b,rho,m,sigma,a_ttm,b_ttm,rho_ttm,m_ttm,sigma_ttm
IV_matrix_2020-02-01.csv,-0.42023172031630707,10.412850893258529,0.1418435142263448,0.014893921611126612,0.06673388930075407,0.07627031285876508,0.6373080035744842,-0.009451606143312006,-0.003516567452701466,0.005998768170517622
IV_matrix_2020-11-27.csv,0.5036797980340796,2.25780719748248,-0.42445957588022726,0.04697083079651659,0.05900817591164704,0.22980129943219285,2.2001057779346485,-0.010797503952905671,-0.00707458663033621,0.004316038347834341
IV_matrix_2019-11-23.csv,-1.4935859218337755,13.78284272785239,-0.28061048415321094,0.014515516397536746,0.09309472979330531,0.22178872373803868,0.6507196363665221,-0.002008339115018286,-0.0029547865235402954,0.005312676287970845
IV_matrix_2020-07-29.csv,0.332656787184482,9.985290441463862,0.40071773255268006,0.02230086027724524,0.03714433360283495,0.21482437368657667,0.6344979011546162,-0.014263291302550362,-0.0022530531098634878,0.004166375276362348
IV_matrix_2021-04-11.csv,-2.0840016647587665,16.601940768180302,-0.20687739312496797,-0.02451835408430214,0.15724331208468004,-0.060501698810813555,1.9064851301580668,-0.009099812528391598,-0.00585975030771171,0.004804532915551115
IV_matrix_2022-03-28.csv,-2.175926704374817,17.156254624381607,-0.04467149420673604,-0.0024736918592471995,0.12257734233435752,0.18657801197664406,0.05132779529564395,-0.000854783164240067,0.0021613094140394548,0.009121080504826136
IV_matrix_2020-08-03.csv,-0.7893938593872523,18.0,0.1857320770142975,0.04647519985586923,0.05183877107997025,0.12218020623938272,0.22988663965289005,-0.015212687803593207,-0.005825030652172825,0.013232680249129866
IV_matrix_2019-08-07.csv,-0.27316575768607837,15.503452392600426,0.9603756407381783,0.31591913470105687,0.24774299656975746,0.5845198806900336,0.35099722860607213,-0.02520475894577493,-0.012242000311656094,0.0082162588923797
IV_matrix_2021-09-18.csv,0.1165614109443232,11.416368612820307,1.1649866547506584,0.8962448680807791,0.29144514910805985,-1.7036508050834984,0.384524184750174,0.2602267529767438,0.055434452786773114,0.15340181090925803
IV_matrix_2020-09-11.csv,-0.3747633128981702,1.0284365641004587,-1.0000022606263361,-1.0832159594256439,0.2570416161625067,0.33631096088400136,0.006094130587073312,3.229466194523606e-07,-0.8086785086019578,0.32317819497373956
IV_matrix_2020-03-13.csv,3.494974796870077,4.30323841259332,-0.0036565320841121943,0.8160520508525272,1.0,0.37890922646623837,0.9990927033013223,0.019927245936340477,0.009917682277983926,0.01118428031000198
IV_matrix_2021-07-20.csv,-3.798070494804636,12.218005947117186,-1.1099043624681713,-0.9049452734964263,0.9921638415678138,0.6926877804405411,1.5369726317674597,0.0005382760847139179,-0.1738001735330567,0.06227786924848085
IV_matrix_2020-04-18.csv,-1.0716954205961906,12.5746763553464,-0.20655174104803864,-0.0294078040987029,0.15267234842994853,-0.05780908277561267,1.8554902527942176,0.011678837158836563,0.005428779104029312,0.004144565556713684
IV_matrix_2022-07-12.csv,-2.531977037047824,18.0,0.10957145362372381,0.05032343450472589,0.15280396367110294,0.5129535250614196,-0.007773416657812163,-0.02465714341386053,0.001079742247245564,-0.0007335965409751401
IV_matrix_2021-05-03.csv,-0.8052089032074462,11.445620577423592,-0.3480519937303892,0.005940245555923975,0.07050636577675214,0.41386798226519494,0.2880468098996014,0.002867247703713279,0.0009989552182916113,0.0024898589185941397
IV_matrix_2020-01-30.csv,-1.5515755665744528,18.0,0.17007131750539953,0.027518418077481056,0.11910926884479378,0.009230401915209636,0.7408198206732506,-0.0108954175259994,-0.0037207381348349578,0.0056579482441549995
IV_matrix_2021-02-08.csv,1.7166266523340334,2.2589321513745895,-0.8674806361448946,-1.193004188345123,0.2696976095007513,0.7300401259594004,1.2860304351420806,0.03829504652777193,0.05969037129436679,0.011286962645141741
IV_matrix_2020-12-16.csv,1.2663613295329943,1.6956924458167963,0.3829102315882677,0.0625035554425804,0.09108985967932481,0.09403850482547645,1.7186243371831356,-0.020830972754677372,-0.006231399006845121,0.003593094071887938
IV_matrix_2021-07-27.csv,-1.2929732029185383,13.783280982344825,-0.06982778876998708,0.008625117406112234,0.09766315493463679,0.49901003263142396,0.3023145448485245,-0.0038387410258188515,0.0010609197465287002,0.0039448047790553
IV_matrix_2022-07-15.csv,-0.3527211821559411,0.020385456736778378,0.16662977517394117,0.38580584599750734,0.5172625090616275,0.5021520530822905,0.001195485278204253,-0.027776899408903363,-0.5330926387112107,0.11110201825568633
IV_matrix_2021-05-04.csv,-0.6367348860880349,12.908079584522266,-0.40855173757849317,-0.0065901336416578655,0.0686429678801301,0.5352068003527651,0.031650571617963696,-0.0027367432991489806,0.0023176339993959405,0.0012515490987108676
IV_matrix_2020-12-11.csv,-1.4381790561389136,16.208672360077674,-0.3332699075019793,0.015113208618622484,0.06553288169115022,0.3383185839284291,0.24191187781351517,0.0018808547496456326,-0.0017754335913272822,0.003971651097296981
IV_matrix_2021-11-29.csv,-2.196295178327991,16.202333577098553,-0.13388616174518622,0.0341427269541993,0.10525634806734901,0.4053401067432945,0.18521538684839156,-0.004727233775998768,-7.653512248106638e-05,0.00936193586391041
IV_matrix_2022-06-07.csv,-0.961034832582851,8.701518358106581,-0.8661451158656084,-0.49203899023272335,0.32791726636842544,-4.8015580976541345,30.904483347526543,-0.0008322829107320303,-0.006310219501099821,0.0014111655052114537
IV_matrix_2019-05-09.csv,-1.674408549469412,18.0,-0.19081556216889098,-0.0357160049595237,0.09053492744422335,0.3011165063618159,0.11257481306428131,0.004141328382220999,0.0016853562229630164,0.0036348601553734435
