date,mark_iv,putcall,tau,K,instrument_price,underlying_price,interest_rate,moneyness
2017-11-23,0.8593999999999999,1,0.09863013698630137,6000,2260.74,8152.68,0,0.735954311956314
2017-11-23,0.8568000000000001,1,0.09863013698630137,6000,2261.16,8154.19,0,0.735818027296396
2017-11-23,0.9347,1,0.09863013698630137,6500,1945.12,8217.64,0,0.790981352310396
2017-11-23,0.8328,1,0.09863013698630137,6500,1872.45,8180.23,0,0.794598684878054
2017-11-23,0.8341,1,0.09863013698630137,6500,1873.27,8180.23,0,0.794598684878054
2017-11-23,0.8632,1,0.09863013698630137,7500,1231.01,8201.29,0,0.914490281406949
2017-11-23,0.8851,1,0.09863013698630137,7500,1161.44,8099.27,0,0.92600938109237
2017-11-23,0.8773000000000001,1,0.09863013698630137,8000,933.36,8116.2,0,0.985682955077499
2017-11-23,0.8751000000000001,1,0.09863013698630137,8000,961.1,8172.63,0,0.978877056712466
2017-11-23,0.9309999999999999,1,0.09863013698630137,8000,979.89,8125.12,0,0.984600842818321
2017-11-23,0.8498,1,0.09863013698630137,8000,942.21,8186.01,0,0.97727708615064
2017-11-23,0.8498,1,0.09863013698630137,8000,942.21,8186.01,0,0.97727708615064
2017-11-23,0.8547,1,0.09863013698630137,8000,947.12,8186.01,0,0.97727708615064
2017-11-23,0.8547,1,0.09863013698630137,8000,946.26,8185.68,0,0.977316484397142
2017-11-23,0.8140999999999999,1,0.09863013698630137,8000,903.64,8170.35,0,0.979150220002815
2017-11-23,0.9077,1,0.09863013698630137,8000,983.31,8153.51,0,0.981172525697522
2017-11-23,0.8402,1,0.09863013698630137,8000,943.92,8200.86,0,0.975507446779972
2017-11-23,0.8487,1,0.09863013698630137,8000,946.63,8188.86,0,0.976936960700268
2017-11-23,0.87,1,0.09863013698630137,8000,964.77,8182.93,0,0.977644926694961
2017-11-23,0.8697,1,0.09863013698630137,8000,964.98,8184.77,0,0.977425144506199
2017-11-23,0.8744,1,0.09863013698630137,8000,969.15,8185.38,0,0.977352303741549
2017-11-23,0.8737999999999999,1,0.09863013698630137,8000,969.08,8184.77,0,0.977425144506199
2017-11-23,0.8739,1,0.09863013698630137,8000,970.88,8186.21,0,0.977253209971403
2017-11-23,0.8854000000000001,1,0.09863013698630137,8500,728.95,8117.48,0,1.04712299876316
2017-11-23,1.0197,1,0.09863013698630137,8500,909.28,8191.67,0,1.03763945569096
2017-11-23,0.8023,1,0.09863013698630137,8500,684.55,8188.34,0,1.03806143858218
2017-11-23,0.8023,1,0.09863013698630137,8500,684.5,8187.85,0,1.03812356113021
2017-11-23,0.8023,1,0.09863013698630137,8500,681.16,8187.02,0,1.03822880608573
2017-11-23,0.8023,1,0.09863013698630137,8500,681.18,8187.25,0,1.03819963968365
2017-11-23,0.8023,1,0.09863013698630137,8500,681.17,8187.1,0,1.03821866106436
2017-11-23,0.8042,1,0.09863013698630137,8500,681.02,8185.29,0,1.03844824068542
2017-11-23,0.8042,1,0.09863013698630137,8500,680.91,8184.07,0,1.03860304225159
2017-11-23,0.8031,1,0.09863013698630137,8500,680.9,8183.86,0,1.03862969307882
2017-11-23,0.8031,1,0.09863013698630137,8500,680.96,8184.63,0,1.03853198006507
2017-11-23,0.8029000000000001,1,0.09863013698630137,8500,684.53,8188.17,0,1.03808299046063
2017-11-23,0.8268000000000001,1,0.09863013698630137,8500,714.7,8196.07,0,1.03708240656803
2017-11-23,0.8236,1,0.09863013698630137,8500,715.41,8204.19,0,1.03605596652442
2017-11-23,0.8216,1,0.09863013698630137,8500,715.44,8204.63,0,1.03600040464957
2017-11-23,0.8515999999999999,1,0.09863013698630137,8500,742.59,8260.18,0,1.02903326561891
2017-11-23,0.8502,1,0.09863013698630137,8500,735.97,8186.59,0,1.03828333897264
2017-11-23,0.8479000000000001,1,0.09863013698630137,8500,735.6,8182.47,0,1.03880613066715
2017-11-23,0.8473,1,0.09863013698630137,8500,736.18,8188.86,0,1.03799552074404
2017-11-23,0.8238,1,0.09863013698630137,8500,714.14,8189.69,0,1.03789032307694
2017-11-23,0.8238,1,0.09863013698630137,8500,713.87,8186.62,0,1.03827953416673
2017-11-23,0.8748999999999999,1,0.09863013698630137,8500,758.23,8188.22,0,1.03807665157995
2017-11-23,0.8238,1,0.09863013698630137,8500,714.67,8195.72,0,1.03712669539711
2017-11-23,0.8233,1,0.09863013698630137,8500,714.81,8197.35,0,1.03692046820009
2017-11-23,0.8233,1,0.09863013698630137,8500,714.81,8197.35,0,1.03692046820009
2017-11-23,0.8234999999999999,1,0.09863013698630137,8500,715.02,8199.74,0,1.0366182342367
2017-11-23,0.8748999999999999,1,0.09863013698630137,8500,758.14,8187.29,0,1.03819456743318
2017-11-23,0.8751000000000001,1,0.09863013698630137,8500,758.28,8188.76,0,1.03800819660119
2017-11-23,0.8748999999999999,1,0.09863013698630137,8500,758.18,8187.7,0,1.03814257972324
2017-11-23,0.8837999999999999,1,0.09863013698630137,8500,766.0,8183.8,0,1.0386373078521
2017-11-23,0.8822,1,0.09863013698630137,8500,764.37,8183.8,0,1.0386373078521
2017-11-23,0.8758,1,0.09863013698630137,8500,757.74,8182.92,0,1.03874900402301
2017-11-23,0.8751000000000001,1,0.09863013698630137,8500,757.8,8183.6,0,1.03866269123613
2017-11-23,0.8751000000000001,1,0.09863013698630137,8500,758.2,8187.91,0,1.03811595388811
2017-11-23,0.8509,1,0.09863013698630137,8500,703.1,8147.12,0,1.04331346537181
2017-11-23,1.0399,1,0.09863013698630137,9000,762.74,8201.5,0,1.09736023898067
