test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,Tau_th,Premium_th,Delta_th,option_return,M_floor,Return_t,Cluster
2018-12-14,-1,3250,3208.22444933921,271.906563876652,14,1.01316425118302,0.0327380114342755,0.937183700440529,0.0237,0,72826.695,22.7,3743.905,0,1.8,0,0,1.01,0.013078355442600699,1
2018-12-14,-1,3500,3177.80906976744,443.051395348837,14,1.10140757011809,0.0444661432013724,0.870856744186047,0.0237,0,68322.895,21.5,3743.905,0,4.03778894472362,0,0,1.1,0.09658897100047943,1
2018-12-14,-1,3750,3242.01363636364,604.380909090909,14,1.15671585914107,0.0430532961520964,0.891954545454546,0.0237,0,35662.15,11,3743.905,0,150.970666666667,1,-0.9899153002546561,1.15,0.14558483390307908,1
2018-12-14,-1,4000,3210.86428571429,859.558571428571,14,1.24587461633383,0.035197311204436,0.953114285714286,0.0237,0,11238.025,3.5,3743.905,0,434.22,1,-0.7020621880666323,1.24,0.2198377863562675,1
2018-12-14,-1,5000,3230.98,1810.675,14,1.54773617099893,0.531995632215597,0.431275,0.0237,0,1292.392,0.4,3743.905,0,1413.125,1,-0.30628356828254666,1.54,0.4367933284710886,1
2019-02-08,-1,4000,3645.46090163935,388.162704918033,14,1.09753963407649,0.144527581728051,0.49794262295082,0.0238,0,44474.623,12.2,3944.88,0,99.665,1,-0.8579976919430232,1.09,0.09307097836887819,0
2019-05-17,-1,7500,7204.53834578442,691.824578441835,14,1.04114902281582,0.0355826599039685,0.923233511205977,0.0234,0,675065.243,93.7,8272.46,0,4.13118811881188,0,0,1.04,0.04032493290878518,1
2019-05-17,-1,7750,7205.32,868.24,14,1.07559414432669,0.0318198952327479,0.9532,0.0234,0,2882.128,0.4,8272.46,0,4.16149253731343,0,0,1.07,0.0728732012983578,1
2019-05-17,-1,8000,7250.27540540541,1020.38983783784,14,1.10343195924884,0.0339543586556219,0.952194054054054,0.0234,0,268260.19,37,8272.46,0,24.5889705882353,0,0,1.1,0.098425285773186,1
2019-05-17,-1,8250,7211.75,1226,14,1.14396644365099,0.0357390968197505,0.9339,0.0234,0,2884.7,0.4,8272.46,0,16.5508098591549,0.0105633802816901,0,1.14,0.1345015600544899,1
2019-06-21,-1,10500,9906.697,998.504,14,1.05989713661861,0.0367009364285268,0.92242,0.0207,0,99066.97,10,11160.49,0,8.58508130081301,0,0,1.05,0.058171862489360945,1
2019-06-28,-1,10000,11806.4322392834,336.998723608445,14,0.847064936483066,0.0101946575095826,1.19646900191939,0.0208,0,3690690.718,312.6,11352.87,0,5.75101214574899,0,0,0.84,-0.1659779208189039,1
2019-06-28,-1,10500,11795.0246734694,399.207816326531,14,0.890207679527798,0.0173866764177508,1.07526897959184,0.0208,0,577956.209,49,11352.87,0,8.3410843373494,0,0,0.89,-0.11630049569326838,1
2019-06-28,-1,11000,12163.4657142857,530.637142857143,14,0.904654598537717,0.0123147048527948,1.15617142857143,0.0208,0,8514.426,0.7,11352.87,0,23.6198125,0,0,0.9,-0.10020206720691788,1
2019-06-28,-1,11500,12013.6438095238,728.176031746032,14,0.957414059625212,0.0165563368389293,1.0955380952381,0.0208,0,75685.956,6.3,11352.87,0,61.1274700399467,0.161118508655127,-0.7979472083869493,0.95,-0.04351931691616764,1
2019-06-28,-1,12000,11693.1057615894,1195.66854304636,14,1.02628173624067,0.0121369166330522,1.17277086092715,0.0208,0,176565.897,15.1,11352.87,0,432.144035087719,1,-0.4587714097159217,1.02,0.025942305779596504,1
2019-06-28,-1,12500,12143.83,1299.39,14,1.02932929726454,0.00982989904306548,1.21612,0.0208,0,127510.215,10.5,11352.87,0,1118.95818181818,1,-0.11717806047453104,1.02,0.028907422435443877,1
2019-06-28,-1,13000,12081.442745098,1619.67568627451,14,1.07607089327053,0.0120938682663758,1.17855294117647,0.0208,0,123230.716,10.2,11352.87,0,1149.81,1,0.0169505006206755,1.07,0.07331634550836386,1
2019-06-28,-1,13500,12020.5112,1989.9288,14,1.12320951712469,0.0128514537269553,1.172336,0.0208,0,150256.39,12.5,11352.87,0,1641.41,1,0.07899840436502015,1.12,0.11619022747706093,1
2019-07-19,-1,9000,10506.1085714286,348.011428571429,14,0.856729016407508,0.00836469507730496,1.23044285714286,0.0202,0,7354.276,0.7,10407.17,0,5.2,0,0,0.85,-0.15463361061080041,1
2019-07-19,-1,9500,10493.621171875,513.83546875,14,0.905315425671033,0.00852742932923707,1.230922265625,0.0202,0,268636.702,25.6,10407.17,0,10.4,0,0,0.9,-0.09947185935392563,1
2019-07-19,-1,10000,10340.9822003929,798.891669941061,14,0.967041968493458,0.00862559957721681,1.23813693516699,0.0202,0,526355.994,50.9,10407.17,0,18.6763930885529,0,0,0.96,-0.03351338375350351,1
2019-07-19,-1,10500,10516.6398039216,897.277647058824,14,0.9984204381715,0.0131208398941198,1.15311764705882,0.0202,0,53634.863,5.1,10407.17,0,69.0682711864407,0.311864406779661,-0.8965426138673059,0.99,-0.0015808106515204441,1
2019-07-19,-1,11000,10608.17,1193.42,14,1.03693662526147,0.01107823968415,1.1933,0.0202,0,10608.17,1,10407.17,0,524.601333333333,1,-0.5032511605302409,1.03,0.036270813842244544,1
2019-07-26,-1,11000,9800.46,1470.07,14,1.12239629568408,0.0379691773463009,0.9214,0.0208,0,980.046,0.1,11996.41,0,12.7392682926829,0,0,1.12,0.11546594944792389,1
