Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2020-07-04,1,9000,9121.83935406699,539.227990430622,27,0.986670901431068,0.894757160336172,0.474482296650718,0.0014,0,762585.77,83.6,11114.93,2114.9300000000003,2.92214432027358,0.98,-0.013329098568932052,1
2020-07-04,-1,9000,9131.60668918919,383.39722972973,27,0.985596630610638,0.107804811909987,0.468359459459459,0.0014,0,540591.116,59.2,11114.93,0,-1,0.98,-0.014403369389362042,1
2020-07-04,1,9250,9082.02405156538,377.139981583794,27,1.01849795342777,0.879499335029505,0.44812817679558,0.0014,0,986307.812,108.6,11114.93,1864.9300000000003,3.9449278545548347,1.01,0.018497953427770053,1
2020-07-04,-1,9250,9139.78285714286,507.254285714286,27,1.01205959994999,0.109712499686848,0.468671428571429,0.0014,0,127956.96,14,11114.93,0,-1,1.01,0.012059599949989952,1
2020-07-04,1,9500,9129.35722419929,318.127900355872,27,1.04063451350254,0.888487136412145,0.469600711743772,0.0014,0,513069.876,56.2,11114.93,1614.9300000000003,4.076354504567087,1.04,0.040634513502540104,1
2020-07-04,1,9750,9109.73301587302,223.282603174603,27,1.07029763307405,0.881450825366978,0.460024444444444,0.0014,0,573913.18,63,11114.93,1364.9300000000003,5.113015436910906,1.07,0.0702976330740499,1
2020-07-04,1,10000,9097.70454166667,164.743875,27,1.09920177847021,0.882716789223686,0.466831666666667,0.0014,0,873379.636,96,11114.93,1114.9300000000003,5.767656764174087,1.09,0.09920177847020994,1
2020-07-04,1,10500,9076.42392857143,91.3441517857143,27,1.15684836212901,0.888840872796907,0.486215625,0.0014,0,406623.792,44.8,11114.93,614.9300000000003,5.732012810656717,1.15,0.15684836212901,1
2020-07-04,-1,10500,9117.44,1436,27,1.15163905657728,0.12962728944556,0.4512,0.0014,0,1823.488,0.2,11114.93,0,-1,1.15,0.15163905657728005,1
2020-07-04,1,11000,9078.00244047619,64.775,27,1.211720609129,0.908065732143134,0.533042857142857,0.0014,0,1220083.528,134.4,11114.93,114.93000000000029,0.7742956387495219,1.21,0.21172060912900004,1
2020-07-04,1,11500,9080.99480812641,46.2861851015801,27,1.26638206488012,0.922095096666417,0.572074266365688,0.0014,0,804576.14,88.6,11114.93,0,-1,1.26,0.26638206488012006,1
2020-07-04,-1,11500,9133.295,2379.21,27,1.25913108912943,0.0849153757884111,0.5543,0.0014,0,3653.318,0.4,11114.93,385.0699999999997,-0.8381521597505055,1.25,0.25913108912943006,1
2020-07-04,1,12000,9082.9446779661,36.2722033898305,27,1.32116635761676,0.937433679241971,0.619148813559322,0.0014,0,535893.736,59,11114.93,0,-1,1.32,0.32116635761676005,1
2020-07-04,-1,12000,9141.9325,2856.7825,27,1.31264156750209,0.0726367381174967,0.5909,0.0014,0,7313.546,0.8,11114.93,885.0699999999997,-0.6901864247628233,1.31,0.31264156750208993,1
2020-07-04,1,13000,9076.82424528302,26.1389622641509,27,1.43222009129278,0.960854451386321,0.711394811320755,0.0014,0,384857.348,42.4,11114.93,0,-1,1.43,0.43222009129278005,1
2020-07-04,-1,13000,9160.23,3827.6,27,1.41920330469638,0.0521778049352491,0.66265,0.0014,0,7328.184,0.8,11114.93,1885.0699999999997,-0.5075060089873551,1.41,0.4192033046963799,1
2020-07-04,1,14000,9100.007,11.153,27,1.53847865268532,0.961547722811659,0.72202,0.0014,0,36400.028,4,11114.93,0,-1,1.53,0.53847865268532,1
2020-07-04,1,15000,9067.94,9.07,27,1.65417944979786,0.974496044769994,0.7945,0.0014,0,9067.94,1,11114.93,0,-1,1.65,0.6541794497978599,1
2020-07-04,1,16000,9076.46280701754,4.89798245614035,27,1.76280146202113,0.977232475099255,0.818623684210526,0.0014,0,206943.352,22.8,11114.93,0,-1,1.76,0.7628014620211301,1
2020-07-04,1,18000,9072.54,4.54,27,1.98400888835982,0.990916558316507,0.9592,0.0014,0,18145.08,2,11114.93,0,-1,1.98,0.9840088883598199,1
2020-08-29,-1,4500,11469.6325641026,5.73416666666667,27,0.392340446617429,7.85084625515056e-5,1.40402115384615,0.001,0,357852.536,31.2,10732.43,0,-1,0.39,-0.607659553382571,1
2020-08-29,-1,6000,11518.89,17.28,27,0.520883522631087,8.8991599892074e-4,1.1593,0.001,0,2303.778,0.2,10732.43,0,-1,0.52,-0.47911647736891305,1
2020-08-29,-1,7000,11456.4403378378,34.487027027027,27,0.611010219802767,0.00294349150564692,1.02245878378378,0.001,0,339110.634,29.6,10732.43,0,-1,0.61,-0.38898978019723296,1
2020-08-29,1,8000,11533.59,3633.08,27,0.693626182307504,0.985505121775525,0.8043,0.001,0,92268.72,8,10732.43,2732.4300000000003,-0.24790260605326597,0.69,-0.30637381769249605,1
2020-08-29,-1,8000,11532.4264150943,51.5724528301887,27,0.693696588909579,0.0103359078737583,0.856701886792453,0.001,0,122243.72,10.6,10732.43,0,-1,0.69,-0.30630341109042103,1
2020-08-29,-1,8500,11527.9852380952,63.3120634920635,27,0.737339062623989,0.0179845817792977,0.775587301587302,0.001,0,290505.228,25.2,10732.43,0,-1,0.73,-0.26266093737601104,1
2020-08-29,1,9000,11495.694,2703.788,27,0.782901841571945,0.98559518088661,0.82356,0.001,0,57478.47,5,10732.43,1732.4300000000003,-0.35925819627870226,0.78,-0.21709815842805502,1
2020-08-29,-1,9000,11486.4561245675,80.6651211072664,27,0.78353325359484,0.0300730954466615,0.694649826989619,0.001,0,663917.164,57.8,10732.43,0,-1,0.78,-0.21646674640515995,1
2020-08-29,-1,9500,11529.054194831,101.486381709742,27,0.824007784160541,0.0458727582287023,0.623000795228628,0.001,0,1159822.852,100.6,10732.43,0,-1,0.82,-0.175992215839459,1
2020-08-29,1,10000,11484.53,1745.65,27,0.870736547338028,0.952906882643092,0.6247,0.001,0,22969.06,2,10732.43,732.4300000000003,-0.5804256294217052,0.87,-0.12926345266197203,1
2020-08-29,-1,10000,11521.5735553997,158.831795231416,27,0.867949098046186,0.0577430160078446,0.584468302945301,0.001,0,3285952.778,285.2,10732.43,0,-1,0.86,-0.13205090195381397,1
2020-08-29,1,10500,11451.7783606557,1299.80081967213,27,0.916891027906117,0.931976311077035,0.558686885245902,0.001,0,139711.696,12.2,10732.43,232.4300000000003,-0.8211802943326117,0.91,-0.08310897209388302,1
2020-08-29,-1,10500,11518.4124793388,250.02826446281,27,0.911584173876361,0.0693384067820241,0.554035537190083,0.001,0,278745.582,24.2,10732.43,0,-1,0.91,-0.08841582612363896,1
2020-08-29,1,11000,11457.4177570093,945.841939252336,27,0.960079238332398,0.920740102180179,0.533365654205608,0.001,0,980754.96,85.6,10732.43,0,-1,0.96,-0.039920761667601945,1
2020-08-29,-1,11000,11483.6916306483,384.57768172888,27,0.957882285541726,0.0845297691498252,0.519425343811395,0.001,0,3507119.424,305.4,10732.43,267.5699999999997,-0.30424979734359237,0.95,-0.04211771445827395,1
2020-08-29,1,11500,11474.1575777202,679.162046632124,27,1.00225414643147,0.915296833539534,0.525427525906736,0.001,0,3543219.86,308.8,10732.43,0,-1,1,0.002254146431470039,1
2020-08-29,-1,11500,11514.122826087,587.750186335404,27,0.998774078955839,0.0925271317677989,0.506013975155279,0.001,0,741509.51,64.4,10732.43,767.5699999999997,0.3059459917584444,0.99,-0.0012259210441609714,1
2020-08-29,1,12000,11495.0033541667,469.878666666667,27,1.04394941906705,0.910058901632098,0.5186834375,0.001,0,2207040.644,192,10732.43,0,-1,1.04,0.043949419067049966,1
2020-08-29,-1,12000,11508.2066666667,852.57,27,1.04273432798011,0.0978752747632027,0.5002,0.001,0,27619.696,2.4,10732.43,1267.5699999999997,0.48676355020702067,1.04,0.04273432798011001,1
2020-08-29,1,12500,11447.5676190476,305.812857142857,27,1.09193544664188,0.911744913079214,0.528785714285714,0.001,0,96159.568,8.4,10732.43,0,-1,1.09,0.09193544664188003,1
2020-08-29,1,13000,11542.5657016435,233.650063211125,27,1.12626966217865,0.915613709856339,0.542264348925411,0.001,0,1826033.894,158.2,10732.43,0,-1,1.12,0.1262696621786501,1
2020-08-29,-1,13000,11475.09,1628.78725490196,27,1.13288904996455,0.0904014110175907,0.528803921568627,0.001,0,234091.836,20.4,10732.43,2267.5699999999997,0.3921830448854349,1.13,0.1328890499645501,1
2020-08-29,1,14000,11529.0939777869,108.960037021802,27,1.21432277204147,0.923760744843693,0.572428712464006,0.001,0,5605445.492,486.2,10732.43,0,-1,1.21,0.21432277204147,1
2020-08-29,1,16000,11475.6010714286,42.8315178571429,27,1.39427977762801,0.956534989846334,0.691866964285715,0.001,0,257053.464,22.4,10732.43,0,-1,1.39,0.39427977762801003,1
2020-08-29,1,18000,11526.4774557522,23.9415265486726,27,1.56162211446822,0.975588864879662,0.797405973451327,0.001,0,1041993.562,90.4,10732.43,0,-1,1.56,0.5616221144682201,1
2020-08-29,1,20000,11517.8433333333,17.2766666666667,27,1.73643880379397,0.987881110374484,0.910033333333333,0.001,0,69107.06,6,10732.43,0,-1,1.73,0.73643880379397,1
2021-02-27,1,8000,46718.95,38846.81,27,0.171236725140441,1,0,4e-4,0,9343.79,0.2,51415.92,43415.92,0.1176186667579655,0.17,-0.828763274859559,0
2021-02-27,-1,13000,47103.25,23.5557142857143,27,0.275990196667436,1.54257346705679e-7,1.91991428571429,4e-4,0,329722.75,7,51415.92,0,-1,0.27,-0.7240098033325639,0
2021-02-27,-1,16000,46432.164,41.714,27,0.344748845803082,3.66752542015902e-6,1.7106,4e-4,0,69648.246,1.5,51415.92,0,-1,0.34,-0.6552511541969179,0
2021-02-27,1,18000,46793,29198.83,27,0.384672921163422,0.999997143573854,1.7042,4e-4,0,4679.3,0.1,51415.92,33415.92,0.1444266773702918,0.38,-0.615327078836578,0
2021-02-27,-1,18000,46982.257730337,93.1137752808988,27,0.383151252457147,2.07807797550008e-6,1.73177550561798,4e-4,0,2090710.469,44.5,51415.92,0,-1,0.38,-0.616848747542853,0
2021-02-27,-1,20000,46864.1483950617,94.3130864197531,27,0.426765499952942,1.57927658444942e-5,1.56154814814815,4e-4,0,1897998.01,40.5,51415.92,0,-1,0.42,-0.573234500047058,0
2021-02-27,1,24000,45514.25,22074.41,27,0.527307381754066,0.999933979411434,1.4378,4e-4,0,254879.8,5.6,51415.92,27415.92,0.24197747527566982,0.52,-0.472692618245934,0
2021-02-27,-1,24000,46604.4446153846,233.022307692308,27,0.514998116249245,4.62066855103979e-5,1.47172307692308,4e-4,0,60585.778,1.3,51415.92,0,-1,0.51,-0.48500188375075504,0
2021-02-27,1,28000,46608.405,19528.99,27,0.600751330998012,0.999783454863493,1.32585,4e-4,0,466084.05,10,51415.92,23415.92,0.1990338466044581,0.6,-0.39924866900198797,0
2021-02-27,-1,28000,46905.9953488372,347.858372093023,27,0.59699540098713,3.1027594505883e-4,1.28899302325581,4e-4,0,201695.78,4.3,51415.92,0,-1,0.59,-0.40300459901287,0
2021-02-27,1,32000,45421.1943902439,14582.3075958188,27,0.70451856450003,0.999042658971482,1.1721149825784,4e-4,0,1303588.279,28.7,51415.92,19415.92,0.3314710221561328,0.7,-0.29548143549996997,0
2021-02-27,-1,32000,47433.8882587064,704.4465920398,27,0.67467551181423,5.1310265987912e-4,1.24294925373134,4e-4,0,1906842.308,40.2,51415.92,0,-1,0.67,-0.32532448818577,0
2021-02-27,1,36000,45539.0540880503,11384.7636477987,27,0.790530673884021,0.998159298398371,1.10150377358491,4e-4,0,724070.96,15.9,51415.92,15415.919999999998,0.35408344669331293,0.79,-0.20946932611597902,0
2021-02-27,-1,36000,47090.8555679012,1109.51583950617,27,0.76455807766273,0.0017938432526405,1.10292222222222,4e-4,0,3814359.301,81,51415.92,0,-1,0.76,-0.23544192233727002,0
2021-02-27,-1,40000,47185.2318870523,2041.58874655647,27,0.847801910890114,0.00240305149313088,1.07632520661157,4e-4,0,6851295.67,145.2,51415.92,0,-1,0.84,-0.15219808910988597,0
2021-02-27,1,44000,47876.2,8091.08,27,0.919037016304552,0.997908061350629,1.0959,4e-4,0,4787.62,0.1,51415.92,7415.919999999998,-0.08344497891505231,0.91,-0.08096298369544797,0
2021-02-27,-1,44000,47034.477974026,3257.82626839827,27,0.935581602566354,0.00420926469332712,1.00908917748918,4e-4,0,5432482.206,115.5,51415.92,0,-1,0.93,-0.06441839743364597,0
2021-02-27,1,48000,47181.6743019648,5131.15017235436,27,1.01735544074058,0.995556071344922,1.00811499482937,4e-4,0,13687403.715,290.1,51415.92,3415.9199999999983,-0.334277913282618,1.01,0.01735544074058004,0
2021-02-27,-1,48000,47184.8948297213,5400.1427244582,27,1.01747518264904,0.00316483185646533,1.05353560371517,4e-4,0,1524072.103,32.3,51415.92,0,-1,1.01,0.017475182649040022,0
2021-02-27,1,50000,46709.2648481419,4160.32130730051,27,1.07049540784624,0.995982895895785,1.02720660252782,4e-4,0,24760581.296,530.1,51415.92,1415.9199999999983,-0.65966090226845,1.07,0.07049540784624009,0
2021-02-27,-1,50000,46595.19,6546.62,27,1.07307213469888,0.00513285058024926,0.9924,4e-4,0,4659.519,0.1,51415.92,0,-1,1.07,0.07307213469888008,0
2021-02-27,1,52000,47011.8231618037,3652.9560795756,27,1.10620966189877,0.996094768591533,1.03182311229001,4e-4,0,26585185.998,565.5,51415.92,0,-1,1.1,0.10620966189877001,0
2021-02-27,-1,52000,47373.3566666667,7559.19523809524,27,1.09782803981644,0.00394416717824673,1.02924285714286,4e-4,0,99484.049,2.1,51415.92,584.0800000000017,-0.9227325156180014,1.09,0.09782803981643995,0
2021-02-27,1,56000,46876.9113571961,2543.22694258016,27,1.19473817665469,0.996258369277658,1.04411767337808,4e-4,0,18858581.439,402.3,51415.92,0,-1,1.19,0.19473817665469006,0
2021-02-27,-1,56000,46564.83,10890.3525,27,1.2026244205481,0.00430898849333577,1.02365,4e-4,0,18625.932,0.4,51415.92,4584.080000000002,-0.5790696398486641,1.2,0.20262442054810004,0
2021-02-27,1,60000,46443.2801512288,1800.01327032136,27,1.29192152775058,0.997248279375576,1.08646153119093,4e-4,0,4913699.04,105.8,51415.92,0,-1,1.29,0.29192152775058,0
2021-02-27,1,64000,46739.2358583526,1253.15038491147,27,1.36946986356319,0.99687181777056,1.07431270207852,4e-4,0,6071426.738,129.9,51415.92,0,-1,1.36,0.3694698635631899,0
2021-02-27,1,68000,47059.859120618,895.081847890671,27,1.44499800612681,0.996806908100626,1.07587825311943,4e-4,0,7920174.29,168.3,51415.92,0,-1,1.44,0.44499800612680995,0
2021-02-27,1,72000,46906.9542194093,618.434950773558,27,1.5350174797883,0.997176048190705,1.09367341772152,4e-4,0,3335084.445,71.1,51415.92,0,-1,1.53,0.5350174797883,0
2021-02-27,1,80000,47274.2439806496,472.083075328265,27,1.69282282781086,0.998511051095306,1.17866931582585,4e-4,0,6840583.104,144.7,51415.92,0,-1,1.69,0.6928228278108599,0
2021-02-27,1,88000,46435.2141412214,231.929751908397,27,1.89514891287252,0.998988979660785,1.22641526717557,4e-4,0,2433205.221,52.4,51415.92,0,-1,1.89,0.8951489128725201,0
2021-07-03,-1,15000,34419.7945454545,50.0518181818182,27,0.435798044351008,7.06814941308087e-5,1.42218181818182,5e-4,0,37861.774,1.1,40005.93,0,-1,0.43,-0.564201955648992,0
2021-07-03,-1,20000,34509.3478494624,190.356021505376,27,0.579553735371112,4.9815656489297e-4,1.23338387096774,5e-4,0,320936.935,9.3,40005.93,0,-1,0.57,-0.420446264628888,0
2021-07-03,-1,24000,33963.7411656442,530.836932515337,27,0.706775961775863,0.00171859580637506,1.10191472392638,5e-4,0,1107217.962,32.6,40005.93,0,-1,0.7,-0.293224038224137,0
2021-07-03,-1,25000,34673.4314285714,589.445714285714,27,0.72101549814699,0.00188672233204014,1.0918,5e-4,0,24271.402,0.7,40005.93,0,-1,0.72,-0.27898450185301005,0
2021-07-03,-1,26000,34523.8737681159,729.466884057971,27,0.753159441620624,0.00258749974409738,1.05537753623188,5e-4,0,476429.458,13.8,40005.93,0,-1,0.75,-0.24684055837937602,0
2021-07-03,-1,28000,34458.8964805414,1071.65874788494,27,0.812574608627665,0.00416135684710308,0.999296615905245,5e-4,0,2036520.782,59.1,40005.93,0,-1,0.81,-0.18742539137233505,0
2021-07-03,-1,30000,34810.6232777778,1512.66108333333,27,0.861831159217239,0.00534435402046682,0.970295277777777,5e-4,0,1253182.438,36,40005.93,0,-1,0.86,-0.13816884078276104,0
2021-07-03,1,32000,34360.6,4535.6,27,0.931299220618965,0.99188182291367,0.9183,5e-4,0,6872.12,0.2,40005.93,8005.93,0.7651314048857922,0.93,-0.06870077938103503,0
2021-07-03,-1,32000,34288.4505309735,2320.3789380531,27,0.9334903855068,0.00786367535334928,0.923077876106195,5e-4,0,387459.491,11.3,40005.93,0,-1,0.93,-0.06650961449320003,0
2021-07-03,1,34000,34497.5411650485,3474.17524271845,27,0.985706115775058,0.988971802423644,0.878976699029126,5e-4,0,355324.674,10.3,40005.93,6005.93,0.7287354783233442,0.98,-0.014293884224942044,0
2021-07-03,-1,34000,34502.8317924528,3065.30622641509,27,0.985464268630917,0.0103329797991735,0.888412264150943,5e-4,0,365730.017,10.6,40005.93,0,-1,0.98,-0.014535731369083038,0
2021-07-03,1,35000,34617.926271777,3030.49256097561,27,1.01106397903774,0.987460379978118,0.862207491289198,5e-4,0,1987068.968,57.4,40005.93,5005.93,0.6518535846161044,1.01,0.011063979037740035,0
2021-07-03,-1,35000,34744.87,3422.37,27,1.00734295451386,0.0110711166405171,0.8801,5e-4,0,6948.974,0.2,40005.93,0,-1,1,0.007342954513859912,0
2021-07-03,1,36000,34423.0394029851,2514.69731343284,27,1.04598610967708,0.98691868725892,0.858710447761194,5e-4,0,230634.364,6.7,40005.93,4005.9300000000003,0.5930068317174375,1.04,0.045986109677079945,0
