test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,Tau_th,Premium_th,Delta_th,option_return,M_floor,Return_t,Cluster
2018-12-14,1,3250,3225.71109375,208.15203125,14,1.00763070901679,0.967238492869367,0.935678125,0.0237,0,20644.551,6.4,3743.905,0,333.09,1,1.3728089369774057,1,0.007601742420528238,1
2018-12-14,1,3500,3234.52232520325,115.904577235772,14,1.08215195067164,0.960397480740137,0.899085040650407,0.0237,0,397846.246,123,3743.905,0,103.955,1,1.1043603783123332,1.08,0.07895160556573373,1
2018-12-14,1,3750,3218.43289179105,71.6438059701492,14,1.16532066633673,0.967998304090752,0.965961473880597,0.0237,0,345016.006,107.2,3743.905,0,6.32037037037037,0,-1,1.16,0.15299629921775823,1
2018-12-14,1,4000,3233.90916107382,43.5110234899329,14,1.23705727974319,0.969080859234929,0.983952516778523,0.0237,0,192740.986,59.6,3743.905,0,2.825,0,-1,1.23,0.21273539770869448,1
2019-02-08,1,3500,3564.50809120521,186.063094462541,14,0.982880408706497,0.878864513516613,0.531865732899023,0.0238,0,547151.992,153.5,3944.88,0,400.616363636364,1,1.3910168821230973,0.98,-0.01726782574117794,0
2019-02-08,1,3750,3503.79389026199,64.9058230350964,14,1.0719882527189,0.86789690338155,0.525001433514582,0.0238,0,708817.504,202.3,3944.88,0,164.925714285714,1,2.002504103439579,1.07,0.06951510430395957,0
2019-02-08,1,4000,3523.95411449016,22.3860047704234,14,1.13599591953359,0.864151909882972,0.532169290399523,0.0238,0,590967.105,167.7,3944.88,0,2.76524886877828,0,-1,1.13,0.12750972833264057,0
2019-02-08,1,4250,3457.69721311475,6.06938524590164,14,1.2296227524609,0.874579253585329,0.582725,0.0238,0,421839.06,122,3944.88,0,3.90444444444444,0,-1,1.22,0.20670741702428988,0
2019-05-17,1,6250,7278.16438066465,1301.77305135952,14,0.858866371527516,0.992221201145001,1.25931359516616,0.0234,0,240907.241,33.1,8272.46,0,2065.03,1,0.5536195021765294,0.85,-0.15214193193079653,1
2019-05-17,1,7000,7384.99558558559,839.361801801802,14,0.949324033837054,0.984056637292965,1.10261981981982,0.0234,0,81973.451,11.1,8272.46,0,1330.74481481481,1,0.5159851178222479,0.94,-0.05200509098406967,1
2019-05-17,1,7250,7156.33653696498,533.661245136187,14,1.01338332697115,0.978444549842666,1.0396093385214,0.0234,0,183917.849,25.7,8272.46,0,995.04,1,0.9159345171093956,1.01,0.013294561359841603,1
2019-05-17,1,7500,7242.25552447552,450.785174825175,14,1.03580487832936,0.974892204902895,1.00573552447552,0.0234,0,517821.27,71.5,8272.46,0,749.94,1,0.7135878532375808,1.03,0.03517878471789957,1
2019-05-17,1,8000,7088.93956953642,245.485314569536,14,1.12868873166727,0.975232248305543,1.02158149006623,0.0234,0,2140859.75,302,8272.46,0,295.74125,1,0.10988309210171632,1.12,0.12105654446834334,1
2019-05-17,1,8250,7139.025,216.085,14,1.15581490709899,0.97753322549417,1.04915,0.0234,0,2855.61,0.4,8272.46,0,89.4960227272727,0.321969696969697,-0.8960594210611605,1.15,0.14480564246414449,1
2019-05-17,1,8500,7249.81990196078,206.731862745098,14,1.17263567138499,0.978534589077826,1.06121156862745,0.0234,0,369740.815,51,8272.46,0,11.5352669902913,0,-1,1.17,0.1592539258468226,1
2019-05-17,1,8750,7120.52,142.463076923077,14,1.22890633647042,0.980902400657217,1.09206153846154,0.0234,0,9256.676,1.3,8272.46,0,4.08039215686275,0,-1,1.22,0.20612461650833636,1
2019-05-17,1,9000,7567.33642519685,211.231763779528,14,1.19242453202981,0.979659453055797,1.07832015748031,0.0234,0,480525.863,63.5,8272.46,0,4.08866666666667,0,-1,1.19,0.17598865626815352,1
2019-06-21,1,9500,9915.22,1031.18,14,0.958122966510072,0.978115085614526,1.0317,0.0207,0,9915.22,1,11160.49,0,1588.41,1,0.6102814251634047,0.95,-0.042779151722227717,1
2019-06-21,1,10500,9827.69826086957,534.286739130435,14,1.06842491225731,0.975014648250577,1.01663043478261,0.0207,0,45207.412,4.6,11160.49,0,613.431,1,0.23620885870190936,1.06,0.06618551933235703,1
2019-06-21,1,11000,9878.57271428571,392.785285714286,14,1.11357030243386,0.972219170013842,1.00710928571429,0.0207,0,138300.018,14,11160.49,0,44.2446144121365,0.165613147914033,-0.5914052643083453,1.11,0.10757134216937629,1
2019-06-21,1,11500,9757.53541176471,217.425176470588,14,1.17861332495518,0.963633469676565,0.944947058823529,0.0207,0,82939.051,8.5,11160.49,0,32.2262162162162,0,-1,1.17,0.16433859910626464,1
