,a,b,rho,m,sigma,a_ttm,b_ttm,rho_ttm,m_ttm,sigma_ttm
IV_matrix_2021-09-04.csv,-0.42224378779183963,4.779668400535798,0.30208022527032174,0.0663824065551686,0.17357898777923517,0.0016272624746873471,2.5506508005148025,0.00685284536415552,0.0059727356221052205,0.0038086867441589813
IV_matrix_2020-05-16.csv,1.1336038097940613,2.2402989870116765,0.40882827965277097,0.2462112114447125,0.4337824647976764,-6.877797004167465,17.58656547179725,0.006050295730909887,0.0075835405065663945,0.0032512361704223765
IV_matrix_2019-05-12.csv,3.2828512909030474,5.243783239680418,1.0009102274478556,0.8428818224037457,0.08793407527525261,-0.07592059191991936,-0.08185186528957165,-0.04122877961869096,0.22037841673040875,0.010596735071617867
IV_matrix_2022-01-17.csv,-2.0975074123509088,15.736259702398321,-0.053937782050757825,-0.0015182137589886688,0.13298233230387752,0.1349915546046066,0.2722634970620946,0.003123958909562634,0.003427874324428992,0.006952903330593952
IV_matrix_2021-03-06.csv,-1.1573027731179972,5.89608670481709,-0.3901327505843125,0.03975445303121683,0.12665924055752498,0.6354337819582916,1.3212029838477581,-0.006226024614365707,-0.007351709477899508,0.0048666692445774404
IV_matrix_2021-10-20.csv,0.1580895524610467,1.9896452418888737,-0.26961960819500885,0.046272955829888704,0.14063786785426347,0.3484166895085749,1.916917509636124,-0.011868262469653362,-0.012136779123825898,0.004802185382335159
IV_matrix_2022-10-12.csv,-0.10581990442144243,5.519216538568462,-0.4136137097558922,0.048245856632303075,0.04192082949169603,0.28837190554638004,0.5978671986267968,-0.010886296685932762,-0.00328352542895315,0.004397632540945904
IV_matrix_2022-02-26.csv,0.519865787248129,-2.153416149278972,-0.6750362361780463,0.01670782451713203,0.03577917277201952,0.21569379561729035,1.8738617421072135,-0.009658180423161812,-0.00754587377077259,0.006106247126720168
IV_matrix_2021-02-14.csv,-0.4285022248976701,14.646211467167788,-0.9658556059063843,-0.1040402703019263,0.10137816609224203,1.1454255615034736,-0.1575622498691479,0.028435962550222765,0.01072636493772371,0.0030441603190290985
IV_matrix_2019-06-23.csv,-2.2254017766600724,0.8469475858034555,-0.5903371671287073,-1.2227938970831063,0.10578438055214028,0.6936170254445208,-0.007377950740277915,-0.0027919517536345944,-1.890197015380232,0.15153868695843015
IV_matrix_2020-06-27.csv,-0.4128917078436972,12.551220429180512,-0.10421237924146007,-0.03272861653230501,0.06906645206212039,-0.06279471488295683,1.416668342574097,0.01868900778531466,0.007435425023608932,0.004608817802290518
IV_matrix_2021-08-16.csv,-2.696760270687901,17.198058323190136,0.012392149629686267,0.0003606340850323942,0.15715004448933295,0.387297115812957,0.703071262938976,-0.008676163313476369,-0.00031226665238814406,0.007358151883687283
IV_matrix_2020-03-08.csv,-0.4091199407957321,16.965680183028894,0.0008503847856779758,0.007529381925488098,0.024234057806092318,0.044850602649841954,0.19167349118453472,-5.091430465644712e-05,0.00025127455512444886,0.011242092742284965
IV_matrix_2022-02-21.csv,-1.9828575033126505,16.509191382282687,-0.1691561954025926,-0.00035545211280034374,0.14786561281055347,0.22563363822632082,0.6708075046923612,0.010874979218123474,0.004934966786680258,0.001320370722098802
IV_matrix_2021-05-18.csv,-1.5676963712102578,12.325827934694189,-0.23873103563501313,0.013253751533618558,0.1303280470188991,0.8777073003709612,1.5438582477041192,0.020284858094185586,0.007261877731557253,-0.0034296854478657658
IV_matrix_2020-06-20.csv,-1.0960448335450694,18.0,-0.14798943364934708,0.023940421195040293,0.046969101860966034,0.14807926788211062,0.6149610607730362,-0.0032901516329516254,-0.0006404018183106715,0.004756812262087954
IV_matrix_2023-01-19.csv,-1.4579913335050785,9.859844112232343,0.047800577492082656,0.03717481882295383,0.09720262592160266,0.2444644253371473,0.5659030556140651,-0.020814355518341376,-0.005219870787509487,0.0021957746656481097
IV_matrix_2019-06-24.csv,-0.6880409208100124,2.855482378883951,-0.7110531420919766,-0.15967510333202597,0.13514557398345847,0.22756745013841775,7.290507216571336,-0.004300285170820197,-0.008530676613232008,0.0012483904824307035
IV_matrix_2021-02-13.csv,-0.5683968158729049,9.99456032450478,-0.9454008974936481,-0.01704786408125519,0.0760442610710444,1.0809161146448232,0.5269130003768971,0.03374467113431082,0.004903315489831183,0.0029932027947662007
IV_matrix_2021-08-11.csv,0.7340074236937081,4.304658009495266,0.0824306265358709,0.04184841818222906,0.021138192235842474,0.44812905327376784,1.0348509689703238,-0.015302191127315866,-0.004058218113072168,0.009803293962986535
IV_matrix_2022-08-23.csv,-1.6012544249265381,13.073231048256467,-0.10771625632983088,-0.015092541861682317,0.11765404483035882,0.3289953423400984,0.3714171893860412,0.005580026324357431,0.007182053007325082,0.0037624970402603307
IV_matrix_2020-08-18.csv,-0.6346669265716844,18.0,-0.05980897013563797,0.02252708380089127,0.03415836357758531,0.1035341235052095,0.9734535058641361,-0.013496786306167154,-0.005777703446681969,0.008345376566358037
IV_matrix_2021-09-03.csv,-0.10725273337436149,3.7674384604086533,-0.2912418682932276,-0.01710345117417226,0.014193539148846936,0.5488945386285673,0.5664468724665233,0.008637802181805548,0.00220434210988072,0.0052774063564934495
IV_matrix_2019-05-15.csv,0.32283466838359054,-1.6169432478749004,1.3731834320381608,-0.5780713516171744,0.6767662500012216,0.4140253660321033,0.5885437926754036,-0.04146482578201786,-0.0018013568002910015,0.004936041362879989
IV_matrix_2020-05-11.csv,-1.0026148876847298,18.0,-0.32160093239934173,0.02166048713460054,0.12111979100633688,0.7726622171999115,1.6940893680780935,0.02118990842809653,0.004658536764983508,-0.0026330389349203676
