test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,Value_th,Option_type,num_ops,R_t,M_group,steps_ahead,RF_t,ER_t
2022-02-26,1,65000,39690,39.69,27,1.63769211388259,0.973418072501402,0.7825,0.0033,0,19845,0.5,44004.47,0,-1,1.63,0.63769211388259,1,-39.69,Call,2,-1,"(0.6,1]",27,2.4413938621137277e-4,-1.0002441393862114
2022-02-26,1,65000,39000.35,39,27,1.66665170953594,0.977811074538093,0.8123,0.0033,0,19500.175,0.5,44004.47,0,-1,1.66,0.6666517095359401,1,-39,Call,2,-1,"(0.6,1]",27,2.4413938621137277e-4,-1.0002441393862114
2022-02-26,1,90000,39112.69,19.56,27,2.30104347208029,0.997722848269698,1.1403,0.0033,0,3911.269,0.1,44004.47,0,-1,2.3,1.30104347208029,1,-19.56,Call,2,-1,"(0.6,1]",27,2.4413938621137277e-4,-1.0002441393862114
2022-02-26,1,90000,39039.91,19.52,27,2.30533318340129,0.997924439673894,1.1513,0.0033,0,3903.991,0.1,44004.47,0,-1,2.3,1.3053331834012898,1,-19.52,Call,2,-1,"(0.6,1]",27,2.4413938621137277e-4,-1.0002441393862114
2022-05-28,1,48000,28746.33,28.75,27,1.66977836822996,0.979731315753819,0.8091,0.0106,0,14373.165,0.5,21088.3,0,-1,1.66,0.6697783682299601,0,-28.75,Call,2,-1,"(0.6,1]",27,7.844170833293251e-4,-1.0007844170833293
2022-05-28,1,48000,28742.78,28.74,27,1.66998460135032,0.979742923191089,0.8092,0.0106,0,14371.39,0.5,21088.3,0,-1,1.66,0.6699846013503199,0,-28.74,Call,2,-1,"(0.6,1]",27,7.844170833293251e-4,-1.0007844170833293
2020-07-04,-1,20000,9117.44,10785.93,27,2.19359820300435,-0,0,0.0014,0,911.744,0.1,11114.93,8885.07,-0.1762351507936729,2.19,1.19359820300435,1,-1900.8600000000006,Put,2,-0.1762351507936729,"(0.6,1]",27,1.035670065276939e-4,-0.1763387178002006
2020-07-04,-1,20000,9117.44,10785.93,27,2.19359820300435,-0,0,0.0014,0,911.744,0.1,11114.93,8885.07,-0.1762351507936729,2.19,1.19359820300435,1,-1900.8600000000006,Put,2,-0.1762351507936729,"(0.6,1]",27,1.035670065276939e-4,-0.1763387178002006
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,-0.996625993880593,0.972,0.0156,0,7468.44,1,7194.4,0,-1,0.6,-0.397464530745376,1,-14.94,Put,2,-1,"(-0.5,-0.1]",27,0.0011546386853127366,-1.0011546386853127
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,-0.996625993880593,0.972,0.0156,0,3734.22,0.5,7194.4,0,-1,0.6,-0.397464530745376,1,-14.94,Put,2,-1,"(-0.5,-0.1]",27,0.0011546386853127366,-1.0011546386853127
2020-08-29,-1,6000,11518.89,17.28,27,0.520883522631087,-0.999110084001079,1.1593,0.001,0,1151.889,0.1,10732.43,0,-1,0.52,-0.47911647736891305,1,-17.28,Put,2,-1,"(-0.5,-0.1]",27,7.397533878017448e-5,-1.0000739753387802
