test_date,Strike,Cluster,Moneyness,Delta_call,Delta_put,option_return_call,option_return_put,value_t,weight_call,weight_put,R_t
2019-11-30,7000,1,0.9248840028421033,0.7383502729333642,-0.2949391689758321,-0.7957821458710583,-1,239165.12699999998,0.5,0.5,-0.8978910729355292
2019-11-30,7500,1,0.9838946086531529,0.5488056591687088,-0.4110782516654886,-1,-0.26340852140097676,97571.42599999999,0.5,0.5,-0.6317042607004884
2019-11-30,8000,1,1.0411754229802102,0.43147984668619527,-0.5449027061427629,-1,0.23663106715537982,129853.238,0.5,0.5,-0.3816844664223101
2019-11-30,10000,1,1.3063886424873137,0.094844724021850485,-0.8974578977468103,-1,0.2211870854831897,257197.582,0.5,0.5,-0.38940645725840517
2020-03-28,4500,0,0.7229569803502566,0.8920395166299467,-0.1373528573169333,0.5956785522001469,-1,1188867.42,0.5,0.5,-0.20216072389992656
2020-03-28,5500,0,0.8815740609207325,0.7128207571252262,-0.28571253140796277,0.898638740884473,-1,611406.374,0.5,0.5,-0.05068062955776348
2020-03-28,6000,0,0.9679934999397274,0.5993764105110906,-0.39474819029574076,0.925565008923715,-1,1492572.006,0.5,0.5,-0.03721749553814252
2020-03-28,6500,0,1.0499764706167594,0.48041362329342324,-0.5027488233415994,0.8541776509877301,-1,659919.55,0.5,0.5,-0.07291117450613493
2020-05-30,8000,1,0.8368957850121808,0.83390290591817,-0.16507201750617775,-0.31955527498853303,-1,1751233.578,0.5,0.5,-0.6597776374942665
2020-05-30,9000,1,0.943209680014611,0.6743314242175785,-0.34867216047362526,-0.773679947008018,-1,1242353.662,0.5,0.5,-0.886839973504009
2020-05-30,9500,1,1.0023398623372746,0.5386269207451512,-0.4714219660416473,-1,-0.5977125849951775,2951394.144,0.5,0.5,-0.7988562924975888
2020-05-30,10000,1,1.0514292657785262,0.4221053826502344,-0.5691205584417006,-1,-0.14924683551235418,1812770.5420000001,0.5,0.5,-0.5746234177561771
