test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,1,8000,7543.92,313.07,27,1.06045663262601,0.393096046894911,0.5997,0.0156,0,7543.92,1,7194.4,0,-1,1.06,0.06045663262601009,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8000,7583.43,341.25,27,1.05493160746522,0.409518081516482,0.6156,0.0156,0,7583.43,1,7194.4,0,-1,1.05,0.05493160746521997,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8000,7564.82,340.42,27,1.0575268149143,0.405720531387138,0.623,0.0156,0,7564.82,1,7194.4,0,-1,1.05,0.0575268149143,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8000,7579.51,322.13,27,1.05547720103278,0.402490883105534,0.5931,0.0156,0,3789.755,0.5,7194.4,0,-1,1.05,0.05547720103277998,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8000,7580.53,341.12,27,1.05533518104935,0.408981923875108,0.617,0.0156,0,7580.53,1,7194.4,0,-1,1.05,0.05533518104935009,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8000,7583.43,341.25,27,1.05493160746522,0.409518081516482,0.6156,0.0156,0,8341.773,1.1,7194.4,0,-1,1.05,0.05493160746521997,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8500,7738.16,239.88,27,1.09845234526037,0.313865306768434,0.6017,0.0156,0,1547.632,0.2,7194.4,0,-1,1.09,0.09845234526037006,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8500,7568.49,189.21,27,1.12307739060235,0.269842553415692,0.6072,0.0156,0,37842.45,5,7194.4,0,-1,1.12,0.1230773906023499,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8500,7484.98,187.12,27,1.13560757677375,0.260726232976018,0.6367,0.0156,0,7484.98,1,7194.4,0,-1,1.13,0.1356075767737499,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
2019-11-30,1,8500,7485.32,187.13,27,1.13555599493408,0.260229125736978,0.6353,0.0156,0,7485.32,1,7194.4,0,-1,1.13,0.1355559949340801,1,"(-0.1,0.15]",27,-1,3.606525032791019e-4,-1.000360652503279
