Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Num_obs
Long Straddle simple Cluster0,"(-Inf,-0.6]",-42.78,-42.78,-42.78,1
Long Straddle simple Cluster0,"(-0.6,-0.2]",-40.32,-34.31,-35.66,6
Long Straddle simple Cluster0,"(-0.2,0.2]",-20.26,-66.69,-17.36,23
Long Straddle simple Cluster0,"(0.2,0.6]",8.69,8.69,8.69,1
Long Straddle simple Cluster0,"(0.6, Inf)",-62.16,-62.16,-62.16,1
