Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Num_obs
Long Straddle simple Overall,"(-Inf,-0.6]",-42.78,-42.78,-42.78,1
Long Straddle simple Overall,"(-0.6,-0.1]",-35.33,-42.92,-33.11,17
Long Straddle simple Overall,"(-0.1,0.1]",-22.48,-44.28,-32.13,35
Long Straddle simple Overall,"(0.1,0.6]",-37.49,-76.85,-65.65,12
Long Straddle simple Overall,"(0.6, Inf)",-55.8,-56.25,-55.8,2
