Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Num_obs
Long Straddle simple Overall,"(-Inf,-0.6]",-42.78,-42.78,-42.78,1
Long Straddle simple Overall,"(-0.6,-0.2]",-42.1,-35.04,-37.9,9
Long Straddle simple Overall,"(-0.2,0.2]",-23.06,-58.34,-32.13,49
Long Straddle simple Overall,"(0.2,0.6]",-54.72,-46.14,-60.74,6
Long Straddle simple Overall,"(0.6, Inf)",-55.8,-56.25,-55.8,2
