,m,spdy,spdy_up,spdy_dn,epk,ret,spd_ret,cb_ret_up,cb_ret_dn,epk_ret,volatility,epk_up,epk_dn,cdf_m,cdf_ret
0,0.225464111494799,0.0715425035015412,0.10048528703995571,0.0425997199631267,6.5074067275718726,-1.4895942835043539,0.016130266986088534,941848805908581.0,399287264446555.4,670568035177568.2,1.3994315852651895,9.140002109259594,3.8748113458841513,0.005257443389909078,0.005257443389909078
1,0.24948153358967204,0.08570108833445918,0.13800826323820314,0.033393913430715225,4.472898048722041,-1.3883703801983596,0.02138083894798483,3425993940909321.0,828989093786456.6,2127491517347888.8,1.365062281939183,7.202906093054485,1.742890004389598,0.00706025531643395,0.00706025531643395
2,0.2734989556845451,0.10150388877789823,0.1885090598867264,0.014498717669070058,3.1917034684818075,-1.2964574754654346,0.02776120757867538,851226764207524.5,65470044431906.83,458348404319715.6,1.3322396893208606,5.9275070888881825,0.4558998480754322,0.009212661463192662,0.009212661463192662
3,0.2975163777794181,0.11931755400219546,0.2546776979696518,-0.01604258996526084,2.3766099961799654,-1.2122860041523345,0.0354989264722333,1152648734072600.5,-72607343171867.48,540020695450366.5,1.3009259567018152,5.07276207478775,-0.31954208242781923,0.011760894105775188,0.011760894105775188
4,0.3215337998742911,0.13952042745279314,0.33885582214349264,-0.059814967237906386,1.8458643997740058,-1.1346526090285851,0.044860533198981936,1569096037960094.5,-276977469385098.9,646059284287497.8,1.2710831809961833,4.483084736551984,-0.7913559370039726,0.01476056482463095,0.01476056482463095
5,0.3455512219691641,0.16249235285212268,0.4428793863321948,-0.11789468062794942,1.4934753949911748,-1.0626143921489632,0.05614943108869558,1518537214867028.8,-404235251161857.7,557150981852585.56,1.2426734340682153,4.070526734497237,-1.0835759445148871,0.01827678043160519,0.01827678043160519
6,0.3695686440640371,0.18860482421798982,0.5679644123168626,-0.1907547638808829,1.2542491627763603,-0.9954187803025883,0.06970242915017857,3859042361743811.5,-1296085984538912.0,1281478188602449.8,1.215658791976833,3.7770448957967004,-1.2685465702439795,0.022384030599779114,0.022384030599779114
7,0.3935860661589101,0.21820961814892098,0.7146339832617381,-0.2782147469638962,1.0938003880515832,-0.9324555154496987,0.08588426520527173,2895376843615207.0,-1127201553213146.8,884087645201030.0,1.1900013660323199,3.582183658252293,-1.394582882149127,0.027165820692249043,0.027165820692249043
8,0.41760348825378313,0.25162490637736534,0.8826827155453688,-0.3794329027906381,0.9879602213018445,-0.8732228893504553,0.10507943863471937,905683650218316.2,-389320160415777.06,258181744901269.62,1.1656633355250285,3.4656959183590597,-1.4897754757553707,0.03271399082425408,0.03271399082425408
9,0.44162091034865614,0.2891184782827828,1.0711741809043736,-0.49293722433880793,0.9212094397367172,-0.8173034338072829,0.1276807655778607,354143849167796.75,-162971334762800.4,95586257202498.17,1.142606981984837,3.4130498088960026,-1.5706309294225682,0.03912764757274256,0.03912764757274256
10,0.4656383324435292,0.3308882314811966,1.2784666719628526,-0.6166902090004593,0.8838622236050265,-0.7643460568224747,0.15407424433209288,130449028340600.06,-62924314192532.164,33762357074033.945,1.120794724797479,3.4150153676596346,-1.6472909204495816,0.04651163419136939,0.04651163419136939
11,0.4896557545384022,0.3770405794601304,1.5022629779695909,-0.7481818190493301,0.870304865480154,-0.714052676533933,0.18462008942714656,47826486389160.74,-23819336634217.867,12003574877471.436,1.1001891580004288,3.4676022958316404,-1.7269925648713327,0.05497447722594884,0.05497447722594884
12,0.5136731766332752,0.4275678983294404,1.7396802370731965,-0.8845444404143157,0.8770889206896951,-0.6661680588868667,0.2196301605612969,17577585365372.99,-8937363935918.834,4320110714727.077,1.0807530880561405,3.5686829330298657,-1.8145050916504757,0.06462577153600457,0.06462577153600457
13,0.5376905987281483,0.4823265747888211,1.9873363197411709,-1.0226831701635284,0.902655278515757,-0.6204719795519235,0.2593424647806982,6478192865764.597,-3333677722829.392,1572257571467.602,1.0624495723953928,3.719222022933045,-1.9139114659015308,0.07557300133670886,0.07557300133670886
14,0.5617080208230213,0.5410175832423089,2.241449500353149,-1.1594143338685314,0.9471487386830094,-0.5767730999960823,0.30389391591349146,2418419272461.5127,-1250953889148.076,583732691656.7185,1.0452419585060637,3.924061126365115,-2.0297636489990962,0.08791784058086272,0.08791784058086272
15,0.5857254429178943,0.6031717544997698,2.4979483567140974,-1.2916048477145576,1.012382406179129,-0.534904126642269,0.3532930430599411,913646697155.0466,-472415892815.4005,220615402169.82312,1.0290939233386363,4.19263493195019,-2.1678701195919317,0.10175202907105352,0.10175202907105352
16,0.6097428650127673,0.6681419404341292,2.7525888916034607,-1.4163050107352024,1.1023310048621409,-0.494717943450647,0.4073947809954957,349732426237.6959,-179949788073.3239,84891319082.18602,1.0139695127882828,4.54134652418628,-2.3366845144619988,0.11715297682957493,0.11715297682957493
17,0.6337602871076404,0.7351040766338843,3.0010758058740725,-1.5308676526063039,1.220389120077321,-0.45608449208597407,0.46587977066148745,135717770595.03249,-69230488773.7635,33243640910.634495,0.9998331810122341,4.982260850445644,-2.541482610291002,0.134179302707784,0.134179302707784
18,0.6577777092025133,0.8030686707441015,3.239184693564326,-1.633047352076123,1.3710400019483755,-0.4188882326932463,0.5282406705743625,53415905654.5406,-26929833134.00041,13243036260.2701,0.9866498293369161,5.530102157341817,-2.7880221534450667,0.1528665572525213,0.1528665572525213
