Cluster,Group,Equally_Average,Weighted_Average,Num_obs
Long Straddle simple Cluster0,"(-Inf,0.2]",-26.84,2.89,2
Long Straddle simple Cluster0,"(0.2,0.35]",-89.35,-83.29,2
Long Straddle simple Cluster0,"(0.35,0.65]",-6.61,-64.85,14
Long Straddle simple Cluster0,"(0.65,0.8]",-34.67,-55.63,6
Long Straddle simple Cluster0,"(0.8, Inf)",-33.81,-30.72,8
