Cluster,Group,Equally_Average,Weighted_Average,Num_obs
Long Straddle simple Cluster1,"(-Inf,0.2]",-21.04,-42.5,7
Long Straddle simple Cluster1,"(0.2,0.45]",-45.24,-38.99,6
Long Straddle simple Cluster1,"(0.45,0.55]",-23.02,-24.97,6
Long Straddle simple Cluster1,"(0.55,0.8]",-41.52,-38.17,9
Long Straddle simple Cluster1,"(0.8, Inf)",-36.8,-44.77,7
