Cluster,Group,Equally_Average,Weighted_Average,Num_obs
Long Straddle simple Overall,"(-Inf,0.2]",-22.33,-38.44,9
Long Straddle simple Overall,"(0.2,0.35]",-66.11,-78.84,4
Long Straddle simple Overall,"(0.35,0.65]",-17.39,-56.62,28
Long Straddle simple Overall,"(0.65,0.8]",-46.48,-56.14,11
Long Straddle simple Overall,"(0.8, Inf)",-35.21,-36.26,15
