Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Call simple Overall,"(0.8, Inf)",28.97,28.42,35.21,52.01,152.62,-58.18,158
Long Call simple Overall,"(0.6,0.8]",-36.15,-8.29,-79.2,86.47,176.98,-100,171
Long Call simple Overall,"(0.4,0.6]",-9.2,-49.16,-100,135.7,419.4,-100,914
Long Call simple Overall,"(0.2,0.4]",-40.43,-62.89,-100,175.14,667.91,-100,921
Long Call simple Overall,"(-Inf,0.2]",-84.05,-92.74,-100,89.95,613.46,-100,1716
