Cluster,Group,Equally_Average,Weighted_Average,Num_obs
Long Straddle simple Cluster1,"(-Inf,0.2]",-21.26,-42.55,7
Long Straddle simple Cluster1,"(0.2,0.35]",-43.17,-32.94,2
Long Straddle simple Cluster1,"(0.35,0.65]",-27.16,-28.47,14
Long Straddle simple Cluster1,"(0.65,0.8]",-60.18,-57.95,5
Long Straddle simple Cluster1,"(0.8, Inf)",-36.69,-44.61,7
