Cluster,Group,Equally_Average,Weighted_Average,Num_obs
Long Straddle simple Cluster1,"(-Inf,0.2]",-21.26,-42.55,7
Long Straddle simple Cluster1,"(0.2,0.45]",-45.35,-39.19,6
Long Straddle simple Cluster1,"(0.45,0.55]",-21.94,-24.66,6
Long Straddle simple Cluster1,"(0.55,0.8]",-40.42,-37.06,9
Long Straddle simple Cluster1,"(0.8, Inf)",-36.69,-44.61,7
