Cluster,Group,Equally_Average,Weighted_Average,Num_obs
Long Straddle simple Cluster0,"(-Inf,0.2]",-26.84,2.89,2
Long Straddle simple Cluster0,"(0.2,0.45]",-91.61,-90.07,3
Long Straddle simple Cluster0,"(0.45,0.55]",-0.2,-56.71,8
Long Straddle simple Cluster0,"(0.55,0.8]",-18.44,-38.14,11
Long Straddle simple Cluster0,"(0.8, Inf)",-33.81,-30.72,8
