Trade Date,Underlying,Product Type,Exchange,Volume
2018/1/31,SPX,I,CBOE,1347856
2018/2/1,SPX,I,CBOE,1178075
2018/2/2,SPX,I,CBOE,2141211
2018/2/5,SPX,I,CBOE,2685821
2018/2/6,SPX,I,CBOE,2754184
2018/2/7,SPX,I,CBOE,1859327
2018/2/8,SPX,I,CBOE,1913210
2018/2/9,SPX,I,CBOE,3213399
2018/2/12,SPX,I,CBOE,1837061
2018/2/13,SPX,I,CBOE,1572456
2018/2/14,SPX,I,CBOE,1941062
2018/2/15,SPX,I,CBOE,1747426
2018/2/16,SPX,I,CBOE,1959795
2018/2/20,SPX,I,CBOE,1125814
2018/2/21,SPX,I,CBOE,1303921
2018/2/22,SPX,I,CBOE,1116477
2018/2/23,SPX,I,CBOE,1633147
2018/2/26,SPX,I,CBOE,1690589
2018/2/27,SPX,I,CBOE,1607042
2018/2/28,SPX,I,CBOE,1358834
2018/3/1,SPX,I,CBOE,1851811
2018/3/2,SPX,I,CBOE,1667778
2018/3/5,SPX,I,CBOE,1531625
2018/3/6,SPX,I,CBOE,961228
2018/3/7,SPX,I,CBOE,1140259
2018/3/8,SPX,I,CBOE,885075
2018/3/9,SPX,I,CBOE,2200585
2018/3/12,SPX,I,CBOE,1502306
2018/3/13,SPX,I,CBOE,1346643
2018/3/14,SPX,I,CBOE,1438266
2018/3/15,SPX,I,CBOE,1340152
2018/3/16,SPX,I,CBOE,1464258
2018/3/19,SPX,I,CBOE,1723478
2018/3/20,SPX,I,CBOE,1182328
2018/3/21,SPX,I,CBOE,1260201
2018/3/22,SPX,I,CBOE,1854449
2018/3/23,SPX,I,CBOE,2163863
2018/3/26,SPX,I,CBOE,1757694
2018/3/27,SPX,I,CBOE,1535093
2018/3/28,SPX,I,CBOE,1853061
2018/3/29,SPX,I,CBOE,1875657
2018/4/2,SPX,I,CBOE,1753462
2018/4/3,SPX,I,CBOE,1386712
2018/4/4,SPX,I,CBOE,1250930
2018/4/5,SPX,I,CBOE,1209114
2018/4/6,SPX,I,CBOE,1772981
2018/4/9,SPX,I,CBOE,1346414
2018/4/10,SPX,I,CBOE,1080793
2018/4/11,SPX,I,CBOE,1450893
2018/4/12,SPX,I,CBOE,1291181
