DateTime,BTC Volatility Index (DVOL),VIX
2021-03-24,80.52,85.25132874141556
2021-03-25,87.25,86.7492198530403
2021-03-26,80.22,85.1709068994837
2021-03-27,77.81,82.07173447019957
2021-03-28,78.2,80.10811704898057
2021-03-29,78.88,79.94487953398387
2021-03-30,82.0,81.63931834116427
2021-03-31,83.74,83.10133561390039
2021-04-01,81.2,81.80583165648495
2021-04-02,78.59,81.2040599625727
2021-04-03,80.55,80.87420020223703
2021-04-04,79.7,80.4379303940662
2021-04-05,78.73,79.79889076005557
2021-04-06,79.67,79.42223180592622
2021-04-07,78.36,79.42609341320434
2021-04-08,72.79,76.2725310657004
2021-04-09,72.19,75.61817121134725
2021-04-10,76.93,77.70732194092496
2021-04-11,79.38,79.06042811378386
2021-04-12,78.98,80.32215415402504
2021-04-13,84.46,83.01664730678489
2021-04-14,83.41,82.93253724261862
2021-04-15,76.12,79.19372889211934
2021-04-16,74.98,77.44418641302703
2021-04-17,72.89,75.77933039658001
2021-04-18,74.27,82.35309568796589
2021-04-19,82.29,83.26758556790207
2021-04-20,80.79,82.57405963444717
2021-04-21,80.11,81.92358632660108
2021-04-22,76.69,82.27077113165255
2021-04-23,87.39,87.44971735166195
2021-04-24,85.95,89.12729053802626
2021-04-25,91.15,91.13405780354873
2021-04-26,80.3,87.5802538382809
2021-04-27,74.21,82.75199820713732
2021-04-28,75.52,79.65907317853323
2021-04-29,75.8,78.18011242554252
2021-04-30,73.95,77.2751887038485
2021-05-01,73.64,75.4820207494596
2021-05-02,74.93,76.81982470367842
2021-05-03,75.18,77.08164657337196
2021-05-04,81.79,81.18713894961283
2021-05-05,83.51,82.09417871121201
2021-05-06,80.31,82.09610870466187
2021-05-07,78.3,80.91131947214568
2021-05-08,79.23,81.01414464014763
2021-05-09,83.57,82.98149079693135
2021-05-10,85.67,87.31391786877252
2021-05-11,84.91,87.5942380048109
2021-05-12,82.91,88.34849918676582
2021-05-13,89.19,91.64098630070706
2021-05-14,90.37,92.53318592029055
2021-05-15,97.57,96.78587830348593
2021-05-16,97.97,100.97516793133957
2021-05-17,104.94,119.43875368005644
2021-05-18,112.83,118.7313195847521
2021-05-19,115.28,129.71012513593558
2021-05-20,112.56,123.93389942409854
2021-05-21,112.2,125.67818288603037
2021-05-22,135.44,132.89248719279175
2021-05-23,138.11,145.22689316710546
2021-05-24,121.77,140.96291739780713
2021-05-25,124.43,136.26259734803767
2021-05-26,116.69,129.67901421317634
2021-05-27,106.59,120.58464165380322
2021-05-28,107.25,120.25350493861545
2021-05-29,119.43,123.50518955595274
2021-05-30,123.07,123.16378172463942
2021-05-31,106.4,121.16466802509386
2021-06-01,105.36,116.29672414820348
2021-06-02,101.89,112.12981705315684
2021-06-03,97.28,106.40389468799334
2021-06-04,99.07,106.61367942160462
2021-06-05,102.67,107.00213642875627
2021-06-06,104.86,107.02954450477355
2021-06-07,99.89,105.28683877910875
2021-06-08,107.37,112.23575764719253
2021-06-09,105.08,111.4982206084251
2021-06-10,98.95,105.95509710303158
2021-06-11,95.96,101.4665069516957
2021-06-12,97.19,100.07434824387916
2021-06-13,97.25,100.77039640319502
2021-06-14,96.73,100.84608552229412
2021-06-15,95.83,98.79088501005472
2021-06-16,92.97,96.91056185370437
2021-06-17,92.08,93.74962815755
2021-06-18,94.1,94.9974040569972
2021-06-19,89.88,93.45336220881832
2021-06-20,90.35,94.72760762287713
2021-06-21,94.1,98.97170891021766
2021-06-22,105.11,105.93914332796783
2021-06-23,99.01,104.70075701888898
2021-06-24,99.21,102.16805671440576
2021-06-25,97.11,100.6101623215794
2021-06-26,104.15,103.916641135224
2021-06-27,103.38,103.6376367226851
2021-06-28,103.85,104.54493331902961
2021-06-29,98.06,103.12963043280857
2021-06-30,98.79,103.23895932213378
2021-07-01,101.96,102.67148322675123
2021-07-02,98.72,102.07566749175638
2021-07-04,95.77,99.14481064302424
2021-07-05,94.84,97.61130882821058
2021-07-06,94.45,96.51961277227393
2021-07-07,93.77,94.444688160315
2021-07-08,93.22,94.91729305715597
2021-07-09,90.64,93.77459071919372
2021-07-10,89.23,92.40903238951992
2021-07-11,88.42,90.68374689881071
2021-07-12,88.19,89.26788802831297
2021-07-13,89.34,89.90774509129048
2021-07-14,86.64,89.99620124365657
2021-07-15,84.27,86.65613347415433
2021-07-16,82.37,84.22992203005339
2021-07-17,81.66,82.73885776209886
2021-07-18,81.64,81.6901071196971
2021-07-19,83.3,82.58818811729583
2021-07-20,88.1,85.93666671413087
2021-07-21,86.96,86.72859017957461
2021-07-23,79.9,84.18699436154563
2021-07-24,79.57,83.12580703049642
2021-07-25,81.0,83.1658578639477
2021-07-26,83.9,85.94263460216277
2021-07-27,84.94,86.85349221601844
2021-07-28,91.84,91.02980853661012
2021-07-29,91.62,91.2957434422998
2021-07-30,86.32,91.00626156296369
2021-07-31,87.23,91.2035203226937
2021-08-01,87.33,90.64904030168913
2021-08-02,88.07,89.93945764129275
2021-08-03,88.35,90.76642339596823
2021-08-04,88.9,91.75421767611567
2021-08-05,91.45,93.74412803692184
2021-08-06,90.97,93.69976323256196
2021-08-07,92.3,94.7570240987126
2021-08-08,95.48,95.54786105966389
2021-08-09,95.78,99.62418530589974
2021-08-10,103.35,103.48795053445144
2021-08-11,100.33,103.84307058038152
2021-08-12,97.55,100.58032677599645
2021-08-13,93.79,98.31552302986026
2021-08-14,97.25,98.4918194320548
2021-08-15,96.68,97.13784739932066
2021-08-16,97.61,97.46410854649191
2021-08-17,95.22,97.1460008084402
2021-08-18,94.16,95.99602428092788
