Date,EMA
2017-07-14,100.96957009548149
2017-07-15,100.02941928474556
2017-07-16,102.78730238378954
2017-07-17,105.06696458018322
2017-07-20,106.76695871397412
2017-07-21,106.04494303465569
2017-07-22,105.1036947647557
2017-07-24,99.20580994805222
2017-08-11,98.19936183219127
2017-08-12,97.31849431068323
2017-08-19,98.40923081575752
2017-08-22,99.38559858498095
2017-08-24,94.83995862645648
2017-08-25,91.19826729587429
2017-08-29,87.60340405987267
2017-08-30,83.78108608338562
2017-08-31,80.5523352946363
2017-09-01,78.57583746401028
2017-09-02,78.75465715729779
2017-09-03,79.41880641754496
2017-09-04,80.73596189304271
2017-09-05,82.1901682299234
2017-09-06,83.33509065141936
2017-09-07,82.47109958729378
2017-09-08,83.97091624511917
2017-09-09,85.22828657998508
2017-09-13,91.45426960939227
2017-09-15,102.37635521415851
2017-09-16,106.83761634989318
2017-09-19,106.87863817613996
2017-09-21,106.94437659950084
2017-09-28,104.92036409511954
2017-10-02,98.49547937515344
2017-10-03,94.08073398528025
2017-10-06,89.32678019004301
2017-10-07,85.71566643913823
2017-10-09,81.88957977307987
2017-10-12,80.74424435755834
2017-10-13,81.0563608761167
2017-10-18,81.29418457502257
2017-10-19,83.10582184773676
2017-10-21,84.55577536217133
2017-10-22,85.2986119099124
2017-10-23,87.3943723108757
2017-10-24,89.13560008905716
2017-10-26,90.37616823074978
2017-11-02,90.8935905765745
2017-11-06,93.77191290322946
2017-11-08,89.49919599094177
2017-11-09,86.76696411921509
2017-11-10,85.95871655201383
2017-11-12,88.17356477863042
2017-11-13,91.42664828091087
2017-11-15,93.14053746945724
2017-11-16,94.90134234485387
2017-11-17,97.77808660583155
2017-11-18,98.14483984951876
2017-11-19,98.52771393122329
2017-11-20,99.93165339329417
2017-11-21,99.30642128573137
2017-11-22,99.50563751991564
2017-11-23,98.11467253309533
2017-11-24,95.67039741830281
2017-11-25,94.79499785767094
2017-11-26,92.88689982395103
2017-11-27,93.3676275240488
2017-11-28,92.37017837154822
2017-11-29,96.63854595970771
2017-11-30,100.85764896500993
2017-12-01,104.00538393753511
2017-12-02,105.69188996477344
2017-12-03,106.38597389037979
2017-12-04,110.58659481832446
2017-12-05,113.43214371217563
2017-12-06,116.65466796705537
2017-12-09,127.14316362659261
2017-12-10,135.08500965248527
2017-12-13,137.27289512885702
2017-12-14,138.90677686285412
2017-12-16,137.9299081535426
2017-12-18,141.63850434347478
2017-12-19,144.29970021819284
2017-12-20,146.9201746770936
2017-12-21,147.17774049903315
2017-12-23,150.68261278521018
2017-12-24,154.43281820341736
2017-12-27,151.29215850195624
2017-12-28,148.16270330271612
2017-12-30,147.2328551909153
2017-12-31,146.4319964382346
2018-01-02,145.23310507068385
2018-01-04,145.0811171864138
2018-01-05,144.59733568934251
2018-01-07,142.5893319493972
2018-01-10,141.7858370411077
2018-01-11,141.76417442994327
2018-01-12,141.49250037767044
2018-01-15,139.7487518380663
2018-01-16,141.39090100657478
2018-01-17,146.26136307617182
2018-01-18,148.5047764550986
2018-01-22,146.8348382327907
2018-01-23,147.33538216258825
2018-01-25,148.02291879185753
2018-01-26,144.75184245291706
2018-01-30,145.36677331227958
2018-01-31,144.06690716231998
2018-02-01,143.1296063894965
2018-02-02,145.16348213121557
2018-02-03,146.13925900802906
2018-02-04,145.39000040054913
2018-02-05,143.43580670356278
2018-02-06,144.40150728365373
2018-02-07,144.63259830903314
2018-02-08,144.4389930772234
2018-02-09,146.18591511253675
2018-02-15,146.55478074447376
2018-02-16,146.27236368798853
2018-02-17,145.5805430743868
2018-02-18,146.48816910499232
2018-02-19,148.26802131293192
2018-02-20,149.7183236725997
2018-02-21,151.38916392757662
2018-02-22,150.54605498792208
2018-02-23,151.28273028544692
2018-02-24,150.88096874950216
2018-02-26,150.53684005398526
2018-02-27,149.59695579795292
2018-02-28,148.64831566413363
2018-03-01,147.2287308319664
2018-03-02,144.94899307763333
2018-03-03,144.30558836527769
2018-03-04,142.18699471165058
2018-03-05,142.13424427411405
2018-03-06,142.65765449565248
2018-03-07,142.46734381593984
2018-03-08,144.41640219285392
2018-03-09,144.25911379570437
2018-03-10,143.0089146854289
2018-03-11,141.5694972859513
2018-03-12,140.12246386179655
2018-03-13,136.37056816601148
2018-03-14,133.47638514569076
2018-03-15,131.53084399929654
2018-03-16,127.6536038035707
2018-03-17,128.16866314951304
2018-03-18,127.88154336526341
2018-03-19,126.78271729135363
2018-03-20,122.37525458618353
2018-03-21,118.8678797441397
2018-03-22,116.15421378735661
2018-03-24,113.01029852305537
2018-03-25,110.6011682090799
2018-03-26,109.94479522483469
2018-03-27,106.62537108076029
2018-03-28,105.54905616189744
2018-03-29,104.04418970678691
2018-03-30,104.35763028239663
2018-03-31,102.69645743953016
2018-04-01,103.65624327104788
2018-04-02,101.04146894011494
2018-04-03,102.27728317352933
2018-04-04,103.55400105954647
2018-04-05,103.74717421276182
2018-04-06,104.6048886651125
2018-04-07,100.31730288142705
2018-04-08,100.41704077496168
2018-04-09,97.24622678702613
2018-04-10,97.41321539089351
2018-04-11,98.57873992857141
2018-04-12,98.4067846941162
2018-04-13,98.02000934477081
2018-04-14,98.04245143601105
2018-04-15,97.09873472448635
2018-04-16,95.86138080741387
2018-04-17,94.75285244685291
2018-04-18,95.16116914461837
2018-04-19,95.36357010153458
2018-04-20,93.89783630036798
2018-04-21,94.0427800047708
2018-04-22,93.30303176587279
2018-04-23,92.28370276384409
2018-04-24,91.42318711757119
2018-04-25,90.55240746142186
2018-04-27,90.14371785197001
2018-04-28,90.55091717580905
