Date,Open,High,Low,Close,Adj Close,Volume
2011-11-03,737.219971,752.190002,725.559998,751.530029,751.530029,4849140000
2011-11-04,747.479980,748.659973,737.210022,746.489990,746.489990,3830650000
2011-11-07,746.479980,748.830017,730.640015,745.270020,745.270020,3429740000
2011-11-08,749.130005,756.760010,736.640015,755.270020,755.270020,3908490000
2011-11-09,743.460022,743.460022,718.859985,718.859985,718.859985,4659740000
2011-11-10,721.809998,730.669983,717.979980,725.479980,725.479980,4002760000
2011-11-11,732.099976,744.820007,732.099976,744.640015,744.640015,3370180000
2011-11-14,741.469971,742.210022,728.609985,732.890015,732.890015,3219680000
2011-11-15,729.390015,745.760010,725.489990,743.080017,743.080017,3599300000
2011-11-16,736.229980,747.760010,729.530029,729.859985,729.859985,4085010000
2011-11-17,729.799988,733.460022,716.250000,718.750000,718.750000,4596450000
2011-11-18,720.260010,723.369995,715.520020,719.419983,719.419983,3827610000
2011-11-21,710.409973,710.409973,696.719971,701.900024,701.900024,4050070000
2011-11-22,701.890015,705.250000,693.900024,696.260010,696.260010,3911710000
2011-11-23,690.770020,690.770020,674.299988,674.340027,674.340027,3798940000
2011-11-25,671.900024,679.809998,666.159973,666.159973,666.159973,1664200000
2011-11-28,677.820007,698.179993,677.820007,697.900024,697.900024,3920750000
2011-11-29,697.849976,700.599976,691.960022,696.099976,696.099976,3992650000
2011-11-30,696.090027,737.419983,696.090027,737.419983,737.419983,5801910000
2011-12-01,734.510010,739.960022,730.750000,730.750000,730.750000,3818680000
2011-12-02,738.559998,744.960022,734.140015,735.020020,735.020020,4144310000
2011-12-05,743.640015,752.710022,741.590027,747.030029,747.030029,4148060000
2011-12-06,746.650024,751.809998,740.890015,746.780029,746.780029,3734230000
2011-12-07,746.750000,749.000000,732.159973,746.140015,746.140015,4160540000
2011-12-08,740.760010,740.760010,721.859985,722.679993,722.679993,4298370000
2011-12-09,725.409973,748.440002,725.309998,745.400024,745.400024,3830610000
2011-12-12,737.150024,737.150024,725.250000,733.150024,733.150024,3600570000
2011-12-13,736.809998,742.190002,715.830017,718.059998,718.059998,4121570000
2011-12-14,713.219971,715.090027,705.780029,708.460022,708.460022,4298290000
2011-12-15,716.099976,718.000000,710.340027,716.010010,716.010010,3810340000
2011-12-16,718.679993,730.729980,717.650024,722.049988,722.049988,5345800000
2011-12-19,725.780029,729.030029,707.830017,708.559998,708.559998,3659820000
2011-12-20,718.140015,738.219971,718.140015,738.219971,738.219971,4055590000
2011-12-21,736.309998,742.119995,727.119995,740.450012,740.450012,3582780000
2011-12-22,742.250000,748.210022,742.250000,745.510010,745.510010,3492250000
2011-12-23,747.500000,748.520020,744.250000,747.979980,747.979980,2233830000
2011-12-27,745.609985,753.190002,744.200012,751.309998,751.309998,2130590000
2011-12-28,750.599976,750.599976,734.690002,735.210022,735.210022,2349980000
2011-12-29,737.159973,745.909973,737.080017,744.979980,744.979980,2278130000
2011-12-30,743.630005,746.469971,740.400024,740.919983,740.919983,2271850000
2012-01-03,750.700012,759.369995,749.500000,752.280029,752.280029,3943710000
2012-01-04,748.349976,749.609985,742.890015,747.280029,747.280029,3592580000
2012-01-05,743.729980,754.390015,736.780029,752.289978,752.289978,4315950000
2012-01-06,752.109985,754.750000,745.789978,749.710022,749.710022,3656830000
2012-01-09,753.070007,754.440002,747.260010,753.510010,753.510010,3371600000
2012-01-10,758.250000,765.280029,758.250000,764.750000,764.750000,4221960000
2012-01-11,762.010010,767.869995,761.099976,767.239990,767.239990,3968120000
2012-01-12,768.679993,770.619995,761.919983,770.489990,770.489990,4019890000
2012-01-13,763.119995,765.989990,758.950012,764.200012,764.200012,3692370000
2012-01-17,769.049988,773.260010,763.809998,765.530029,765.530029,4010490000
2012-01-18,765.489990,779.260010,764.700012,779.260010,779.260010,4096160000
2012-01-19,780.630005,784.570007,779.080017,782.369995,782.369995,4465890000
2012-01-20,780.849976,785.880005,780.219971,784.619995,784.619995,3912620000
2012-01-23,784.349976,789.409973,778.380005,783.049988,783.049988,3770910000
2012-01-24,779.099976,788.799988,775.580017,788.270020,788.270020,3693560000
2012-01-25,787.429993,796.539978,784.099976,795.580017,795.580017,4410910000
2012-01-26,798.469971,800.219971,789.780029,792.909973,792.909973,4522070000
2012-01-27,789.710022,798.849976,789.690002,798.849976,798.849976,4007380000
2012-01-30,797.940002,797.940002,787.489990,792.380005,792.380005,3659010000
2012-01-31,794.969971,795.010010,788.020020,792.820007,792.820007,4235550000
2012-02-01,796.989990,810.190002,796.989990,809.659973,809.659973,4504360000
2012-02-02,810.239990,815.880005,809.140015,812.890015,812.890015,4120920000
2012-02-03,820.840027,833.020020,820.840027,831.109985,831.109985,4608550000
2012-02-06,827.479980,830.070007,825.619995,828.369995,828.369995,3379700000
2012-02-07,827.059998,830.659973,822.900024,827.369995,827.369995,3742460000
2012-02-08,827.250000,832.640015,821.580017,828.390015,828.390015,4096730000
2012-02-09,829.969971,830.789978,821.099976,824.989990,824.989990,4209890000
2012-02-10,823.400024,823.400024,812.849976,813.330017,813.330017,3877580000
2012-02-13,820.000000,824.890015,818.099976,824.809998,824.809998,3618040000
2012-02-14,824.760010,824.760010,815.419983,820.650024,820.650024,3889520000
2012-02-15,823.229980,824.140015,811.859985,813.979980,813.979980,4080340000
2012-02-16,813.630005,829.960022,813.630005,829.960022,829.960022,4108880000
2012-02-17,832.099976,832.229980,827.750000,828.679993,828.679993,3717640000
2012-02-21,830.099976,831.010010,820.369995,823.200012,823.200012,3795200000
2012-02-22,820.580017,823.619995,816.500000,816.500000,816.500000,3633710000
2012-02-23,817.770020,829.450012,814.270020,829.229980,829.229980,3786450000
2012-02-24,829.200012,830.869995,826.559998,826.919983,826.919983,3505360000
2012-02-27,822.000000,829.549988,814.919983,826.659973,826.659973,3648890000
2012-02-28,826.929993,830.659973,820.030029,823.799988,823.799988,3579120000
2012-02-29,824.880005,829.229980,810.929993,810.940002,810.940002,4482370000
2012-03-01,813.969971,823.789978,813.969971,815.219971,815.219971,3919240000
2012-03-02,815.299988,816.799988,800.130005,802.419983,802.419983,3283490000
2012-03-05,801.950012,804.260010,795.989990,803.650024,803.650024,3429480000
2012-03-06,796.460022,796.460022,785.409973,787.090027,787.090027,4191060000
2012-03-07,790.030029,796.179993,789.260010,795.950012,795.950012,3580380000
2012-03-08,800.640015,806.799988,794.820007,806.340027,806.340027,3543060000
2012-03-09,806.789978,821.190002,806.429993,817.000000,817.000000,3639470000
2012-03-12,817.309998,819.130005,811.840027,814.289978,814.289978,3081870000
2012-03-13,819.340027,831.229980,818.219971,831.229980,831.229980,4386470000
2012-03-14,830.070007,831.609985,821.179993,823.400024,823.400024,4502280000
2012-03-15,824.479980,831.460022,821.530029,831.460022,831.460022,4271650000
2012-03-16,832.219971,832.780029,827.679993,830.179993,830.179993,5163950000
2012-03-19,829.450012,843.250000,828.500000,837.770020,837.770020,3932570000
2012-03-20,832.309998,832.309998,826.700012,829.239990,829.239990,3695280000
