Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Call DH Cluster0,"(-Inf,-0.6]",-1.97,-1.85,-1.97,0.48,-1.62,-2.31,2
Long Call DH Cluster0,"(-0.6,-0.2]",-4.59,-3.91,-5.26,0.99,-2.14,-5.47,78
Long Call DH Cluster0,"(-0.2,0.2]",-7.09,-11.32,-13.77,13.84,25.82,-24.77,1064
Long Call DH Cluster0,"(0.2,0.6]",-10.37,-13.5,-15.09,15.85,27.07,-28.35,699
Long Call DH Cluster0,"(0.6, Inf)",-14.12,-11.69,-15.55,8.54,26.6,-27.33,225
