Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Put DH Overall,"(-Inf,-0.6]",4.66,7.26,8.58,7.34,13.61,-6.54,72
Long Put DH Overall,"(-0.6,-0.05]",3.04,2.6,2.17,12.85,26.96,-27.79,1972
Long Put DH Overall,"(-0.05,0.05]",-0.55,-2.66,-4.67,8.13,18.3,-9.45,538
Long Put DH Overall,"(0.05,0.6]",-1.63,-2.36,-1.46,3.13,6.08,-5.72,87
Long Put DH Overall,"(0.6, Inf)",2.8,2.45,4.78,3.12,5.37,-17.62,162
