Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Put DH Cluster0,"(-Inf,-0.6]",9.39,9.24,9.41,1.24,13.61,7.47,49
Long Put DH Cluster0,"(-0.6,-0.05]",4.08,3.82,8.54,14.33,26.96,-27.79,1050
Long Put DH Cluster0,"(-0.05,0.05]",0.5,-2.79,-1.19,7.62,14.82,-9.45,254
Long Put DH Cluster0,"(0.05,0.6]",-1.11,-3.39,-3.31,4.84,6.08,-5.72,27
Long Put DH Cluster0,"(0.6, Inf)",-1.56,-1.56,-1.56,NA,-1.56,-1.56,1
