Date,Strike,Premium,IV,Spot,tau,quantity,value,PC_type,DividendYield,moneyness,IR,delta
2017-07-01,2300,326.55,0.9815,2436.94,27,0.01,24.3694,1,0,0.94380657710079,0.0101,0.995536302907535
2017-07-01,2300,330.25,0.9233,2464.55,27,1,2464.55,1,0,0.933233247448824,0.0101,0.9932452468838
2017-07-01,2300,326.11,0.9867,2433.63,27,0.2,486.726,1,0,0.945090256119459,0.0101,0.995702106767607
2017-07-01,2300,328.64,0.9571,2452.53,27,0.5,1226.265,1,0,0.937807080851203,0.0101,0.994680894168823
2017-07-01,2300,328.57,0.9582,2452.01,27,0.5,1226.005,1,0,0.938005962455292,0.0101,0.994722572810112
2017-07-01,2300,326.91,0.9746,2439.64,27,1,2439.64,1,0,0.942762046859373,0.0101,0.995305740218804
2017-07-01,2300,325.63,1.0072,2430.06,27,0.07,170.1042,1,0,0.946478687769026,0.0101,0.996312274534823
2017-07-01,2300,325.68,1.0058,2430.44,27,0.24,583.3056,1,0,0.946330705551258,0.0101,0.996273316999222
2017-07-01,2300,327.82,0.9733,2446.44,27,0.5,1223.22,1,0,0.940141593499125,0.0101,0.995268158442686
2017-07-01,2300,328.61,0.9575,2452.35,27,0.5,1226.175,1,0,0.937875914938732,0.0101,0.994696094669203
2017-07-01,2300,329.54,0.9432,2459.26,27,0.41,1008.2966,1,0,0.935240682156421,0.0101,0.994129053348554
2017-07-01,2300,329.39,0.9455,2458.13,27,0.07,172.0691,1,0,0.935670611399723,0.0101,0.994223660030281
2017-07-01,2300,328.81,0.955,2453.83,27,0.5,1226.915,1,0,0.937310245616037,0.0101,0.994600914517533
2017-07-01,2300,328.71,0.9559,2453.09,27,0.26,637.8034,1,0,0.93759299495738,0.0101,0.994635088461192
2017-07-01,2300,328.99,0.9522,2455.15,27,0.5,1227.575,1,0,0.936806305113741,0.0101,0.994492102796589
2017-07-01,2300,329,0.9521,2455.21,27,0.01,24.5521,1,0,0.936783411602266,0.0101,0.994488198085325
2017-07-01,2300,330.1,0.9345,2463.43,27,0.02,49.2686,1,0,0.93365754253216,0.0101,0.993758688324358
