,m,spdy,ret,spd_ret,volatility,cdf_m,cdf_ret,sigma_prime,sigma_double_prime
0,0.36787944117144233,1.8556508878433557e-06,-1.0,6.826558116291045e-07,1.1536020979396682,2.44998626941495e-08,2.44998626941495e-08,-0.3583651504580634,3.948953724314731
1,0.3715766910220457,2.3841940383444436e-06,-0.99,8.859109315225167e-07,1.1522837462268098,3.2279535155943506e-08,3.2279535155943506e-08,-0.3493819349414384,1.6692464422042632
2,0.37531109885139957,3.1055131275670666e-06,-0.9799999999999999,1.1655335444046423e-06,1.1510056542738998,4.258281161018118e-08,4.258281161018118e-08,-0.3352685469932421,1.5958537000878201
3,0.37908303810339883,4.040313817683247e-06,-0.97,1.531614436898507e-06,1.149767146091163,5.612597386850382e-08,5.612597386850382e-08,-0.32158042722887553,1.525096087798829
4,0.38289288597511206,5.249927675331741e-06,-0.9599999999999999,2.0101599587683818e-06,1.1485675405669296,7.390632517090268e-08,7.390632517090268e-08,-0.30830988643899754,1.4569169880615036
5,0.38674102345450123,6.812636131044136e-06,-0.95,2.634725869743123e-06,1.1474061528472972,9.721958371677886e-08,9.721958371677886e-08,-0.2954489934510653,1.3912580062305382
6,0.39062783535852114,8.82812599026937e-06,-0.94,3.448511745851225e-06,1.1462822956448122,1.2774597712983393e-07,1.2774597712983393e-07,-0.2829896095411685,1.328059246192512
7,0.39455371037160114,1.1423042082841627e-05,-0.9299999999999999,4.507003637516107e-06,1.1451952804752168,1.6766004884427588e-07,1.6766004884427588e-07,-0.2709234214192315,1.2672595772420505
8,0.39851904108451414,1.4757884461423662e-05,-0.92,5.8812979640026094e-06,1.1441444188218617,2.1977032704789679e-07,2.1977032704789679e-07,-0.25924197269212457,1.2087968905016124
9,0.40252422403363597,1.9035546712088866e-05,-0.91,7.662268669339601e-06,1.1431290232278943,2.876964875220267e-07,2.876964875220267e-07,-0.2479366937305835,1.152608343706449
10,0.4065696597405991,2.4511849010110214e-05,-0.9,9.965774111653451e-06,1.1421484083167943,3.76093430065616e-07,3.76093430065616e-07,-0.23699892988822147,1.0986305931058458
11,0.4106557527523455,3.150848531773901e-05,-0.89,1.2939140756242339e-05,1.1412018917422235,4.909338622294257e-07,4.909338622294257e-07,-0.22641996803930883,1.0468000120927345
12,0.4147829116815814,4.042887928901345e-05,-0.88,1.676920826752018e-05,1.1402887950685274,6.398635903348548e-07,6.398635903348548e-07,-0.21619106141947128,0.9970528956739679
13,0.418951549247639,5.1777528613740294e-05,-0.87,2.1692275828940453e-05,1.1394084445835215,8.326468470265525e-07,8.326468470265525e-07,-0.20630345276969078,0.9493256507323532
14,0.4231620823177488,6.618351310909171e-05,-0.86,2.8006353222347275e-05,1.1385601720454674,1.0817226988590889e-06,1.0817226988590889e-06,-0.1967483957976643,0.9035549716967931
15,0.4274149319487267,8.44289480019378e-05,-0.8499999999999999,3.608619306475083e-05,1.1377433153663532,1.4028979843372369e-06,1.4028979843372369e-06,-0.18751717498163728,0.8596780019974092
16,0.43171052342907973,0.00010748328033067832,-0.84,4.640166321143165e-05,1.1369572192337876,1.8162074137961781e-06,1.8162074137961781e-06,-0.1786011237538245,0.8176324809290054
17,0.4360492863215356,0.00013654445256124895,-0.83,5.954011109049738e-05,1.1362012356739375,2.346977522438287e-06,2.346977522438287e-06,-0.16999164110851966,0.7773568768361984
18,0.44043165450599925,0.00017308809210073972,-0.8200000000000001,7.623347477921558e-05,1.1354747245580676,3.027138204880764e-06,3.027138204880764e-06,-0.1616802066864342,0.7387905064854717
19,0.4448580662229411,0.0002189260264260118,-0.81,9.739100876174811e-05,1.134777054055302,3.896833684846612e-06,3.896833684846612e-06,-0.1536583943947394,0.7018736413769655
20,0.44932896411722156,0.0002762755681823607,-0.8,0.00012413861486227693,1.1341076010342803,5.006394074524856e-06,5.006394074524856e-06,-0.14591788462513716,0.6665476014646723
21,0.45384479528235583,0.0003478411589939901,-0.79,0.00015786589959440484,1.1334657514164062,6.418739249114402e-06,6.418739249114402e-06,-0.13845047513611292,0.6327548369045515
22,0.4584060113052235,0.0004369100998494127,-0.78,0.00020028221617093622,1.1328509004833824,8.212298673759832e-06,8.212298673759832e-06,-0.13124809066864346,0.6004389983616869
23,0.46301306831122807,0.0005474642234666348,-0.77,0.00025348308989791044,1.1322624531417094,1.0484544123556816e-05,1.0484544123556816e-05,-0.12430279136545451,0.5695449967087409
24,0.46766642700990924,0.0006843094722760581,-0.76,0.00032002856586838067,1.131699824146787,1.3356246945095407e-05,1.3356246945095407e-05,-0.11760678006456046,0.5400190526255125
25,0.4723665527410147,0.000853225425340677,-0.75,0.0004030351528791616,1.1311624382892107,1.697658759747256e-05,1.697658759747256e-05,-0.11115240853798161,0.5118087369198994
26,0.4771139155210344,0.0010611368578722238,-0.74,0.0005062831611631041,1.130649730545788,2.152926259335608e-05,2.152926259335608e-05,-0.1049321827458484,0.48486300211822125
27,0.48190899009020244,0.0013163094056693415,-0.73,0.0006343413363323469,1.13016114619773,2.723975249729893e-05,2.723975249729893e-05,-0.09893876717489236,0.4591322061294312
28,0.4867522559599717,0.0016285713300138432,-0.72,0.0007927107688759697,1.1296961409183877,3.4383934080395306e-05,3.4383934080395306e-05,-0.09316498832831799,0.4345681285490141
