Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Call DH Overall,"(0.8, Inf)",-2.23,-2.26,-3.06,2.38,3.51,-5.36,158
Long Call DH Overall,"(0.55,0.8]",-4.13,-3.17,-5.55,6.28,15.45,-12.73,278
Long Call DH Overall,"(0.45,0.55]",-7.43,-17.28,-5.68,12.2,16.94,-29.92,521
Long Call DH Overall,"(0.2,0.45]",-13.98,-20.71,-10.3,18.35,25.54,-43.93,1207
Long Call DH Overall,"(-Inf,0.2]",-15.32,-17.57,-10.16,15.52,22.19,-41.66,1716
