Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Straddle DH Cluster1,"(-Inf,0.2]",-12.85,-67.96,-98.08,215.07,474.68,-98.79,7
Long Straddle DH Cluster1,"(0.2,0.4]",-70.98,-68.82,-70.98,3.81,-68.28,-73.67,2
Long Straddle DH Cluster1,"(0.4,0.6]",-23.25,-22.75,-45.35,74.17,159.28,-86.37,11
Long Straddle DH Cluster1,"(0.6,0.8]",-70.9,-61.55,-74.41,24.9,-29.53,-95.56,8
Long Straddle DH Cluster1,"(0.8, Inf)",-85.35,-84.29,-88.76,13.67,-57.22,-96.58,7
