Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Put DH Overall,"(-Inf,0.2]",-6.36,-5.74,-8.34,11.61,15.68,-36.56,1426
Long Put DH Overall,"(0.2,0.45]",-3.34,-4.41,-4.19,9.62,19.94,-22.33,941
Long Put DH Overall,"(0.45,0.55]",-4.58,-5.31,-4.18,6.55,13.78,-12.42,200
Long Put DH Overall,"(0.55,0.8]",-5.86,-1.17,-5.96,4.61,8.71,-13.78,65
Long Put DH Overall,"(0.8, Inf)",0.35,0.65,0.63,0.93,3.07,-3.07,105
