Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Straddle DH Overall,"(-Inf,0.2]",-28.1,-67.95,-97.75,188.88,474.68,-98.79,9
Long Straddle DH Overall,"(0.2,0.4]",-82.13,-87.79,-80.31,14.05,-68.28,-99.62,4
Long Straddle DH Overall,"(0.4,0.6]",-11.64,-56.88,-28.48,71.44,159.28,-96.77,24
Long Straddle DH Overall,"(0.6,0.8]",-61.78,-65.19,-60.67,27.85,-6.87,-96.83,15
Long Straddle DH Overall,"(0.8, Inf)",-85.78,-84.03,-88.76,12.92,-57.22,-98.68,15
