Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Call DH Cluster0,"(0.8, Inf)",-2.34,-2.22,-3.05,1.43,3.3,-4.35,82
Long Call DH Cluster0,"(0.6,0.8]",-4.74,-2.24,-8.15,5.14,6.24,-12.73,85
Long Call DH Cluster0,"(0.4,0.6]",-13.91,-23.58,-8.37,14.94,16.94,-37.99,521
Long Call DH Cluster0,"(0.2,0.4]",-18.27,-19.92,-31.17,20.19,20.2,-43.93,584
Long Call DH Cluster0,"(-Inf,0.2]",-22.24,-25.13,-27.94,17.72,22.19,-41.66,795
