test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPrice_t,SellPrice_th,Option_type,num_ops,num_traded_calls,num_traded_puts,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,1,7000,7669.79,914.84,27,0.912698850618493,0.96374598726845,0.63195,0.0156,0,9245.608,1.2,7194.4,194.39999999999964,-0.7875038258056057,0.91,-0.08730114938150701,1,33.11350742543349,7.036493642062282,Call,2,0.036195954948880116,0.9638040450511198,"(-0.1,0.15]",27,-0.9737258786789258,0.0011546386853127366,-0.9748805173642385
2019-11-30,1,7500,7538.114,518.814,27,0.994992573403678,0.9559716291704,0.60446,0.0156,0,35444.275,4.7,7194.4,0,-1,0.99,-0.00500742659632202,1,21.429004376480126,0,Call,2,0.04130382830162665,0.9586961716983734,"(-0.1,0.15]",27,-0.31471823364369306,0.0011546386853127366,-0.3158728723290058
2019-11-30,1,8000,7612.94666666667,350.817777777778,27,1.05091564642252,0.955627884018833,0.6102,0.0156,0,88860.223,11.6,7194.4,0,-1,1.05,0.05091564642252,1,15.457062010173058,0,Call,2,0.04406008757048845,0.9559399124295116,"(-0.1,0.15]",27,0.20841300637491375,0.0011546386853127366,0.20725836768960101
2020-03-28,1,6000,6164.07421052632,744.572105263158,27,0.973499945817936,0.995877081083309,1.01586315789474,3e-4,0,992880.46,160.4,7477.6,1477.6000000000004,0.9844955103142958,0.97,-0.02650005418206402,0,1.982704328040168,3.934667837276436,Call,2,0.002662877529288329,0.9973371224707117,"(-0.1,0.15]",27,-0.9935761497625504,2.219202706132961e-5,-0.9935983417896117
2020-03-28,1,6500,6212.58384615385,536.631538461539,27,1.04641704312352,0.994624880131656,0.985615384615385,3e-4,0,578824.262,93.6,7477.6,977.6000000000004,0.8217341507781435,1.04,0.04641704312352002,0,1.966604796160705,3.5826311182500454,Call,2,0.003664720865640389,0.9963352791343596,"(-0.1,0.15]",27,-0.9959331559269815,2.219202706132961e-5,-0.9959553479540428
2020-05-30,1,9000,9612.60052631579,1065.24263157895,27,0.936348234006935,0.964047993777719,0.681742105263158,0.0014,0,444277.386,46.2,9240.85,240.85000000000036,-0.7739012757656893,0.93,-0.06365176599306499,1,40.88116074954671,9.243178290690283,Call,2,0.03837732319157264,0.9616226768084274,"(-0.1,0.15]",27,-0.9795547684959871,1.035670065276939e-4,-0.9796583355025148
2020-05-30,1,9500,9539.4175,718.88375,27,0.995942617419543,0.956998650739786,0.65686875,0.0014,0,237810.544,25,9240.85,0,-1,0.99,-0.00405738258045695,1,32.44181867294121,0,Call,2,0.045128045630383515,0.9548719543696165,"(-0.1,0.15]",27,-0.6106914648790146,1.035670065276939e-4,-0.6107950318855423
2020-05-30,1,10000,9533.64270833333,501.409375,27,1.04896308977858,0.955349170386911,0.6555875,0.0014,0,1732554.37,182.2,9240.85,0,-1,1.04,0.04896308977857999,1,23.532800579032404,0,Call,2,0.04693330789643174,0.9530666921035682,"(-0.1,0.15]",27,-0.168259876828766,1.035670065276939e-4,-0.1683634438352937
2020-07-04,1,9000,9142.073125,559.525,27,0.984480417084224,0.899118152099688,0.48341875,0.0014,0,762585.77,83.6,11114.93,2114.9300000000003,2.7798668513471254,0.98,-0.01551958291577604,1,59.94448698251692,226.58217926622498,Call,2,0.10713459985258375,0.8928654001474162,"(-0.1,0.15]",27,-0.4462186165030448,1.035670065276939e-4,-0.4463221835095725
2020-07-04,1,9250,9089.9,389.3645,27,1.01763035129679,0.884712605285531,0.458335,0.0014,0,986307.812,108.6,11114.93,1864.9300000000003,3.789676511340916,1.01,0.01763035129678991,1,42.702199672012675,204.5297227516289,Call,2,0.10967152802069186,0.8903284719793081,"(-0.1,0.15]",27,-0.586348134259659,1.035670065276939e-4,-0.5864517012661867
2020-08-29,1,10500,11466.0125,1305.715,27,0.915753300107597,0.930585037430622,0.55445,0.001,0,139711.696,12.2,10732.43,232.4300000000003,-0.8219902505523791,0.91,-0.08424669989240297,1,92.30809052541153,16.43174006641681,Call,2,0.07069543547053647,0.9293045645294635,"(-0.1,0.15]",27,-0.948557540762336,7.397533878017448e-5,-0.9486315161011162
2020-08-29,1,11000,11474.2723076923,952.381538461538,27,0.958673101843062,0.919155418296902,0.529084615384615,0.001,0,980754.96,85.6,10732.43,0,-1,0.95,-0.04132689815693802,1,78.8491740398171,0,Call,2,0.08279158179314228,0.9172084182068577,"(-0.1,0.15]",27,-0.43482292368265385,7.397533878017448e-5,-0.434896899021434
2020-08-29,1,11500,11484.3335483871,682.596129032258,27,1.00136861636697,0.91456478709101,0.523522580645161,0.001,0,3543219.86,308.8,10732.43,0,-1,1,0.00136861636696994,1,61.541913924111945,0,Call,2,0.09015860375792376,0.9098413962420763,"(-0.1,0.15]",27,0.16245599115529988,7.397533878017448e-5,0.1623820158165197
2020-08-29,1,12000,11512.7922580645,476.702903225806,27,1.04233298720912,0.909686866131341,0.517541935483871,0.001,0,2207040.644,192,10732.43,0,-1,1.04,0.04233298720912004,1,45.535772386922126,0,Call,2,0.09552233074056318,0.9044776692594368,"(-0.1,0.15]",27,0.40039025507716736,7.397533878017448e-5,0.4003162797383872
