test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPrice_t,SellPrice_th,Option_type,num_ops,num_traded_calls,num_traded_puts,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,1,7000,7704.74282526795,952.631802953359,27,0.908539492481187,0.966977032935516,0.648691618409519,0.0156,0,9245.608,1.2,7194.4,194.39999999999964,-0.795933749642497,0.9,-0.09146050751881296,1,33.54112718019739,6.84461205642701,Call,2,0.03520890975528304,0.964791090244717,"(-0.1,0.15]",27,-0.9760732834069252,0.0011546386853127366,-0.977227922092238
2019-11-30,1,7500,7541.70539548488,521.553583588605,27,0.994518860944399,0.956203959361513,0.605426231584649,0.0156,0,35444.275,4.7,7194.4,0,-1,0.99,-0.00548113905560099,1,21.207670924818142,0,Call,2,0.04066249680214352,0.9593375031978565,"(-0.1,0.15]",27,-0.30496919127962613,0.0011546386853127366,-0.30612382996493887
2019-11-30,1,8000,7661.40244395054,369.522808902584,27,1.04433678947666,0.95472244312444,0.605323595326786,0.0156,0,88860.223,11.6,7194.4,0,-1,1.04,0.04433678947665998,1,16.13218102736005,0,Call,2,0.043656793677417954,0.9563432063225821,"(-0.1,0.15]",27,0.20518761936076135,0.0011546386853127366,0.20403298067544862
2020-03-28,1,6000,6190.95809186838,769.716459273174,27,0.969300977078348,0.996170996398814,1.02451683121048,3e-4,0,992880.46,160.4,7477.6,1477.6000000000004,0.919667927323868,0.96,-0.03069902292165205,0,1.9158066261303401,3.6777125351369624,Call,2,0.0024889770811701148,0.9975110229188299,"(-0.1,0.15]",27,-0.9940645271061787,2.219202706132961e-5,-0.99408671913324
2020-03-28,1,6500,6184.81690001595,528.114203310089,27,1.05109623065524,0.994836870637853,0.991215608404473,3e-4,0,578824.262,93.6,7477.6,977.6000000000004,0.8511147662241343,1.05,0.05109623065524005,0,2.052887101103518,3.80012962624378,Call,2,0.003887202972835289,0.9961127970271647,"(-0.1,0.15]",27,-0.9955597956884417,2.219202706132961e-5,-0.995581987715503
2020-05-30,1,9000,9616.6968484759691,1065.7202024663,27,0.93590178816799,0.963309053215022,0.677862758244463,0.0014,0,444277.386,46.2,9240.85,240.85000000000036,-0.7740025952002947,0.93,-0.06409821183201003,1,41.30056942390863,9.333821506553413,Call,2,0.03875367036144239,0.9612463296385576,"(-0.1,0.15]",27,-0.9793506713860388,1.035670065276939e-4,-0.9794542383925665
2020-05-30,1,9500,9512.9241279803009,703.927805901912,27,0.998694153779826,0.957047016776871,0.657239818791214,0.0014,0,237810.544,25,9240.85,0,-1,0.99,-0.00130584622017404,1,33.0125439777889,0,Call,2,0.04689762742855621,0.9531023725714438,"(-0.1,0.15]",27,-0.6198880171280217,1.035670065276939e-4,-0.6199915841345494
2020-05-30,1,10000,9509.33368562919,482.940529144987,27,1.05162644910243,0.953510362172295,0.648327651487786,0.0014,0,1732554.37,182.2,9240.85,0,-1,1.05,0.05162644910243008,1,22.738451808960786,0,Call,2,0.04708333725731748,0.9529166627426825,"(-0.1,0.15]",27,-0.1746642343070723,1.035670065276939e-4,-0.1747678013136
2020-07-04,1,9000,9122.09577363651,539.454317168756,27,0.986643115567184,0.894798933729815,0.474566626347879,0.0014,0,762585.77,83.6,11114.93,2114.9300000000003,2.920498794225782,0.98,-0.01335688443281601,1,58.00335766689224,227.4020937940978,Call,2,0.10752227912701497,0.892477720872985,"(-0.1,0.15]",27,-0.43170442344905224,1.035670065276939e-4,-0.43180799045557994
2020-07-04,1,9250,9082.04657577844,377.150813658728,27,1.01849543091726,0.879498618773354,0.448126412226369,0.0014,0,986307.812,108.6,11114.93,1864.9300000000003,3.944785832246718,1.01,0.01849543091726002,1,41.83003766944816,206.8405776302338,Call,2,0.11091063880694384,0.8890893611930561,"(-0.1,0.15]",27,-0.5802910302140736,1.035670065276939e-4,-0.5803945972206013
2020-08-29,1,10500,11451.8142756214,1299.82707172634,27,0.916888160888119,0.931976625483248,0.558687432628403,0.001,0,139711.696,12.2,10732.43,232.4300000000003,-0.8211839058781081,0.91,-0.08311183911188103,1,90.00898221825616,16.095054636155385,Call,2,0.06924688997184256,0.9307531100281574,"(-0.1,0.15]",27,-0.9501276136654038,7.397533878017448e-5,-0.9502015890041839
2020-08-29,1,11000,11457.4478969317,945.84667786349,27,0.96007671477899,0.920737260009413,0.533357779960246,0.001,0,980754.96,85.6,10732.43,0,-1,0.96,-0.03992328522100996,1,79.53338205528367,0,Call,2,0.08408697087665025,0.9159130291233497,"(-0.1,0.15]",27,-0.4323992199397544,7.397533878017448e-5,-0.43247319527853456
2020-08-29,1,11500,11474.17954572,679.172983791178,27,1.0022522282882,0.915296816721713,0.525427233127667,0.001,0,3543219.86,308.8,10732.43,0,-1,1,0.00225222828820004,1,62.35466216995612,0,Call,2,0.09180969157796771,0.9081903084220323,"(-0.1,0.15]",27,0.16935720420656125,7.397533878017448e-5,0.16928322886778108
2020-08-29,1,12000,11495.1970128482,469.923237271375,27,1.04393183979806,0.910044984524946,0.518648642276567,0.001,0,2207040.644,192,10732.43,0,-1,1.04,0.04393183979805992,1,45.63208632097167,0,Call,2,0.09710540509964119,0.9028945949003588,"(-0.1,0.15]",27,0.40355973733401607,7.397533878017448e-5,0.4034857619952359
2020-08-29,1,13000,11542.6024350157,233.662734988324,27,1.12626606042615,0.915615121984824,0.542267294553953,0.001,0,1826033.894,158.2,10732.43,0,-1,1.12,0.12626606042615007,1,20.99707131819095,0,Call,2,0.08986059038999164,0.9101394096100084,"(-0.1,0.15]",27,0.37274129996668587,7.397533878017448e-5,0.3726673246279057
2021-02-27,1,44000,47876.2,8091.08,27,0.919037016304552,0.997908061350629,1.0959,4e-4,0,4787.62,0.1,51415.92,7415.919999999998,-0.08344497891505231,0.91,-0.08096298369544797,0,33.99180754043751,31.15536187694119,Call,2,0.004201145896522778,0.9957988541034772,"(-0.1,0.15]",27,-0.9904908077182184,2.958947885578489e-5,-0.9905203971970742
2021-02-27,1,48000,47182.1909774739,5131.53806411816,27,1.01734414282965,0.995556453851243,1.00812642819522,4e-4,0,13687403.715,290.1,51415.92,3415.9199999999983,-0.33432823505967424,1.01,0.01734414282964991,0,16.21835180340826,10.796098869397891,Call,2,0.0031605245056669645,0.996839475494333,"(-0.1,0.15]",27,-0.9979994684510046,2.958947885578489e-5,-0.9980290579298604
2021-02-27,1,50000,46711.1880253412,4160.44878749876,27,1.0704514438957,0.995977836431539,1.02704264000196,4e-4,0,24760581.296,530.1,51415.92,1415.9199999999985,-0.6596713305894959,1.07,0.07045144389570002,0,21.33126960891077,7.259642602837328,Call,2,0.005127155914767314,0.9948728440852327,"(-0.1,0.15]",27,-0.9988890091731869,2.958947885578489e-5,-0.9989185986520427
2021-02-27,1,52000,47016.3022487243,3655.37716849377,27,1.10610473074035,0.996096309661261,1.03187168545254,4e-4,0,26585185.998,565.5,51415.92,0,-1,1.1,0.10610473074034998,0,14.399578722332201,0,Call,2,0.003939286716140888,0.9960607132838591,"(-0.1,0.15]",27,-0.9228435816198551,2.958947885578489e-5,-0.9228731710987109
2021-07-03,1,32000,34360.6,4535.6,27,0.931299220618965,0.99188182291367,0.9183,5e-4,0,6872.12,0.2,40005.93,8005.93,0.7651314048857922,0.93,-0.06870077938103503,0,35.688852023910044,62.99551351172549,Call,2,0.007868606584335048,0.9921313934156649,"(-0.1,0.15]",27,-0.9730120983651585,3.698698537157874e-5,-0.97304908535053
2021-07-03,1,34000,34501.975652507,3476.40913754996,27,0.985577489054419,0.988968835909064,0.87892550683041,5e-4,0,355324.674,10.3,40005.93,6005.93,0.7276246156206889,0.98,-0.014422510945581,0,35.94421476710764,62.09811022081182,Call,2,0.010339466197709899,0.9896605338022901,"(-0.1,0.15]",27,-0.9797657589505467,3.698698537157874e-5,-0.9798027459359183
2021-07-03,1,35000,34618.8325242274,3030.87280627681,27,1.0110368750925,0.98745888326013,0.862187160247324,5e-4,0,1987068.968,57.4,40005.93,5005.93,0.6516463474260386,1.01,0.01103687509250006,0,33.604545045417424,55.50282408117747,Call,2,0.011087415141877227,0.9889125848581227,"(-0.1,0.15]",27,-0.9837617471711345,3.698698537157874e-5,-0.9837987341565061
2021-10-02,1,45000,48017.2498388125,5767.5902940802,27,0.937171195159699,0.978374451926216,0.770906238859871,4e-4,0,873906.501,18.2,60587.09,15587.089999999997,1.7025307286473588,0.93,-0.06282880484030096,0,122.46244374719069,330.9585173320314,Call,2,0.02123286112622892,0.9787671388737711,"(-0.1,0.15]",27,-0.8700000540792285,2.958947885578489e-5,-0.8700296435580843
2021-10-02,1,50000,47816.2325647933,3132.06971468904,27,1.04568345649278,0.974568911120766,0.755112680966203,4e-4,0,1788304.088,37.4,60587.09,10587.089999999997,2.380221695049693,1.04,0.04568345649277994,0,77.64917496290582,262.47142581232373,Call,2,0.024791649623487077,0.9752083503765129,"(-0.1,0.15]",27,-0.9465569472530574,2.958947885578489e-5,-0.9465865367319132
2022-02-26,1,36000,39150.0633709726,4608.20001432606,27,0.919546354773833,0.961861940850633,0.663095631583046,0.0033,0,50894.661,1.3,44004.47,8004.470000000001,0.7370057669188732,0.91,-0.08045364522616705,1,160.28801829354978,278.42121214389385,Call,2,0.03478321639582556,0.9652167836041744,"(-0.1,0.15]",27,-0.8100288483772335,2.4413938621137277e-4,-0.8102729877634449
2022-02-26,1,38000,39263.5733946515,3380.75573902473,27,0.967822314852439,0.956188477230763,0.643415006040421,0.0033,0,78526.811,2,44004.47,6004.470000000001,0.7760732994369337,0.96,-0.03217768514756103,1,148.01524918868762,262.8859319935323,Call,2,0.04378170462897346,0.9562182953710265,"(-0.1,0.15]",27,-0.8805248953255771,2.4413938621137277e-4,-0.8807690347117885
2022-02-26,1,40000,39222.9221474801,2340.5289217343,27,1.01982694570195,0.950963271549442,0.628642289335431,0.0033,0,3373121.307,86,44004.47,4004.470000000001,0.7109252369471868,1.01,0.01982694570194998,1,113.58792982980141,194.3404557583934,Call,2,0.04853088068043795,0.951469119319562,"(-0.1,0.15]",27,-0.9357994563671376,2.4413938621137277e-4,-0.936043595753349
