test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,-1,6500,7548.11,135.87,27,0.861142723145264,0.97045187936798,0.6627,0.0156,0,7548.11,1,7194.4,0,-1,0.86,-0.13885727685473603,1,135.87,0,7548.11,7194.4,"(-0.5,-0.1]",27,-0.06421818837249461,3.747968745786423e-4,-0.06459298524707326
2019-11-30,-1,6500,7473.05,153.2,27,0.869792119683396,0.97126011236738,0.6691,0.0156,0,7473.05,1,7194.4,0,-1,0.86,-0.13020788031660402,1,153.2,0,7473.05,7194.4,"(-0.5,-0.1]",27,-0.0571872142082483,3.747968745786423e-4,-0.05756201108282694
2019-11-30,-1,6500,7507.91,146.4,27,0.865753585218789,0.971162341091647,0.6679,0.0156,0,187697.75,25,7194.4,0,-1,0.86,-0.13424641478121102,1,146.4,0,7507.91,7194.4,"(-0.5,-0.1]",27,-0.060618615552465935,3.747968745786423e-4,-0.06099341242704458
2019-11-30,-1,6500,7531.23,143.09,27,0.863072831396731,0.971513829522446,0.6698,0.0156,0,7531.23,1,7194.4,0,-1,0.86,-0.13692716860326903,1,143.09,0,7531.23,7194.4,"(-0.5,-0.1]",27,-0.06304807176716057,3.747968745786423e-4,-0.06342286864173921
2019-11-30,-1,6500,7567.19,136.21,27,0.858971427967317,0.971079329243567,0.6664,0.0156,0,37835.95,5,7194.4,0,-1,0.85,-0.14102857203268304,1,136.21,0,7567.19,7194.4,"(-0.5,-0.1]",27,-0.0665662657115165,3.747968745786423e-4,-0.06694106258609514
2020-03-28,-1,3500,6243.26,68.68,27,0.56060455595314,0.999969557859926,1.5145,3e-4,0,624.326,0.1,7477.6,0,-1,0.56,-0.43939544404686,0,68.68,0,6243.26,7477.6,"(-0.5,-0.1]",27,0.18467500056181935,3.747968745786423e-4,0.1843002036872407
2020-03-28,-1,3500,6173.56,71,27,0.566933827483656,0.99996248605462,1.4956,3e-4,0,123471.2,20,7477.6,0,-1,0.56,-0.4330661725163441,0,71,0,6173.56,7477.6,"(-0.5,-0.1]",27,0.1974577569057613,3.747968745786423e-4,0.19708296003118267
2020-03-28,-1,3500,6161.8,67.78,27,0.568015839527411,0.999953768543491,1.476,3e-4,0,123236,20,7477.6,0,-1,0.56,-0.43198416047258903,0,67.78,0,6161.8,7477.6,"(-0.5,-0.1]",27,0.20033713966076422,3.747968745786423e-4,0.19996234278618558
2020-03-28,-1,3500,6142.65,67.57,27,0.569786655596526,0.999956672888022,1.4823,3e-4,0,24570.6,4,7477.6,0,-1,0.56,-0.430213344403474,0,67.57,0,6142.65,7477.6,"(-0.5,-0.1]",27,0.2040791589942896,3.747968745786423e-4,0.20370436211971096
2020-03-28,-1,3500,6114.64,76.43,27,0.572396739628171,0.999966046765562,1.5054,3e-4,0,122292.8,20,7477.6,0,-1,0.57,-0.42760326037182905,0,76.43,0,6114.64,7477.6,"(-0.5,-0.1]",27,0.20780363743067523,3.747968745786423e-4,0.2074288405560966
