test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2021-02-27,-1,32000,47433.8882587064,704.4465920398,27,0.67467551181423,5.1310265987912e-4,1.24294925373134,4e-4,0,1906842.308,40.2,51415.92,0,-1,0.67,-0.32532448818577,0,704.4465920398,0,47433.8882587064,51415.92,"(-0.5,-0.1]",27,-0.9638005123087797,5.49615124894709e-4,-0.9643501274336744
2021-02-27,-1,36000,47090.8555679012,1109.51583950617,27,0.76455807766273,0.0017938432526405,1.10292222222222,4e-4,0,3814359.301,81,51415.92,0,-1,0.76,-0.23544192233727,0,1109.51583950617,0,47090.8555679012,51415.92,"(-0.5,-0.1]",27,-0.9227530017652823,5.49615124894709e-4,-0.923302616890177
2021-02-27,-1,40000,47185.2318870523,2041.58874655647,27,0.847801910890114,0.00240305149313088,1.07632520661157,4e-4,0,6851295.67,145.2,51415.92,0,-1,0.84,-0.15219808910988597,0,2041.58874655647,0,47185.2318870523,51415.92,"(-0.5,-0.1]",27,-0.9426652410741146,5.49615124894709e-4,-0.9432148561990094
2021-07-03,-1,20000,34509.3478494624,190.356021505376,27,0.579553735371112,4.9815656489297e-4,1.23338387096774,5e-4,0,320936.935,9.3,40005.93,0,-1,0.57,-0.420446264628888,0,190.356021505376,0,34509.3478494624,40005.93,"(-0.5,-0.1]",27,-0.9039773689216603,5.49615124894709e-4,-0.904526984046555
2021-07-03,-1,24000,33963.7411656442,530.836932515337,27,0.706775961775863,0.00171859580637506,1.10191472392638,5e-4,0,1107217.962,32.6,40005.93,0,-1,0.7,-0.293224038224137,0,530.836932515337,0,33963.7411656442,40005.93,"(-0.5,-0.1]",27,-0.8833108940690475,5.49615124894709e-4,-0.8838605091939422
2021-07-03,-1,25000,34673.4314285714,589.445714285714,27,0.72101549814699,0.00188672233204014,1.0918,5e-4,0,24271.402,0.7,40005.93,0,-1,0.72,-0.27898450185301005,0,589.445714285714,0,34673.4314285714,40005.93,"(-0.5,-0.1]",27,-0.8847394521935464,5.49615124894709e-4,-0.8852890673184411
2021-07-03,-1,26000,34523.8737681159,729.466884057971,27,0.753159441620624,0.00258749974409738,1.05537753623188,5e-4,0,476429.458,13.8,40005.93,0,-1,0.75,-0.246840558379376,0,729.466884057971,0,34523.8737681159,40005.93,"(-0.5,-0.1]",27,-0.8735763769955843,5.49615124894709e-4,-0.874125992120479
2021-07-03,-1,28000,34458.8964805414,1071.65874788494,27,0.812574608627665,0.00416135684710308,0.999296615905245,5e-4,0,2036520.782,59.1,40005.93,0,-1,0.81,-0.18742539137233505,0,1071.65874788494,0,34458.8964805414,40005.93,"(-0.5,-0.1]",27,-0.862986434772722,5.49615124894709e-4,-0.8635360498976167
2021-07-03,-1,30000,34810.6232777778,1512.66108333333,27,0.861831159217239,0.00534435402046682,0.970295277777777,5e-4,0,1253182.438,36,40005.93,0,-1,0.86,-0.13816884078276104,0,1512.66108333333,0,34810.6232777778,40005.93,"(-0.5,-0.1]",27,-0.874135704113837,5.49615124894709e-4,-0.8746853192387317
2021-10-02,-1,25000,48096.7425314685,88.8377202797203,27,0.519789399020128,6.2055968560087e-4,1.20591230769231,4e-4,0,3438917.091,71.5,60587.09,0,-1,0.51,-0.480210600979872,0,88.8377202797203,0,48096.7425314685,60587.09,"(-0.5,-0.1]",27,-0.6832116443073459,5.49615124894709e-4,-0.6837612594322406
2021-10-02,-1,30000,47792.7393617021,167.773617021277,27,0.627712900204139,0.00353383720233435,1.00377872340426,4e-4,0,224625.875,4.7,60587.09,0,-1,0.62,-0.37228709979586105,0,167.773617021277,0,47792.7393617021,60587.09,"(-0.5,-0.1]",27,-0.3640423785482716,5.49615124894709e-4,-0.3645919936731663
2021-10-02,-1,35000,48063.0352409639,391.780397590361,27,0.728225714100644,0.0086845044126271,0.888604457831325,4e-4,0,3989231.925,83,60587.09,0,-1,0.72,-0.27177428589935604,0,391.780397590361,0,48063.0352409639,60587.09,"(-0.5,-0.1]",27,-0.34975379524622163,5.49615124894709e-4,-0.35030341037111634
2021-10-02,-1,40000,47859.4112720848,996.814593639576,27,0.835786491336219,0.0169473918019901,0.799409540636042,4e-4,0,1354421.339,28.3,60587.09,0,-1,0.83,-0.16421350866378104,0,996.814593639576,0,47859.4112720848,60587.09,"(-0.5,-0.1]",27,-0.43205415276061876,5.49615124894709e-4,-0.43260376788551347
2022-02-26,-1,20000,39445.3808823529,59.1670588235294,27,0.507039968833468,6.3749551065416e-4,1.19231176470588,0.0033,0,134114.295,3.4,44004.47,0,-1,0.5,-0.492960031166532,1,59.1670588235294,0,39445.3808823529,44004.47,"(-0.5,-0.1]",27,-0.6672808671495428,5.49615124894709e-4,-0.6678304822744375
2022-02-26,-1,22000,38791.24,77.58,27,0.567138353917018,0.00197076643056338,1.0639,0.0033,0,135769.34,3.5,44004.47,0,-1,0.56,-0.43286164608298205,1,77.58,0,38791.24,44004.47,"(-0.5,-0.1]",27,-0.43697077398500905,5.49615124894709e-4,-0.43752038910990376
2022-02-26,-1,25000,39335.6482278481,163.947004219409,27,0.635595926466702,0.0034870588185701,0.998650632911393,0.0033,0,932254.863,23.7,44004.47,0,-1,0.63,-0.3644040735332979,1,163.947004219409,0,39335.6482278481,44004.47,"(-0.5,-0.1]",27,-0.4904028846390103,5.49615124894709e-4,-0.490952499763905
2022-02-26,-1,30000,39229.8245408163,404.151479591837,27,0.764773650647736,0.0137401224611488,0.816362244897959,0.0033,0,768904.561,19.6,44004.47,0,-1,0.76,-0.23522634935226405,1,404.151479591837,0,39229.8245408163,44004.47,"(-0.5,-0.1]",27,-0.35894462750531947,5.49615124894709e-4,-0.3594942426302142
2022-02-26,-1,32000,39372.1769874477,602.692928870293,27,0.812779433239808,0.0200786693144108,0.761134728033472,0.0033,0,940995.03,23.9,44004.47,0,-1,0.81,-0.18722056676019205,1,602.692928870293,0,39372.1769874477,44004.47,"(-0.5,-0.1]",27,-0.36582706414641175,5.49615124894709e-4,-0.36637667927130646
2022-02-26,-1,34000,39390.1472666667,884.642533333334,27,0.863216316619856,0.0283661043440826,0.708830666666667,0.0033,0,590852.209,15,44004.47,0,-1,0.86,-0.13678368338014402,1,884.642533333334,0,39390.1472666667,44004.47,"(-0.5,-0.1]",27,-0.37650192636084207,5.49615124894709e-4,-0.3770515414857368
2022-02-26,-1,35000,39159.2906060606,1151.02067340067,27,0.89379351355835,0.0322451458365756,0.689979797979798,0.0033,0,1163030.931,29.7,44004.47,0,-1,0.89,-0.10620648644164998,1,1151.02067340067,0,39159.2906060606,44004.47,"(-0.5,-0.1]",27,-0.4121389809500834,5.49615124894709e-4,-0.4126885960749781
