test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,SellSpot_t,BuySpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2021-02-27,1,24000,45514.25,22074.41,27,0.527307381754066,0.999933979411434,1.4378,4e-4,0,254879.8,5.6,51415.92,27415.92,0.24197747527566985,0.52,-0.472692618245934,0,22074.41,27415.92,45514.25,51415.92,"(-0.5,-0.1]",27,-0.02388421326296904,3.160773391790439e-4,-0.024200290602148084
2021-02-27,1,28000,46608.405,19528.99,27,0.600751330998012,0.999783454863493,1.32585,4e-4,0,466084.05,10,51415.92,23415.92,0.1990338466044581,0.6,-0.399248669001988,0,19528.99,23415.92,46608.405,51415.92,"(-0.5,-0.1]",27,-0.033969966074871544,3.160773391790439e-4,-0.03428604341405059
2021-02-27,1,32000,45334.9879166667,14512.8795833333,27,0.70585734934744,0.999092659133499,1.1783375,4e-4,0,1303588.279,28.7,51415.92,19415.92,0.33784063241986706,0.7,-0.29414265065255996,0,14512.8795833333,19415.92,45334.9879166667,51415.92,"(-0.5,-0.1]",27,-0.03808762473613045,3.160773391790439e-4,-0.03840370207530949
2021-02-27,1,36000,45557.6615217391,11389.4156521739,27,0.790207763101123,0.998102735658647,1.0977847826087,4e-4,0,724070.96,15.9,51415.92,15415.919999999998,0.3535303716005447,0.79,-0.20979223689887705,0,11389.4156521739,15415.919999999998,45557.6615217391,51415.92,"(-0.5,-0.1]",27,-0.05341968091345411,3.160773391790439e-4,-0.05373575825263315
2021-10-02,1,40000,47541.91,9032.96,27,0.84136376536821,0.985613454470978,0.825166666666667,4e-4,0,33279.771,0.7,60587.09,20587.089999999997,1.2791078450474704,0.84,-0.15863623463179,0,9032.96,20587.089999999997,47541.91,60587.09,"(-0.5,-0.1]",27,-0.03445804101346716,3.160773391790439e-4,-0.034774118352646204
2022-02-26,1,35000,39363.445,5491.23,27,0.88915136805132,0.965977878009473,0.68,0.0033,0,23638.849,0.6,44004.47,9004.470000000001,0.6397910850574464,0.88,-0.11084863194868,1,5491.23,9004.470000000001,39363.445,44004.47,"(-0.5,-0.1]",27,-0.02981243250535806,3.160773391790439e-4,-0.030128509844537105
2022-07-30,1,19000,24544.48,5915.22,27,0.774104808902042,0.992041238010887,0.8506,0.0234,0,17181.136,0.7,21597.93,2597.9300000000003,-0.5608058533748533,0.77,-0.22589519109795797,0,5915.22,2597.9300000000003,24544.48,21597.93,"(-0.5,-0.1]",27,-0.02138400127123372,3.160773391790439e-4,-0.021700078610412763
2022-07-30,1,21000,24159.8260526316,3876.54,27,0.869297292763881,0.985436637091823,0.765547368421053,0.0234,0,885517.718,36.6,21597.93,597.9300000000003,-0.845756783110712,0.86,-0.130702707236119,0,3876.54,597.9300000000003,24159.8260526316,21597.93,"(-0.5,-0.1]",27,-0.03783087699073714,3.160773391790439e-4,-0.03814695432991618
2019-11-30,1,7000,7669.79,914.84,27,0.912698850618493,0.96374598726845,0.63195,0.0156,0,9245.608,1.2,7194.4,194.39999999999964,-0.7875038258056057,0.91,-0.08730114938150701,1,914.84,194.39999999999964,7669.79,7194.4,"(-0.1,0.15]",27,-0.04049548811450275,5.710970113459446e-4,-0.041066585125848695
2019-11-30,1,7500,7538.114,518.814,27,0.994992573403678,0.9559716291704,0.60446,0.0156,0,35444.275,4.7,7194.4,0,-1,0.99,-0.00500742659632202,1,518.814,0,7538.114,7194.4,"(-0.1,0.15]",27,-0.028446467682242727,5.710970113459446e-4,-0.029017564693588672
