Cluster,Group,Equally_Average,Weighted_Average,Num_obs
Long Straddle simple Overall,"(-Inf,0.2]",-22.33,-38.44,9
Long Straddle simple Overall,"(0.2,0.4]",-66.11,-78.84,4
Long Straddle simple Overall,"(0.4,0.6]",-11.62,-56.69,24
Long Straddle simple Overall,"(0.6,0.8]",-47.95,-55.96,15
Long Straddle simple Overall,"(0.8, Inf)",-35.21,-36.26,15
