test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,Tau_th,Premium_th,Delta_th,option_return,M_floor,Return_t,Cluster
2021-12-17,-1,36000,47043.9597424091,261.725683181431,14,0.765257711671638,0.0304284372851806,0.962060595484286,5e-4,0,658601.661,14,47132.96,0,23.57,0,0,0.76,-0.26754262388411365,1
2021-12-17,-1,38000,47174.9096379024,381.36141250291,14,0.805690804976473,0.0403839896411562,0.89851131308071,5e-4,0,2660077.522,56.4,47132.96,0,23.57,0,0,0.8,-0.21605522672970082,1
2021-12-17,-1,40000,46838.3332271043,627.361035502019,14,0.854173686412339,0.0517669089095845,0.842529191831883,5e-4,0,8639928.995,184.5,47132.96,0,23.5027980139775,0,0,0.85,-0.1576207259985167,1
2021-12-17,-1,44000,46768.5955159441,1498.31094350809,14,0.940889270703692,0.0721670873357456,0.767729099851429,5e-4,0,5882945.18,125.8,47132.96,0,23.46,0,0,0.94,-0.06092981826145957,1
2021-12-17,-1,45000,45889.4997963305,2232.90761644566,14,0.98063635454319,0.0726226193624792,0.773687124767671,5e-4,0,50477.427,1.1,47132.96,0,23.5406669860037,0,0,0.98,-0.01955357667780596,1
2021-12-17,-1,46000,46384.763833796,2494.59395832786,14,0.991882924421147,0.0762412726939675,0.762082093650433,5e-4,0,5639375.235,121.6,47132.96,0,29.7397152546521,0,0,0.99,-0.00815019839888836,1
2021-12-17,-1,48000,46282.1744122997,3609.56600142988,14,1.03736416117998,0.0837429907763059,0.743621949819847,5e-4,0,2512521.733,54.3,47132.96,0,775.04660020111,1,-0.7597938368057171,1.03,0.036683035567616956,1
2021-12-17,-1,50000,46451.776084808604,4826.24706154727,14,1.07657558572264,0.0875637267763159,0.737882471762775,5e-4,0,1370084.943,29.5,47132.96,0,2788.06006512375,1,-0.405948356261554,1.07,0.0737852496840214,1
2021-12-17,-1,52000,45709.95,7039.33,14,1.13760789499879,0.0700099305643751,0.8103,5e-4,0,13712.985,0.3,47132.96,0,4801.95446924629,1,-0.30859328941816894,1.13,0.12892772009092016,1
2022-01-07,-1,34000,41758.6165271562,230.95844501769,14,0.814250744474246,0.0617499993333382,0.783361617730186,0.001,0,1774637.616,42.5,40684.42,0,21.6597520580631,0,0,0.81,-0.20548692051949316,1
2022-01-07,-1,35000,42075.6749792729,338.584960982765,14,0.831971452027642,0.0614483614443986,0.789406681550339,0.001,0,4833699.51,114.9,40684.42,0,26.5168609206653,0,0,0.83,-0.18395715121639106,1
2022-01-07,-1,36000,41747.5841622954,449.450380667427,14,0.86236693414562,0.0733934931150313,0.744778234568076,0.001,0,10135824.617,242.8,40684.42,0,38.0227268859209,0,0,0.86,-0.14807442123034517,1
2022-01-07,-1,38000,42128.1137327478,731.233562569857,14,0.902161585776563,0.0849526076434746,0.710742360254481,0.001,0,12210894.56,289.9,40684.42,0,75.8970585850811,0,0,0.9,-0.10296163330430358,1
2022-01-07,-1,39000,41885.8015216869,981.866361314256,14,0.931149097716301,0.0948339846334219,0.683403975402436,0.001,0,9834300.46,234.8,40684.42,0,301.883656892044,0.48222275349665,0,0.93,-0.07133586660439246,1
2022-01-07,-1,40000,41971.9033749386,1292.08120607572,14,0.953172039662549,0.0994887360601883,0.673790587376814,0.001,0,6236020.102,148.6,40684.42,0,539.769148468655,0.714139568697852,0,0.95,-0.04795986731560817,1
2022-01-07,-1,41000,41815.0184386056,1716.50747824689,14,0.98057585883454,0.105939240675904,0.660146429204537,0.001,0,4147766.808,99.2,40684.42,0,1135.9784415108,0.885552050366781,-0.8161499416697496,0.98,-0.01961526883764109,1
2022-01-07,-1,42000,42123.1650557486,2087.95935641761,14,0.997195009716199,0.10696999640648,0.66104470181584,0.001,0,5134201.385,121.9,40684.42,0,2288.54259992082,1,-0.36992068549782897,0.99,-0.0028089316410850767,1
2022-01-07,-1,43000,42308.4241133219,2486.27783387639,14,1.01640686977585,0.11173122164434,0.651207244580262,0.001,0,884193.158,20.9,40684.42,0,3825.95147736103,1,-0.06865597703948115,1.01,0.016273731370438152,1
2022-01-07,-1,44000,41950.2706061853,3305.39653717826,14,1.04890129149206,0.118513133920551,0.640650898638883,0.001,0,952234.503,22.7,40684.42,0,4450.74888635254,1,0.003080859650937675,1.04,0.047743227267015985,1
2022-01-07,-1,46000,41804.0912134208,4799.8014055813,14,1.10041773376932,0.1306822464908,0.620983406740484,0.001,0,142127.844,3.4,40684.42,0,6158.38,1,0.10745831980026185,1.1,0.09568986568662576,1
2022-01-14,-1,35000,42700.5898166053,145.249210127122,14,0.819704183084362,0.0890341984504989,0.673938802722888,0.0013,0,6434638.384,150.7,37146.85,0,22.5045548225718,0,0,0.81,-0.19881175614676014,0
2022-01-14,-1,38000,42555.3975380199,418.320072891459,14,0.892988832121156,0.119013334238575,0.599608662954009,0.0013,0,7646904.143,179.7,37146.85,0,825.915871549584,1,1.0394670380098332,0.89,-0.11318120420718053,0
2022-01-14,-1,40000,42578.991629551,840.567749666703,14,0.939534756293798,0.131939086796186,0.577409009878528,0.0013,0,14794556.462,347.5,37146.85,0,2602.50948370964,1,2.3943129523245634,0.93,-0.06237046635435549,0
