test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,-1,7500,7511.09,495.73,27,0.99852351656018,0.96211072938981,0.6341,0.0156,0,7511.09,1,7194.4,305.60000000000036,-0.3835353922498127,0.99,-0.0014764834398199866,1
2019-11-30,-1,7500,7744.34,391.09,27,0.968449215814388,0.96017204956657,0.6205,0.0156,0,7744.34,1,7194.4,305.60000000000036,-0.2185941854816017,0.96,-0.03155078418561197,1
2019-11-30,-1,7500,7555.82,468.46,27,0.992612317392421,0.960822641456812,0.6269,0.0156,0,3777.91,0.5,7194.4,305.60000000000036,-0.3476497459761765,0.99,-0.007387682607579049,1
2019-11-30,-1,7500,7689.24,411.37,27,0.975388985127269,0.960104214321411,0.6211,0.0156,0,30756.96,4,7194.4,305.60000000000036,-0.2571164644966809,0.97,-0.024611014872730985,1
2019-11-30,-1,7500,7655.06,421.03,27,0.979744116963159,0.959055009284895,0.6166,0.0156,0,765.506,0.1,7194.4,305.60000000000036,-0.27416098615300477,0.97,-0.020255883036841005,1
2019-11-30,-1,8000,7720.35,656.23,27,1.03622245105468,0.956263861611955,0.611,0.0156,0,2316.105,0.3,7194.4,805.6000000000004,0.22761836551209225,1.03,0.03622245105468003,1
2019-11-30,-1,8000,7744.76,650.56,27,1.03295647637887,0.957844125418013,0.6178,0.0156,0,15489.52,2,7194.4,805.6000000000004,0.23831775700934643,1.03,0.03295647637886989,1
2019-11-30,-1,8000,7722.16,660.24,27,1.03597957048287,0.956735489214882,0.6131,0.0156,0,15444.32,2,7194.4,805.6000000000004,0.22016236520053378,1.03,0.03597957048287004,1
2019-11-30,-1,8000,7743.07,634.93,27,1.03318192913147,0.952973700097705,0.5962,0.0156,0,7743.07,1,7194.4,805.6000000000004,0.2688012851810442,1.03,0.03318192913146989,1
2019-11-30,-1,10000,7754.96,2295.47,27,1.28949730237164,0.967650723529782,0.6932,0.0156,0,7754.96,1,7194.4,2805.6000000000004,0.22223335526057864,1.28,0.28949730237164006,1
2019-11-30,-1,10000,7742.11,2299.41,27,1.29163755100354,0.964964214824734,0.6792,0.0156,0,7742.11,1,7194.4,2805.6000000000004,0.2201390791550879,1.29,0.29163755100354005,1
2020-03-28,-1,3000,6222.94,40.45,27,0.482087244935674,0.999993485991846,1.6448,3e-4,0,622.294,0.1,7477.6,0,-1,0.48,-0.517912755064326,0
2020-03-28,-1,3000,6222.94,40.45,27,0.482087244935674,0.999993485991846,1.6448,3e-4,0,12445.88,2,7477.6,0,-1,0.48,-0.517912755064326,0
2020-03-28,-1,3000,6161.16,36.97,27,0.486921294042031,0.999987152245016,1.5859,3e-4,0,61611.6,10,7477.6,0,-1,0.48,-0.513078705957969,0
2020-03-28,-1,3000,6158.88,36.95,27,0.487101550931338,0.999987077217106,1.5854,3e-4,0,8006.544,1.3,7477.6,0,-1,0.48,-0.512898449068662,0
2020-03-28,-1,3000,6222.94,40.45,27,0.482087244935674,0.999993485991846,1.6448,3e-4,0,49161.226,7.9,7477.6,0,-1,0.48,-0.517912755064326,0
2020-03-28,-1,3000,6284.37,47.13,27,0.477374820387724,0.999996492004167,1.6968,3e-4,0,6284.37,1,7477.6,0,-1,0.47,-0.5226251796122761,0
2020-03-28,-1,3000,6307.02,44.15,27,0.47566045454113,0.999995666597808,1.6789,3e-4,0,630.702,0.1,7477.6,0,-1,0.47,-0.52433954545887,0
2020-03-28,-1,3000,6281.99,47.11,27,0.477555679012542,0.999996869373756,1.7063,3e-4,0,12563.98,2,7477.6,0,-1,0.47,-0.5224443209874581,0
2020-03-28,-1,3000,6243.65,46.83,27,0.480488175986803,0.999996285253347,1.6923,3e-4,0,6243.65,1,7477.6,0,-1,0.48,-0.5195118240131971,0
2020-03-28,-1,3000,6245.45,46.84,27,0.480349694577653,0.999996316747049,1.693,3e-4,0,6245.45,1,7477.6,0,-1,0.48,-0.519650305422347,0
2020-03-28,-1,3000,6245.8,46.84,27,0.480322776906081,0.999996316857037,1.693,3e-4,0,6245.8,1,7477.6,0,-1,0.48,-0.5196772230939191,0
2020-03-28,-1,3000,6252.95,46.9,27,0.47977354688587,0.999996440276952,1.6958,3e-4,0,6252.95,1,7477.6,0,-1,0.47,-0.5202264531141301,0
2020-03-28,-1,3000,6250.51,46.88,27,0.479960835195848,0.999996405302219,1.695,3e-4,0,3125.255,0.5,7477.6,0,-1,0.47,-0.520039164804152,0
2020-03-28,-1,3000,6250.51,46.88,27,0.479960835195848,0.999996405302219,1.695,3e-4,0,28127.295,4.5,7477.6,0,-1,0.47,-0.520039164804152,0
2020-03-28,-1,3000,6268.89,47.02,27,0.478553619540301,0.999996679798903,1.7015,3e-4,0,3134.445,0.5,7477.6,0,-1,0.47,-0.5214463804596989,0
2020-03-28,-1,3000,6238.14,49.91,27,0.48091257971126,0.999997251655751,1.7174,3e-4,0,12476.28,2,7477.6,0,-1,0.48,-0.51908742028874,0
2020-03-28,-1,3000,6135,52.15,27,0.488997555012225,0.999997093270332,1.7135,3e-4,0,3681,0.6,7477.6,0,-1,0.48,-0.511002444987775,0
2020-03-28,-1,3000,6281.99,47.11,27,0.477555679012542,0.999996869373756,1.7063,3e-4,0,12563.98,2,7477.6,0,-1,0.47,-0.5224443209874581,0
2020-03-28,-1,3000,6284.37,47.13,27,0.477374820387724,0.999996492004167,1.6968,3e-4,0,6284.37,1,7477.6,0,-1,0.47,-0.5226251796122761,0
2020-03-28,-1,3000,6161.16,36.97,27,0.486921294042031,0.999987152245016,1.5859,3e-4,0,61611.6,10,7477.6,0,-1,0.48,-0.513078705957969,0
2020-03-28,-1,3000,6158.88,36.95,27,0.487101550931338,0.999987077217106,1.5854,3e-4,0,8006.544,1.3,7477.6,0,-1,0.48,-0.512898449068662,0
2020-03-28,-1,3000,6307.02,44.15,27,0.47566045454113,0.999995666597808,1.6789,3e-4,0,630.702,0.1,7477.6,0,-1,0.47,-0.52433954545887,0
2020-03-28,-1,3000,6238.14,49.91,27,0.48091257971126,0.999997251655751,1.7174,3e-4,0,12476.28,2,7477.6,0,-1,0.48,-0.51908742028874,0
2020-03-28,-1,3000,6222.94,40.45,27,0.482087244935674,0.999993485991846,1.6448,3e-4,0,622.294,0.1,7477.6,0,-1,0.48,-0.517912755064326,0
2020-03-28,-1,3000,6222.94,40.45,27,0.482087244935674,0.999993485991846,1.6448,3e-4,0,12445.88,2,7477.6,0,-1,0.48,-0.517912755064326,0
2020-03-28,-1,3000,6222.94,40.45,27,0.482087244935674,0.999993485991846,1.6448,3e-4,0,49161.226,7.9,7477.6,0,-1,0.48,-0.517912755064326,0
2020-03-28,-1,3000,6135,52.15,27,0.488997555012225,0.999997093270332,1.7135,3e-4,0,3681,0.6,7477.6,0,-1,0.48,-0.511002444987775,0
2020-03-28,-1,3000,6243.65,46.83,27,0.480488175986803,0.999996285253347,1.6923,3e-4,0,6243.65,1,7477.6,0,-1,0.48,-0.5195118240131971,0
2020-03-28,-1,3000,6245.45,46.84,27,0.480349694577653,0.999996316747049,1.693,3e-4,0,6245.45,1,7477.6,0,-1,0.48,-0.519650305422347,0
2020-03-28,-1,3000,6245.8,46.84,27,0.480322776906081,0.999996316857037,1.693,3e-4,0,6245.8,1,7477.6,0,-1,0.48,-0.5196772230939191,0
2020-03-28,-1,3000,6252.95,46.9,27,0.47977354688587,0.999996440276952,1.6958,3e-4,0,6252.95,1,7477.6,0,-1,0.47,-0.5202264531141301,0
2020-03-28,-1,3000,6250.51,46.88,27,0.479960835195848,0.999996405302219,1.695,3e-4,0,3125.255,0.5,7477.6,0,-1,0.47,-0.520039164804152,0
2020-03-28,-1,3000,6250.51,46.88,27,0.479960835195848,0.999996405302219,1.695,3e-4,0,28127.295,4.5,7477.6,0,-1,0.47,-0.520039164804152,0
2020-03-28,-1,3000,6268.89,47.02,27,0.478553619540301,0.999996679798903,1.7015,3e-4,0,3134.445,0.5,7477.6,0,-1,0.47,-0.5214463804596989,0
2020-03-28,-1,3500,6243.26,68.68,27,0.56060455595314,0.999969557859926,1.5145,3e-4,0,624.326,0.1,7477.6,0,-1,0.56,-0.43939544404686004,0
2020-03-28,-1,3500,6173.56,71,27,0.566933827483656,0.99996248605462,1.4956,3e-4,0,123471.2,20,7477.6,0,-1,0.56,-0.43306617251634405,0
2020-03-28,-1,3500,6161.8,67.78,27,0.568015839527411,0.999953768543491,1.476,3e-4,0,123236,20,7477.6,0,-1,0.56,-0.43198416047258903,0
2020-03-28,-1,3500,6142.65,67.57,27,0.569786655596526,0.999956672888022,1.4823,3e-4,0,24570.6,4,7477.6,0,-1,0.56,-0.43021334440347403,0
2020-03-28,-1,3500,6114.64,76.43,27,0.572396739628171,0.999966046765562,1.5054,3e-4,0,122292.8,20,7477.6,0,-1,0.57,-0.42760326037182905,0
2020-03-28,-1,3500,6108.23,76.35,27,0.572997414963091,0.999965253513866,1.5033,3e-4,0,305411.5,50,7477.6,0,-1,0.57,-0.427002585036909,0
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,155896,25,7477.6,0,-1,0.56,-0.43872838302458095,0
2020-03-28,-1,3500,6219.82,68.42,27,0.562717249052223,0.999970308872029,1.517,3e-4,0,3109.91,0.5,7477.6,0,-1,0.56,-0.437282750947777,0
2020-03-28,-1,3500,6220.06,68.42,27,0.562695536699003,0.999970309488285,1.517,3e-4,0,6220.06,1,7477.6,0,-1,0.56,-0.43730446330099704,0
2020-03-28,-1,3500,6220.47,68.43,27,0.562658448638125,0.999970342617333,1.5171,3e-4,0,43543.29,7,7477.6,0,-1,0.56,-0.437341551361875,0
2020-03-28,-1,3500,6188.62,74.26,27,0.565554194634668,0.999971116785024,1.5198,3e-4,0,61886.2,10,7477.6,0,-1,0.56,-0.43444580536533195,0
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,37415.04,6,7477.6,0,-1,0.56,-0.43872838302458095,0
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,124716.8,20,7477.6,0,-1,0.56,-0.43872838302458095,0
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,155896,25,7477.6,0,-1,0.56,-0.43872838302458095,0
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,37415.04,6,7477.6,0,-1,0.56,-0.43872838302458095,0
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.99996118751922,1.4919,3e-4,0,124716.8,20,7477.6,0,-1,0.56,-0.43872838302458095,0
2020-03-28,-1,3500,6243.26,68.68,27,0.56060455595314,0.999969557859926,1.5145,3e-4,0,624.326,0.1,7477.6,0,-1,0.56,-0.43939544404686004,0
2020-03-28,-1,3500,6173.56,71,27,0.566933827483656,0.99996248605462,1.4956,3e-4,0,123471.2,20,7477.6,0,-1,0.56,-0.43306617251634405,0
2020-03-28,-1,3500,6161.8,67.78,27,0.568015839527411,0.999953768543491,1.476,3e-4,0,123236,20,7477.6,0,-1,0.56,-0.43198416047258903,0
2020-03-28,-1,3500,6142.65,67.57,27,0.569786655596526,0.999956672888022,1.4823,3e-4,0,24570.6,4,7477.6,0,-1,0.56,-0.43021334440347403,0
2020-03-28,-1,3500,6188.62,74.26,27,0.565554194634668,0.999971116785024,1.5198,3e-4,0,61886.2,10,7477.6,0,-1,0.56,-0.43444580536533195,0
2020-03-28,-1,3500,6220.47,68.43,27,0.562658448638125,0.999970342617333,1.5171,3e-4,0,43543.29,7,7477.6,0,-1,0.56,-0.437341551361875,0
2020-03-28,-1,3500,6219.82,68.42,27,0.562717249052223,0.999970308872029,1.517,3e-4,0,3109.91,0.5,7477.6,0,-1,0.56,-0.437282750947777,0
2020-03-28,-1,3500,6220.06,68.42,27,0.562695536699003,0.999970309488285,1.517,3e-4,0,6220.06,1,7477.6,0,-1,0.56,-0.43730446330099704,0
2020-03-28,-1,3500,6114.64,76.43,27,0.572396739628171,0.999966046765562,1.5054,3e-4,0,122292.8,20,7477.6,0,-1,0.57,-0.42760326037182905,0
2020-03-28,-1,3500,6108.23,76.35,27,0.572997414963091,0.999965253513866,1.5033,3e-4,0,305411.5,50,7477.6,0,-1,0.57,-0.427002585036909,0
2020-03-28,-1,4000,6229.32,102.78,27,0.642124662081897,0.999834057721569,1.3568,3e-4,0,622.932,0.1,7477.6,0,-1,0.64,-0.357875337918103,0
2020-03-28,-1,4000,6208.89,124.18,27,0.644237536822202,0.999929437406927,1.442,3e-4,0,18626.67,3,7477.6,0,-1,0.64,-0.355762463177798,0
2020-03-28,-1,4000,6209.89,111.78,27,0.64413379303015,0.99988784861943,1.3965,3e-4,0,1862.967,0.3,7477.6,0,-1,0.64,-0.35586620696985005,0
2020-03-28,-1,4000,6232.13,118.41,27,0.641835135018044,0.999917413014545,1.4265,3e-4,0,6232.13,1,7477.6,0,-1,0.64,-0.358164864981956,0
2020-03-28,-1,4000,6229.32,102.78,27,0.642124662081897,0.999834057721569,1.3568,3e-4,0,622.932,0.1,7477.6,0,-1,0.64,-0.357875337918103,0
2020-03-28,-1,4000,6232.13,118.41,27,0.641835135018044,0.999917413014545,1.4265,3e-4,0,6232.13,1,7477.6,0,-1,0.64,-0.358164864981956,0
2020-03-28,-1,4000,6208.89,124.18,27,0.644237536822202,0.999929437406927,1.442,3e-4,0,18626.67,3,7477.6,0,-1,0.64,-0.355762463177798,0
2020-03-28,-1,4000,6209.89,111.78,27,0.64413379303015,0.99988784861943,1.3965,3e-4,0,1862.967,0.3,7477.6,0,-1,0.64,-0.35586620696985005,0
2020-03-28,-1,4500,6260.05,172.15,27,0.718844098689308,0.999660131767281,1.2883,3e-4,0,31300.25,5,7477.6,0,-1,0.71,-0.281155901310692,0
2020-03-28,-1,4500,6254.17,171.99,27,0.719519936298502,0.999652569306208,1.286,3e-4,0,18762.51,3,7477.6,0,-1,0.71,-0.28048006370149803,0
2020-03-28,-1,4500,6197.43,185.92,27,0.726107434856061,0.999668349026563,1.2915,3e-4,0,30987.15,5,7477.6,0,-1,0.72,-0.273892565143939,0
2020-03-28,-1,4500,6231.34,180.71,27,0.722156069160084,0.999705205985384,1.3037,3e-4,0,62313.4,10,7477.6,0,-1,0.72,-0.277843930839916,0
2020-03-28,-1,4500,6250.18,181.26,27,0.71997926459718,0.999728213106772,1.3121,3e-4,0,125003.6,20,7477.6,0,-1,0.71,-0.28002073540282,0
2020-03-28,-1,4500,6245.71,174.88,27,0.720494547457375,0.999675278853665,1.2933,3e-4,0,31228.55,5,7477.6,0,-1,0.72,-0.27950545254262504,0
2020-03-28,-1,4500,6259.88,169.02,27,0.718863620388889,0.999607771060696,1.2729,3e-4,0,625.988,0.1,7477.6,0,-1,0.71,-0.28113637961111104,0
2020-03-28,-1,4500,6140.77,196.5,27,0.732807123536625,0.99968848935978,1.2987,3e-4,0,12895.617,2.1,7477.6,0,-1,0.73,-0.267192876463375,0
