,m,spdy,ret,spd_ret,volatility,cdf_m,cdf_ret,sigma_prime,sigma_double_prime
0,0.8607079764250578,0.8400229382459115,-0.15,0.7230144433282697,0.8022792978021832,0.04084373188106771,0.04084373188106771,-1.628052682042306,4.5393757963133154
1,0.8633201382362515,0.8584361799895546,-0.146969696969697,0.741105241575582,0.7980330010462013,0.043050709411750265,0.043050709411750265,-1.6196840374307646,2.534072922401443
2,0.8659402276948179,0.9047136832242297,-0.14393939393939387,0.7834279728498069,0.7938047169107058,0.04542768349550563,0.04542768349550563,-1.607753917041859,2.5420855191338836
3,0.8685682688603662,0.9534347894700717,-0.14090909090909085,0.8281232045612679,0.7895953113916531,0.04794231059548948,0.04794231059548948,-1.595547916578426,2.5503274388366934
4,0.8712042858655243,1.0047043362754402,-0.13787878787878782,0.8753027237908405,0.7854056727180616,0.050602364450445414,0.050602364450445414,-1.5830603603754378,2.5587911564445194
5,0.8738483029161603,1.058627772765162,-0.13484848484848477,0.9250800826507515,0.7812367115689688,0.05341598382386925,0.05341598382386925,-1.570285580403275,2.567468323184792
6,0.8765003442916044,1.1153105290673708,-0.13181818181818183,0.977570062719602,0.77708936126637,0.05639167768770559,0.05639167768770559,-1.5572179262253663,2.5763497235435353
7,0.8791604343448723,1.1748572881934387,-0.1287878787878788,1.0328880437813825,0.7729645779418561,0.059538328554466835,0.059538328554466835,-1.5438517756527,2.5854252318364708
8,0.8818285975028888,1.2373711523817654,-0.12575757575757573,1.0911492678953454,0.7688633406745704,0.06286519363593257,0.06286519363593257,-1.530181546115848,2.5946837683130255
9,0.8845048582667114,1.3029526960356783,-0.12272727272727271,1.1524679897352672,0.7647866515980007,0.06638190347743089,0.06638190347743089,-1.5162017067762845,2.604113254719668
10,0.8871892412117565,1.371698897705409,-0.11969696969696968,1.2169565042262644,0.7607355359730195,0.07009845768745726,0.07009845768745726,-1.5019067913947135,2.6137005702522838
11,0.8898817709880238,1.4437019440540988,-0.1166666666666667,1.2847240427537143,0.7567110422244961,0.07402521735369438,0.07402521735369438,-1.4872914119736074,2.6234315070965173
12,0.8925824723203238,1.5190478995541774,-0.11363636363636359,1.3558755297570626,0.7527142419387022,0.0781728937089281,0.0781728937089281,-1.4723502731890943,2.6332907268032244
13,0.8952913700085039,1.597815236704844,-0.11060606060606065,1.4305101922899417,0.7487462298186499,0.0825525325849843,0.0825525325849843,-1.457078187621845,2.643261717270991
14,0.8980084889276768,1.680073222966402,-0.10757575757575757,1.5087200162439105,0.7448081235944266,0.08717549417026071,0.08717549417026071,-1.4414700917973755,2.6533267504422633
15,0.9007338540284485,1.765880162407119,-0.10454545454545454,1.5905880444373468,0.740901063885502,0.09205342756812107,0.09205342756812107,-1.4255210630400938,2.6634668417398086
16,0.9034674903371477,1.8552814922316365,-0.10151515151515145,1.676186513655475,0.7370262140119367,0.09719823964053553,0.09719823964053553,-1.409226337141298,2.6736617109126133
17,0.9062094229560551,1.9483077370397623,-0.09848484848484851,1.7655748301236205,0.7331847597513562,0.10262205761514798,0.10262205761514798,-1.3925813268378084,2.6838897452267605
18,0.9089596770636349,2.0449723267872226,-0.09545454545454551,1.858797385760584,0.7293779090385242,0.10833718493630018,0.10833718493630018,-1.37558164109333,2.694127964843384
19,0.911718277914765,2.145269288116081,-0.09242424242424245,1.9558812210246272,0.7256068916043086,0.11435604985288528,0.11435604985288528,-1.3582231051673779,2.7043519917399244
20,0.9144852508409694,2.249170822872001,-0.08939393939393935,2.0568335441382914,0.7218729585508439,0.12069114626023003,0.12069114626023003,-1.3405017814514935,2.714536021600089
21,0.9172606212506507,2.3566247923923678,-0.08636363636363631,2.1616391211245087,0.7181773818596817,0.12735496635120702,0.12735496635120702,-1.3224139910476513,2.724652799989111
22,0.9200444146293233,2.467552131377314,-0.08333333333333329,2.27025755628038,0.7145214538297595,0.13435992468574032,0.13435992468574032,-1.3039563360529591,2.7346736032275576
23,0.9228366565398478,2.581844220865511,-0.08030303030303028,2.3826204884902564,0.7109064864420693,0.14171827335914644,0.14171827335914644,-1.285125722510699,2.744568224021291
24,0.9256373726226654,2.6993602560194363,-0.0772727272727273,2.4986287351438765,0.7073338106479709,0.14944200804080054,0.14944200804080054,-1.2659193839778717,2.7543049633226038
25,0.9284465885960336,2.8199246508478657,-0.07424242424242426,2.618149422177562,0.7038047755782064,0.1575427647664953,0.1575427647664953,-1.24633490565081,2.763850628159893
26,0.9312643302562619,2.943324528703722,-0.07121212121212121,2.7410131459500993,0.7003207476697911,0.16603170750226148,0.16603170750226148,-1.226370248982891,2.773170536661917
27,0.9340906234779491,3.069307354096008,-0.0681818181818182,2.8670112200329942,0.696883109708114,0.1749194066553117,0.1749194066553117,-1.2060237767158342,2.7822285309067265
28,0.9369254942142211,3.197578767884295,-0.06515151515151515,2.9958930673888933,0.6934932597817807,0.18421570888924688,0.18421570888924688,-1.1852942782401363,2.7909869975562254
29,0.9397689684969686,3.3278006941404925,-0.062121212121212084,3.1273638256959067,0.6901526101479356,0.19392959880609695,0.19392959880609695,-1.164180995187303,2.7994068980909192
30,0.9426210724370864,3.459589792375665,-0.05909090909090903,3.2610822402815463,0.686862586006078,0.2040690532855729,0.2040690532855729,-1.1426836471457684,2.807447808217384
31,0.9454818322247134,3.5925163333675876,-0.056060606060606026,3.396658925169596,0.6836246241786698,0.2146408895205294,0.2146408895205294,-1.120802457384944,2.8150679675558177
32,0.948351274129473,3.72610357997838,-0.053030303030303004,3.5336550776108875,0.6804401716971672,0.2256506080539764,0.2256506080539764,-1.098538178457662,2.822224340382398
