Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Straddle DH Cluster0,"(-Inf,-0.6]",-42.78,-42.78,-42.78,NA,-42.78,-42.78,1
Long Straddle DH Cluster0,"(-0.6,-0.2]",-40.31,-34.3,-35.66,19.74,-20.17,-78.05,6
Long Straddle DH Cluster0,"(-0.2,0.2]",-20.24,-66.68,-17.29,58.26,93.74,-99.74,23
Long Straddle DH Cluster0,"(0.2,0.6]",8.88,8.88,8.88,NA,8.88,8.88,1
Long Straddle DH Cluster0,"(0.6, Inf)",-62.27,-62.27,-62.27,NA,-62.27,-62.27,1
