test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,-1,4000,6220.0575,114.2875,27,0.643082781738073,1.0781080938254e-4,1.40545,3e-4,0,54689.398,8.8,7477.6,0,-1,0.64,-0.356917218261927,0,114.2875,0,6220.0575,7477.6,"(-0.5,-0.1]",27,-0.9929873042235504,5.431492389358361e-4,-0.9935304534624863
2020-03-28,-1,4500,6212.28777777778,179.593333333333,27,0.724398126265427,3.3377364558442e-4,1.29147222222222,3e-4,0,1063629.82,171,7477.6,0,-1,0.72,-0.275601873734573,0,179.593333333333,0,6212.28777777778,7477.6,"(-0.5,-0.1]",27,-0.9862615217387675,5.431492389358361e-4,-0.9868046709777033
2020-03-28,-1,5000,6233.29,272.367837837838,27,0.802219525505616,8.482408202979e-4,1.19506216216216,3e-4,0,2412477.444,384.8,7477.6,0,-1,0.8,-0.19778047449438396,0,272.367837837838,0,6233.29,7477.6,"(-0.5,-0.1]",27,-0.9771558167496451,5.431492389358361e-4,-0.977698965988581
2020-03-28,-1,5500,6204.99769230769,414.555769230769,27,0.886452121431023,0.0018055218737285,1.11324230769231,3e-4,0,592821.124,95,7477.6,0,-1,0.88,-0.11354787856897695,0,414.555769230769,0,6204.99769230769,7477.6,"(-0.5,-0.1]",27,-0.9682896439866564,5.431492389358361e-4,-0.9688327932255922
2020-05-30,-1,5000,9524.03166666667,13.4933333333333,27,0.524996338357848,0.00106233804133456,1.14118333333333,0.0014,0,26686.852,2.8,9240.85,0,-1,0.52,-0.475003661642152,1,13.4933333333333,0,9524.03166666667,9240.85,"(-0.5,-0.1]",27,-0.5842244918712504,5.431492389358361e-4,-0.5847676411101862
2020-05-30,-1,6000,9541.11588235294,36.1847058823529,27,0.628882075132212,0.00326444211079701,1.01080588235294,0.0014,0,261506.516,27.4,9240.85,0,-1,0.62,-0.3711179248677881,1,36.1847058823529,0,9541.11588235294,9240.85,"(-0.5,-0.1]",27,-0.5519721484898511,5.431492389358361e-4,-0.5525152977287869
2020-05-30,-1,7000,9486.28038461538,94.7719230769231,27,0.738010441759379,0.00837979964676375,0.893688461538462,0.0014,0,2411810.386,255.8,9240.85,0,-1,0.73,-0.261989558240621,1,94.7719230769231,0,9486.28038461538,9240.85,"(-0.5,-0.1]",27,-0.5556396957637828,5.431492389358361e-4,-0.5561828450027186
2020-05-30,-1,7500,9405.94333333333,125.795666666667,27,0.797414029697238,0.0183865295649477,0.780246666666667,0.0014,0,4616472.796,492.2,9240.85,0,-1,0.79,-0.20258597030276204,1,125.795666666667,0,9405.94333333333,9240.85,"(-0.5,-0.1]",27,-0.43125086638578713,5.431492389358361e-4,-0.43179401562472297
2020-05-30,-1,8000,9541.42264705883,177.894705882353,27,0.838471334914571,0.0228619463893076,0.748376470588235,0.0014,0,1695579.562,177.4,9240.85,0,-1,0.83,-0.16152866508542896,1,177.894705882353,0,9541.42264705883,9240.85,"(-0.5,-0.1]",27,-0.46654619301939515,5.431492389358361e-4,-0.467089342258331
2020-05-30,-1,8500,9501.69392857143,279.632142857143,27,0.894677254925572,0.0320904700154057,0.697432142857143,0.0014,0,13618119.966,1450.8,9240.85,0,-1,0.89,-0.10532274507442796,1,279.632142857143,0,9501.69392857143,9240.85,"(-0.5,-0.1]",27,-0.4926947809079049,5.431492389358361e-4,-0.49323793014684075
2020-07-04,-1,5000,9076.33,6.81,27,0.550883662249455,0.0046090690191522,0.96045,0.0014,0,19978.024,2.2,11114.93,0,-1,0.55,-0.44911633775054505,1,6.81,0,9076.33,11114.93,"(-0.5,-0.1]",27,0.05316335684904104,5.431492389358361e-4,0.052620207610105205
2020-07-04,-1,5500,9092.16,10.6133333333333,27,0.604921825319425,0.00814265782723082,0.882366666666667,0.0014,0,5455.296,0.6,11114.93,0,-1,0.6,-0.39507817468057504,1,10.6133333333333,0,9092.16,11114.93,"(-0.5,-0.1]",27,0.06919729592225873,5.431492389358361e-4,0.0686541466833229
