test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,SellSpot_t,BuySpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,1,4000,7713.1,3659.87,27,0.518598228987048,1,0,0.0156,0,2313.93,0.3,7194.4,3194.3999999999996,-0.12718211302587257,0.51,-0.481401771012952,1,3659.87,3194.3999999999996,7713.1,7194.4,"(-0.5,-0.1]",27,0.013132736114160921,4.112278654522239e-4,0.012721508248708697
2020-03-28,1,4500,6267,1867.57,27,0.718046912398277,0.998150489224929,1.0943,3e-4,0,31335,5,7477.6,2977.6000000000004,0.5943712953195868,0.71,-0.281953087601723,0,1867.57,2977.6000000000004,6267,7477.6,"(-0.5,-0.1]",27,-0.02240988779596627,4.112278654522239e-4,-0.022821115661418492
2020-03-28,1,4500,6256.76,1864.51,27,0.719222089388118,0.998787613157301,1.1454,3e-4,0,31283.8,5,7477.6,2977.6000000000004,0.5969879485763017,0.71,-0.28077791061188195,0,1864.51,2977.6000000000004,6256.76,7477.6,"(-0.5,-0.1]",27,-0.024236716947869538,4.112278654522239e-4,-0.024647944813321762
2020-03-28,1,4500,6256.76,1864.51,27,0.719222089388118,0.998787613157301,1.1454,3e-4,0,31283.8,5,7477.6,2977.6000000000004,0.5969879485763017,0.71,-0.28077791061188195,0,1864.51,2977.6000000000004,6256.76,7477.6,"(-0.5,-0.1]",27,-0.024236716947869538,4.112278654522239e-4,-0.024647944813321762
2020-03-28,1,4500,6267,1867.57,27,0.718046912398277,0.998150489224929,1.0943,3e-4,0,31335,5,7477.6,2977.6000000000004,0.5943712953195868,0.71,-0.281953087601723,0,1867.57,2977.6000000000004,6267,7477.6,"(-0.5,-0.1]",27,-0.02240988779596627,4.112278654522239e-4,-0.022821115661418492
2020-03-28,1,5500,6241.77,1092.31,27,0.881160311898708,0.997332896792506,1.063,3e-4,0,3120.885,0.5,7477.6,1977.6000000000004,0.8104750482921519,0.88,-0.11883968810129196,0,1092.31,1977.6000000000004,6241.77,7477.6,"(-0.5,-0.1]",27,-0.0676517815735242,4.112278654522239e-4,-0.06806300943897642
2020-03-28,1,5500,6258.65,1098.39,27,0.878783763271632,0.997090247087127,1.0518,3e-4,0,3129.325,0.5,7477.6,1977.6000000000004,0.8004533908720948,0.87,-0.121216236728368,0,1098.39,1977.6000000000004,6258.65,7477.6,"(-0.5,-0.1]",27,-0.06538116709194239,4.112278654522239e-4,-0.06579239495739461
2020-03-28,1,5500,6241.77,1092.31,27,0.881160311898708,0.997332896792506,1.063,3e-4,0,3120.885,0.5,7477.6,1977.6000000000004,0.8104750482921519,0.88,-0.11883968810129196,0,1092.31,1977.6000000000004,6241.77,7477.6,"(-0.5,-0.1]",27,-0.0676517815735242,4.112278654522239e-4,-0.06806300943897642
2020-03-28,1,5500,6258.65,1098.39,27,0.878783763271632,0.997090247087127,1.0518,3e-4,0,3129.325,0.5,7477.6,1977.6000000000004,0.8004533908720948,0.87,-0.121216236728368,0,1098.39,1977.6000000000004,6258.65,7477.6,"(-0.5,-0.1]",27,-0.06538116709194239,4.112278654522239e-4,-0.06579239495739461
2020-05-30,1,8000,9653.18,1882.37,27,0.828742445494645,0.981428768026499,0.7808,0.0014,0,965.318,0.1,9240.85,1240.8500000000004,-0.34080441146002094,0.82,-0.17125755450535496,1,1882.37,1240.8500000000004,9653.18,9240.85,"(-0.5,-0.1]",27,-0.03119887679758579,4.112278654522239e-4,-0.03161010466303801
2020-05-30,1,8000,9634.11,1859.38,27,0.830382879165797,0.980153345986083,0.7702,0.0014,0,963.411,0.1,9240.85,1240.8500000000004,-0.33265389538448287,0.83,-0.169617120834203,1,1859.38,1240.8500000000004,9634.11,9240.85,"(-0.5,-0.1]",27,-0.030734373590497438,4.112278654522239e-4,-0.031145601455949662
2020-05-30,1,8000,9611.34,1845.38,27,0.832350119754373,0.981380040061578,0.7808,0.0014,0,961.134,0.1,9240.85,1240.8500000000004,-0.3275910652548525,0.83,-0.167649880245627,1,1845.38,1240.8500000000004,9611.34,9240.85,"(-0.5,-0.1]",27,-0.031756767732833716,4.112278654522239e-4,-0.03216799559828594
2020-05-30,1,8000,9601.58,1833.9,27,0.833196203124902,0.98093800898922,0.7771,0.0014,0,960.158,0.1,9240.85,1240.8500000000004,-0.3233818637875564,0.83,-0.16680379687509805,1,1833.9,1240.8500000000004,9601.58,9240.85,"(-0.5,-0.1]",27,-0.031536864804372663,4.112278654522239e-4,-0.03194809266982489
2020-05-30,1,8000,9720.3,1939.2,27,0.823019865642007,0.98173382653715,0.7828,0.0014,0,972.03,0.1,9240.85,1240.8500000000004,-0.3601227310231021,0.82,-0.17698013435799298,1,1939.2,1240.8500000000004,9720.3,9240.85,"(-0.5,-0.1]",27,-0.029940987734096956,4.112278654522239e-4,-0.03035221559954918
2020-05-30,1,8000,9725.54,1949.97,27,0.822576432773913,0.983108819268127,0.7953,0.0014,0,972.554,0.1,9240.85,1240.8500000000004,-0.36365687677246294,0.82,-0.177423567226087,1,1949.97,1240.8500000000004,9725.54,9240.85,"(-0.5,-0.1]",27,-0.03056208076083206,4.112278654522239e-4,-0.030973308626284283
