test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2020-08-29,-1,10000,11521.734263733,158.808625846643,27,0.867937001132401,0.0577421244487256,0.584469547558909,0.001,0,3285952.778,285.2,10732.43,0,-1,0.86,-0.13206299886759898,1,158.808625846643,0,11521.734263733,10732.43,"(-0.5,-0.1]",27,-0.24801021366110707,5.49615124894709e-4,-0.24855982878600177
2021-02-27,-1,24000,46606.7314675216,233.033750182757,27,0.514972342188954,4.61572220026121e-5,1.47180717740391,4e-4,0,60585.778,1.3,51415.92,0,-1,0.51,-0.4850276578110459,0,233.033750182757,0,46606.7314675216,51415.92,"(-0.5,-0.1]",27,-0.9899091516860729,5.49615124894709e-4,-0.9904587668109676
2021-02-27,-1,28000,46910.348457855,347.776959602179,27,0.596938617158971,3.1007218300111e-4,1.28906925060752,4e-4,0,201695.78,4.3,51415.92,0,-1,0.59,-0.403061382841029,0,347.776959602179,0,46910.348457855,51415.92,"(-0.5,-0.1]",27,-0.9559987464477815,5.49615124894709e-4,-0.9565483615726762
2021-02-27,-1,32000,47437.5760923184,704.577736357809,27,0.674623168682075,5.1205681408059e-4,1.24316647788932,4e-4,0,1906842.308,40.2,51415.92,0,-1,0.67,-0.32537683131792505,0,704.577736357809,0,47437.5760923184,51415.92,"(-0.5,-0.1]",27,-0.9638784317664989,5.49615124894709e-4,-0.9644280468913936
2021-02-27,-1,36000,47095.5822951183,1109.11970824259,27,0.764479633377883,0.00179242879958743,1.10301084908299,4e-4,0,3814359.301,81,51415.92,0,-1,0.76,-0.23552036662211695,0,1109.11970824259,0,47095.5822951183,51415.92,"(-0.5,-0.1]",27,-0.9227845338582823,5.49615124894709e-4,-0.923334148983177
2021-02-27,-1,40000,47189.5400988403,2040.99482118304,27,0.847722865826924,0.00240090300118134,1.07642381129577,4e-4,0,6851295.67,145.2,51415.92,0,-1,0.84,-0.15227713417307598,0,2040.99482118304,0,47189.5400988403,51415.92,"(-0.5,-0.1]",27,-0.9426982889282903,5.49615124894709e-4,-0.943247904053185
2021-07-03,-1,20000,34509.3848843922,190.354909449765,27,0.579553113760496,4.9815246369632e-4,1.23338470508513,5e-4,0,320936.935,9.3,40005.93,0,-1,0.57,-0.420446886239504,0,190.354909449765,0,34509.3848843922,40005.93,"(-0.5,-0.1]",27,-0.9039775880113721,5.49615124894709e-4,-0.9045272031362668
2021-07-03,-1,24000,33970.5171726464,530.125843354373,27,0.70663593515655,0.00171794957141254,1.10194815019927,5e-4,0,1107217.962,32.6,40005.93,0,-1,0.7,-0.29336406484345,0,530.125843354373,0,33970.5171726464,40005.93,"(-0.5,-0.1]",27,-0.8832117821481316,5.49615124894709e-4,-0.8837613972730263
2021-07-03,-1,25000,34673.5440020951,589.447622692336,27,0.721013149549416,0.00188664754440372,1.0918046123788,5e-4,0,24271.402,0.7,40005.93,0,-1,0.72,-0.278986850450584,0,589.447622692336,0,34673.5440020951,40005.93,"(-0.5,-0.1]",27,-0.8847439378636002,5.49615124894709e-4,-0.8852935529884949
2021-07-03,-1,26000,34526.4591347762,729.113913798441,27,0.753102046851183,0.00258677290161967,1.05540675358051,5e-4,0,476429.458,13.8,40005.93,0,-1,0.75,-0.24689795314881705,0,729.113913798441,0,34526.4591347762,40005.93,"(-0.5,-0.1]",27,-0.8735545391267266,5.49615124894709e-4,-0.8741041542516214
2021-07-03,-1,28000,34459.4165763706,1071.58184994735,27,0.812562294785362,0.00416117449154952,0.999301497794978,5e-4,0,2036520.782,59.1,40005.93,0,-1,0.81,-0.187437705214638,0,1071.58184994735,0,34459.4165763706,40005.93,"(-0.5,-0.1]",27,-0.8629833028583878,5.49615124894709e-4,-0.8635329179832825
2021-07-03,-1,30000,34811.630752406,1512.46479161117,27,0.861805884962456,0.00534317067094005,0.970321960258112,5e-4,0,1253182.438,36,40005.93,0,-1,0.86,-0.13819411503754395,0,1512.46479161117,0,34811.630752406,40005.93,"(-0.5,-0.1]",27,-0.8741463770624273,5.49615124894709e-4,-0.874695992187322
2021-10-02,-1,25000,48097.0822770564,88.7787490753408,27,0.519785721114961,6.209679515618e-4,1.20582844195615,4e-4,0,3438917.091,71.5,60587.09,0,-1,0.51,-0.480214278885039,0,88.7787490753408,0,48097.0822770564,60587.09,"(-0.5,-0.1]",27,-0.6828986980420318,5.49615124894709e-4,-0.6834483131669266
2021-10-02,-1,30000,47792.9298668163,167.762345338666,27,0.627710409586607,0.00353388629980323,1.00377513053872,4e-4,0,224625.875,4.7,60587.09,0,-1,0.62,-0.37228959041339305,0,167.762345338666,0,47792.9298668163,60587.09,"(-0.5,-0.1]",27,-0.3640179543882659,5.49615124894709e-4,-0.3645675695131606
2021-10-02,-1,35000,48064.043835585,391.736577853101,27,0.728210355932113,0.00868229142831921,0.888637754601094,4e-4,0,3989231.925,83,60587.09,0,-1,0.72,-0.27178964406788697,0,391.736577853101,0,48064.043835585,60587.09,"(-0.5,-0.1]",27,-0.3498058528759803,5.49615124894709e-4,-0.350355468000875
2021-10-02,-1,40000,47859.7094201053,996.706820060688,27,0.835781279727755,0.0169495558717374,0.799388939232151,4e-4,0,1354421.339,28.3,60587.09,0,-1,0.83,-0.16421872027224504,0,996.706820060688,0,47859.7094201053,60587.09,"(-0.5,-0.1]",27,-0.43198189720792657,5.49615124894709e-4,-0.4325315123328213
2022-02-26,-1,20000,39446.1379780717,59.1681844058458,27,0.507030216279331,6.3739667087697e-4,1.19232831321896,0.0033,0,134114.295,3.4,44004.47,0,-1,0.5,-0.492969783720669,1,59.1681844058458,0,39446.1379780717,44004.47,"(-0.5,-0.1]",27,-0.6673234150730805,5.49615124894709e-4,-0.6678730301979752
2022-02-26,-1,22000,38791.24,77.58,27,0.567138353917018,0.00197076643056338,1.0639,0.0033,0,135769.34,3.5,44004.47,0,-1,0.56,-0.43286164608298205,1,77.58,0,38791.24,44004.47,"(-0.5,-0.1]",27,-0.43697077398500905,5.49615124894709e-4,-0.43752038910990376
2022-02-26,-1,25000,39338.1581339594,163.922596299141,27,0.635555815813427,0.00348549984662537,0.998707821779204,0.0033,0,932254.863,23.7,44004.47,0,-1,0.63,-0.364444184186573,1,163.922596299141,0,39338.1581339594,44004.47,"(-0.5,-0.1]",27,-0.49050045283378857,5.49615124894709e-4,-0.4910500679586833
2022-02-26,-1,30000,39232.3758835552,404.021207145954,27,0.764724297168007,0.0137342351234813,0.816422957561309,0.0033,0,768904.561,19.6,44004.47,0,-1,0.76,-0.23527570283199295,1,404.021207145954,0,39232.3758835552,44004.47,"(-0.5,-0.1]",27,-0.3589976187964151,5.49615124894709e-4,-0.35954723392130983
2022-02-26,-1,32000,39373.2788923077,602.627080041825,27,0.812756683741465,0.0200749547228325,0.761162614534638,0.0033,0,940995.03,23.9,44004.47,0,-1,0.81,-0.18724331625853496,1,602.627080041825,0,39373.2788923077,44004.47,"(-0.5,-0.1]",27,-0.365857916478781,5.49615124894709e-4,-0.36640753160367573
2022-02-26,-1,34000,39392.7499909586,884.373623486834,27,0.863160012320441,0.0283571354247902,0.708880053691565,0.0033,0,590852.209,15,44004.47,0,-1,0.86,-0.13683998767955896,1,884.373623486834,0,39392.7499909586,44004.47,"(-0.5,-0.1]",27,-0.3765282832697235,5.49615124894709e-4,-0.3770778983946182
2022-02-26,-1,35000,39159.6498758453,1150.93976820063,27,0.893785343358164,0.0322446379064952,0.689981566806584,0.0033,0,1163030.931,29.7,44004.47,0,-1,0.89,-0.10621465664183603,1,1150.93976820063,0,39159.6498758453,44004.47,"(-0.5,-0.1]",27,-0.41212651325190375,5.49615124894709e-4,-0.41267612837679846
2022-05-28,-1,15000,28796.5547288712,88.1076093922348,27,0.520896641382225,2.331854834035e-4,1.29351130756998,0.0106,0,3369190.47,117,21088.3,0,-1,0.52,-0.479103358617775,0,88.1076093922348,0,28796.5547288712,21088.3,"(-0.5,-0.1]",27,-0.9481401255591484,5.49615124894709e-4,-0.9486897406840431
2022-05-28,-1,20000,28838.2515274266,288.232465677736,27,0.693532641253066,0.00274065063195705,1.02253290002979,0.0106,0,1335193.104,46.3,21088.3,0,-1,0.69,-0.306467358746934,0,288.232465677736,0,28838.2515274266,21088.3,"(-0.5,-0.1]",27,-0.8426335625491476,5.49615124894709e-4,-0.8431831776740423
2022-05-28,-1,24000,28920.2249361143,718.833257282587,27,0.829876903977281,0.00988979174081405,0.856201264474456,0.0106,0,503207.16,17.4,21088.3,2911.7000000000007,3.0505916643410895,0.82,-0.17012309602271902,0,718.833257282587,2911.7000000000007,28920.2249361143,21088.3,"(-0.5,-0.1]",27,2.1052040616345726,5.49615124894709e-4,2.104654446509678
2022-05-28,-1,25000,28953.905396157,896.883892767273,27,0.863464689274658,0.0128268495474306,0.819996244063185,0.0106,0,4033170.138,139.3,21088.3,3911.7000000000007,3.3614341070734604,0.86,-0.13653531072534195,0,896.883892767273,3911.7000000000007,28953.905396157,21088.3,"(-0.5,-0.1]",27,2.2975566928413818,5.49615124894709e-4,2.2970070777164873
2022-07-30,-1,12000,23915.19,23.92,27,0.501773140836431,6.3081667135345e-4,1.1565,0.0234,0,4783.038,0.2,21597.93,0,-1,0.5,-0.498226859163569,0,23.92,0,23915.19,21597.93,"(-0.5,-0.1]",27,-0.6507127316390929,5.49615124894709e-4,-0.6512623467639876
2022-07-30,-1,15000,24509.4284984596,75.8883908317639,27,0.61200957691417,0.00212965179025145,1.01897581790255,0.0234,0,127448.986,5.2,21597.93,0,-1,0.61,-0.38799042308583,0,75.8883908317639,0,24509.4284984596,21597.93,"(-0.5,-0.1]",27,-0.6408939988629901,5.49615124894709e-4,-0.6414436139878849
2022-07-30,-1,16000,24496.185446597,121.945323204154,27,0.653174043353398,0.00280628350417681,0.986935104281632,0.0234,0,338041.602,13.8,21597.93,0,-1,0.65,-0.346825956646602,0,121.945323204154,0,24496.185446597,21597.93,"(-0.5,-0.1]",27,-0.6821523362257272,5.49615124894709e-4,-0.682701951350622
2022-07-30,-1,17000,24490.159955997002,168.874828371647,27,0.694203087302225,0.00423988270985336,0.936873700308674,0.0234,0,112647.151,4.6,21597.93,0,-1,0.69,-0.305796912697775,0,168.874828371647,0,24490.159955997002,21597.93,"(-0.5,-0.1]",27,-0.6642124918137029,5.49615124894709e-4,-0.6647621069385976
2022-07-30,-1,18000,23823.5184972754,245.274677881962,27,0.755585762698696,0.00855174845249209,0.83725170208586,0.0234,0,150082.235,6.3,21597.93,0,-1,0.75,-0.24441423730130396,0,245.274677881962,0,23823.5184972754,21597.93,"(-0.5,-0.1]",27,-0.5886480753969874,5.49615124894709e-4,-0.5891976905218821
