Date,Adj.Close
2023/12/31,42148.38
2023/12/30,42086.22
2023/12/29,42609.23
2023/12/28,43470.76
2023/12/27,42514.79
2023/12/26,43599.61
2023/12/25,43013.46
2023/12/24,43742.33
2023/12/23,43996.78
2023/12/22,43870.89
2023/12/21,43639.9
2023/12/20,42262.62
2023/12/19,41264.8
2023/12/18,41341.9
2023/12/17,42236.81
2023/12/16,41934.71
2023/12/15,43023.24
2023/12/14,42887.09
2023/12/13,41458.49
2023/12/12,41238.31
2023/12/11,43787.81
2023/12/10,43709.41
2023/12/9,44184.18
2023/12/8,43298.7
2023/12/7,43745.3
2023/12/6,44076.76
2023/12/5,41985.55
2023/12/4,39976.04
2023/12/3,39476.4
2023/12/2,38697.81
2023/12/1,37711.79
2023/11/30,37867.37
2023/11/29,37832.75
2023/11/28,37248.86
2023/11/27,37468.89
2023/11/26,37800.94
2023/11/25,37720.5
2023/11/24,37297.56
2023/11/23,37427.42
2023/11/22,35808.95
2023/11/21,37479.96
2023/11/20,37396.17
2023/11/19,36588.13
2023/11/18,36624.3
2023/11/17,36155.5
2023/11/16,37891.48
2023/11/15,35545.97
2023/11/14,36497.35
2023/11/13,37058.98
2023/11/12,37140.27
2023/11/11,37321.65
2023/11/10,36696.25
2023/11/9,35629.52
2023/11/8,35436.28
2023/11/7,35035.12
2023/11/6,35048.35
2023/11/5,35088.05
2023/11/4,34736.55
2023/11/3,34934.65
2023/11/2,35440.51
2023/11/1,34662.16
2023/10/31,34501
2023/10/30,34532.39
2023/10/29,34090.68
2023/10/28,33911.08
2023/10/27,34157.79
2023/10/26,34493.19
2023/10/25,33902.65
2023/10/24,33059.98
2023/10/23,29990.73
2023/10/22,29921.68
2023/10/21,29682.6
2023/10/20,28723.49
2023/10/19,28331.5
2023/10/18,28413.17
2023/10/17,28517.32
2023/10/16,27167.87
2023/10/15,26855.89
2023/10/14,26866.51
2023/10/13,26758.66
2023/10/12,26867.79
2023/10/11,27395.65
2023/10/10,27581.42
2023/10/9,27937.18
2023/10/8,27973.26
2023/10/7,27946.61
2023/10/6,27416.69
2023/10/5,27797.56
2023/10/4,27430.23
2023/10/3,27532.51
2023/10/2,27983.92
2023/10/1,26970.43
2023/9/30,26916.91
2023/9/29,27021.15
2023/9/28,26357.65
2023/9/27,26212.82
2023/9/26,26293.29
2023/9/25,26252.75
2023/9/24,26580.72
2023/9/23,26581.86
2023/9/22,26569.6
2023/9/21,27133.55
2023/9/20,27222.12
2023/9/19,26763.76
2023/9/18,26536.54
2023/9/17,26568.65
2023/9/16,26605.75
2023/9/15,26536.02
2023/9/14,26227.98
2023/9/13,25835.7
2023/9/12,25162.7
2023/9/11,25832.82
2023/9/10,25894.31
2023/9/9,25906.03
2023/9/8,26243.47
2023/9/7,25753.31
2023/9/6,25785.3
2023/9/5,25810.86
2023/9/4,25969.05
2023/9/3,25869.09
2023/9/2,25802.1
2023/9/1,25932.99
2023/8/31,27301.12
2023/8/30,27731.23
2023/8/29,26108.31
2023/8/28,26088.78
2023/8/27,26006.44
2023/8/26,26049.42
2023/8/25,26165.4
2023/8/24,26426.74
2023/8/23,26036.91
2023/8/22,26123.41
2023/8/21,26189.99
2023/8/20,26090.7
2023/8/19,26047.05
2023/8/18,26662.05
2023/8/17,28701.48
2023/8/16,29169.09
2023/8/15,29413.8
2023/8/14,29283.84
2023/8/13,29412.84
2023/8/12,29399.18
2023/8/11,29433.98
2023/8/10,29565.82
2023/8/9,29768.29
2023/8/8,29181.71
2023/8/7,29041.01
2023/8/6,29048.01
2023/8/5,29075
2023/8/4,29183.41
2023/8/3,29152.45
2023/8/2,29683.61
2023/8/1,29228.49
2023/7/31,29274.94
2023/7/30,29359.89
2023/7/29,29316.12
2023/7/28,29213.94
2023/7/27,29344.56
2023/7/26,29226.18
2023/7/25,29178.42
2023/7/24,30081.88
2023/7/23,29774.36
2023/7/22,29907.88
2023/7/21,29802.29
2023/7/20,29912.48
2023/7/19,29859.24
2023/7/18,30144.2
2023/7/17,30240.28
2023/7/16,30291.67
2023/7/15,30330.22
