Date,Q_variance_Qdensity,RV,Cluster,VRP
2018-06-09,0.418604408220098,0.243079930853654,1,0.175524477366444
2018-06-10,0.436204604178576,0.243003230665217,1,0.19320137351336
2018-06-14,0.53304722031793,0.491927107692015,1,0.0411201126259149
2018-06-21,0.347359510301606,0.388818898597204,1,-0.0414593882955974
2018-06-23,0.611598002172515,0.434026341723096,1,0.177571660449419
2018-07-02,0.530490077163128,0.494499487591766,1,0.0359905895713618
2018-07-03,0.487096715909778,0.494079779713447,1,-0.00698306380366914
2018-07-09,0.450336476075731,0.32311583710451,1,0.127220638971221
2018-07-15,0.367044556970949,0.212040254784872,1,0.155004302186077
2018-07-17,0.576157971374873,0.208968352131816,1,0.367189619243057
2018-07-27,0.493730085699221,0.292101647018503,1,0.201628438680717
2018-08-27,0.572382204495237,0.230216393463181,1,0.342165811032056
2018-09-02,0.600458126916977,0.183790543212986,1,0.41666758370399
2018-09-20,0.442886464677624,0.240600398175773,1,0.202286066501851
2018-09-21,0.47014340260966,0.230905639319101,1,0.239237763290559
2018-09-24,0.310261691132042,0.243998677427804,1,0.0662630137042378
2018-09-25,0.420068573126621,0.22287956004965,1,0.197189013076971
2018-10-05,0.288207917903019,0.0798183534958991,1,0.20838956440712
2018-10-09,0.314016113885923,0.0729314452995767,1,0.241084668586346
2018-10-11,0.339765195289823,0.071805302771338,1,0.267959892518485
2018-10-12,0.4133855474505,0.108648426314007,1,0.304737121136493
2018-10-13,0.323735530361971,0.108574831223501,1,0.21516069913847
2018-10-16,0.512444285102663,0.108950763675578,1,0.403493521427085
2018-10-17,0.440962197846207,0.115064542287253,1,0.325897655558954
2018-10-18,0.506053483654213,0.113140365631236,1,0.392913118022977
2018-10-20,0.328874315284927,0.0922841729108334,1,0.236590142374094
2018-10-21,0.331086900379946,0.0918003602283379,1,0.239286540151608
2018-10-22,0.427431934798556,0.0908483531868608,1,0.336583581611695
2018-10-25,0.226660345133667,0.0849053004989873,1,0.14175504463468
2018-10-27,0.240366237802138,0.0724054059084235,1,0.167960831893714
2018-10-28,0.26093163029865,0.0718555678535093,1,0.189076062445141
2018-11-02,0.173387574150647,0.0702046229346564,1,0.103182951215991
2018-11-03,0.159708825308013,0.070839862574956,1,0.0888689627330575
2018-11-05,0.207613502861379,0.0701959908177968,1,0.137417512043583
2018-11-10,0.172948049506973,0.0287635674951335,1,0.14418448201184
2018-11-13,0.25024298597975,0.0143326142977588,1,0.235910371681991
2019-01-19,0.512148687908554,0.221841595537738,1,0.290307092370816
2019-01-31,0.417302435472866,0.158323151019861,1,0.258979284453005
2019-02-02,0.383109973098232,0.158943422508246,1,0.224166550589986
2019-02-04,0.415234301641978,0.145987028256015,1,0.269247273385963
2019-02-07,0.409320978752832,0.105920460386659,1,0.303400518366174
2019-02-08,0.327159364217122,0.083369323863617,1,0.243790040353505
2019-02-09,0.355658447198773,0.0835092564700413,1,0.272149190728732
2019-02-10,0.390290600901633,0.158392243858104,1,0.231898357043529
2019-02-11,0.409835970365001,0.153504055342776,1,0.256331915022225
2019-02-12,0.387269999622699,0.137677502546465,1,0.249592497076234
2019-02-15,0.400071553020671,0.139867968072223,1,0.260203584948448
2019-02-16,0.386255909065429,0.136669806997469,1,0.24958610206796
2019-02-17,0.425829307947543,0.136555508728946,1,0.289273799218597
2019-02-18,0.498851788760355,0.111805328106949,1,0.387046460653406
2019-02-21,0.371526658055314,0.166015429365542,1,0.205511228689772
2019-02-28,0.331744101598624,0.301903056933269,1,0.0298410446653559
2019-03-03,0.352107076229441,0.299556899441865,1,0.0525501767875762
2019-03-04,0.321912985748597,0.2967548626017,1,0.0251581231468968
2019-03-05,0.291868354473244,0.297002528808424,1,-0.00513417433517982
2019-03-07,0.245543631505878,0.317709604171716,1,-0.0721659726658384
2019-03-10,0.249607982988041,0.240662530247768,1,0.00894545274027292
2019-03-12,0.239801586100218,0.24226986690674,1,-0.00246828080652151
2019-03-15,0.233073443126906,0.243997823227649,1,-0.010924380100743
2019-03-16,0.298926526370684,0.243982709699117,1,0.0549438166715672
2019-03-17,0.288850748188758,0.246174582307215,1,0.0426761658815431
2019-03-25,0.203997367064479,0.053500310787745,1,0.150497056276734
2019-03-27,0.223058794681799,0.0502365279867977,1,0.172822266695001
2019-03-29,0.22126470813254,0.0586843615102576,1,0.162580346622282
2019-04-11,0.381692032091052,0.415543688183539,1,-0.033851656092487
2019-04-12,0.39325206386651,0.424374212759443,1,-0.0311221488929335
2019-04-14,0.378731156593958,0.455681290031111,1,-0.0769501334371531
2019-04-15,0.400272859154409,0.455344271540753,1,-0.0550714123863439
2019-04-17,0.359954377690508,0.465610692032269,1,-0.105656314341761
2019-04-19,0.298324608722924,0.475149693743232,1,-0.176825085020308
2019-04-21,0.309852092219207,0.476508180655899,1,-0.166656088436691
2019-04-26,0.433685756051901,0.481937318927079,1,-0.0482515628751773
2019-04-28,0.351993379585357,0.508859170246183,1,-0.156865790660826
2019-04-30,0.372264445417203,0.507986430362385,1,-0.135721984945182
2019-05-01,0.397993121348916,0.153930710869534,1,0.244062410479382
2019-05-03,0.395505805439547,0.150916875852616,1,0.244588929586931
2019-05-04,0.42704906902092,0.145254242686739,1,0.281794826334181
2019-05-06,0.443781606561833,0.172382034752966,1,0.271399571808867
2019-05-09,0.48471575295402,0.159837639278742,1,0.324878113675278
2019-05-10,0.502458271870937,0.134525151852784,1,0.367933120018153
2019-09-20,0.522370578702182,0.160973986934978,1,0.361396591767203
2019-09-21,0.519592894446844,0.151694978896485,1,0.367897915550358
