Date,Q_variance_VIX,RV,Cluster,VRP
2019-11-01,0.60953748101869,0.63045017048514,0,-0.0209126894664496
2020-01-08,0.403154353674879,0.328650706917958,0,0.0745036467569205
2020-01-15,0.418576706077831,0.370793648357806,0,0.0477830577200246
2020-03-17,1.22614039581899,4.12364621871347,0,-2.89750582289448
2020-03-18,1.38471050396983,4.14470533953376,0,-2.75999483556393
2020-03-19,1.44912458455873,4.15392857952876,0,-2.70480399497003
2020-03-20,1.54692476305133,4.15521924828727,0,-2.60829448523593
2020-03-22,1.64911913495874,4.40243019834096,0,-2.75331106338222
2020-03-23,1.72201386980808,4.38859143079353,0,-2.66657756098545
2020-03-24,1.74345433169241,4.42431051007046,0,-2.68085617837804
2020-03-25,1.73503333256097,4.57013594033837,0,-2.8351026077774
2020-03-27,1.64550377874602,4.54801051658211,0,-2.90250673783609
2020-03-28,1.5951972834106,4.54777881388553,0,-2.95258153047493
2020-03-29,1.56030075602035,4.59086963766967,0,-3.03056888164933
2020-03-30,1.51974992483711,4.56935629230768,0,-3.04960636747057
2020-04-01,1.43949025739077,4.7135917623861,0,-3.27410150499533
2020-04-02,1.37417584622674,4.7137616258146,0,-3.33958577958787
2020-04-03,1.34038823343938,4.71350732787153,0,-3.37311909443215
2020-04-04,1.2904934202301,4.71951639279971,0,-3.42902297256961
2020-04-05,1.24847059513183,4.70987531006542,0,-3.46140471493359
2020-04-06,1.21165894550083,4.57541255980177,0,-3.36375361430094
2020-04-07,1.17979262017398,4.57554388694424,0,-3.39575126677026
2020-04-08,1.16664873975831,4.66197498128083,0,-3.49532624152252
2020-04-11,1.08200657324497,1.03807520196609,0,0.0439313712788727
2020-04-12,1.06334743408795,0.994325190823955,0,0.0690222432639984
2020-04-13,1.05947211635757,0.978185222752943,0,0.0812868936046304
2020-04-14,1.03710752398315,0.926194315323566,0,0.11091320865958
2020-04-15,1.00709358375934,0.872076126915363,0,0.135017456843979
2020-04-16,0.963342327366229,0.870843365600391,0,0.0924989617658387
2020-04-20,0.827381556905035,0.673002606948688,0,0.154378949956347
2020-04-21,0.818836294765359,0.512651962484568,0,0.306184332280791
2020-04-22,0.815273479433643,0.514142330094228,0,0.301131149339415
2020-04-29,0.719150782873089,0.369502697707107,0,0.349648085165981
2020-04-30,0.755475923019722,0.353703312878646,0,0.401772610141076
2020-05-01,0.765652525658213,0.549405338752805,0,0.216247186905408
2020-05-04,0.792908625561476,0.555119774584462,0,0.237788850977013
2020-05-06,0.833835177360027,0.464262381815653,0,0.369572795544374
2020-05-07,0.855031498296988,0.461326984252178,0,0.39370451404481
2020-05-08,0.884545865081013,0.463237612777897,0,0.421308252303116
2020-05-09,0.906728980041656,0.517455553877918,0,0.389273426163738
2020-05-10,0.987595115268205,0.521851336674638,0,0.465743778593567
2020-05-11,1.06344837181945,0.534211970329466,0,0.529236401489986
2020-06-02,0.741804722773373,0.506106575842594,0,0.235698146930779
2020-07-27,0.380621650285389,0.0510514211732208,0,0.329570229112168
2020-07-28,0.414759706472958,0.0580089794528068,0,0.356750727020151
2020-09-06,0.504141581009336,0.332861577312302,0,0.171280003697034
2020-09-08,0.535383411753766,0.341184698282135,0,0.194198713471631
2020-11-21,0.52707474192709,0.351845769400151,0,0.175228972526939
2020-11-22,0.54965563256071,0.379653967060649,0,0.170001665500061
2020-11-24,0.61765507004117,0.381892596657515,0,0.235762473383655
2020-11-25,0.632920526365642,0.356871620355052,0,0.27604890601059
2020-11-26,0.654080793229298,0.370013714551247,0,0.284067078678051
2020-11-27,0.669988451805872,0.374883053562622,0,0.29510539824325
2020-11-30,0.695122872985236,0.491227699026034,0,0.203895173959202
2020-12-01,0.748753478970694,0.497620584330137,0,0.251132894640558
2020-12-02,0.760981588295976,0.570209112638661,0,0.190772475657314
2020-12-20,0.686968259846799,0.57599905650515,0,0.110969203341649
2020-12-21,0.703107408378051,0.58562797518537,0,0.11747943319268
2020-12-22,0.719276651414938,0.589075416895044,0,0.130201234519894
2020-12-27,0.75066476407919,0.515777943713992,0,0.234886820365197
2020-12-28,0.76094412086886,0.570293450657598,0,0.190650670211261
