Date,Q_variance_VIX,RV,Cluster,VRP
2018-06-09,0.491394651615164,0.243079930853654,1,0.248314720761509
2018-06-10,0.492871698149644,0.243003230665217,1,0.249868467484427
2018-06-14,0.553994961816592,0.491927107692015,1,0.0620678541245768
2018-06-23,0.51015342009751,0.434026341723096,1,0.0761270783744138
2018-07-03,0.522544938402241,0.494079779713447,1,0.0284651586887934
2018-07-15,0.4795740604032,0.212040254784872,1,0.267533805618328
2018-07-17,0.479951784273284,0.208968352131816,1,0.270983432141469
2018-07-27,0.533415944844399,0.292101647018503,1,0.241314297825896
2018-08-27,0.659879814718314,0.230216393463181,1,0.429663421255133
2018-09-02,0.64644927152946,0.183790543212986,1,0.462658728316473
2018-09-20,0.5093432960011,0.240600398175773,1,0.268742897825326
2018-09-21,0.499904123627919,0.230905639319101,1,0.268998484308817
2018-09-24,0.462259827659683,0.243998677427804,1,0.21826115023188
2018-09-25,0.447975284860954,0.22287956004965,1,0.225095724811304
2018-10-05,0.353922811806601,0.0798183534958991,1,0.274104458310702
2018-10-09,0.349587719046557,0.0729314452995767,1,0.27665627374698
2018-10-11,0.353020442128552,0.071805302771338,1,0.281215139357214
2018-10-12,0.361802569262813,0.108648426314007,1,0.253154142948806
2018-10-16,0.402894433262296,0.108950763675578,1,0.293943669586718
2018-10-17,0.410634054707666,0.115064542287253,1,0.295569512420413
2018-10-18,0.401212067811967,0.113140365631236,1,0.288071702180731
2018-10-20,0.350706711863294,0.0922841729108334,1,0.258422538952461
2018-10-21,0.334550436174801,0.0918003602283379,1,0.242750075946463
2018-10-22,0.320725515133346,0.0908483531868608,1,0.229877161946486
2018-10-25,0.281455941610611,0.0849053004989873,1,0.196550641111624
2018-10-27,0.2628785643454,0.0724054059084235,1,0.190473158436977
2018-10-28,0.258498136960637,0.0718555678535093,1,0.186642569107128
2018-11-02,0.218973996473918,0.0702046229346564,1,0.148769373539261
2018-11-13,0.21378988197469,0.0143326142977588,1,0.199457267676931
2019-01-19,0.569620703578306,0.221841595537738,1,0.347779108040568
2019-01-31,0.468131933074964,0.158323151019861,1,0.309808782055103
2019-02-02,0.434088928034866,0.158943422508246,1,0.27514550552662
2019-02-04,0.421243186711619,0.145987028256015,1,0.275256158455604
2019-02-07,0.419235323722484,0.105920460386659,1,0.313314863335826
2019-02-08,0.410336119334736,0.083369323863617,1,0.326966795471119
2019-02-09,0.408438516567357,0.0835092564700413,1,0.324929260097315
2019-02-10,0.408064855084331,0.158392243858104,1,0.249672611226227
2019-02-11,0.405973456130008,0.153504055342776,1,0.252469400787232
2019-02-12,0.39939225779878,0.137677502546465,1,0.261714755252315
2019-02-15,0.377333976712296,0.139867968072223,1,0.237466008640073
2019-02-16,0.373672455639206,0.136669806997469,1,0.237002648641737
2019-02-17,0.374140839944823,0.136555508728946,1,0.237585331215877
2019-02-18,0.373014155332556,0.111805328106949,1,0.261208827225607
2019-02-21,0.374766943918942,0.166015429365542,1,0.208751514553401
2019-02-28,0.387498924412773,0.301903056933269,1,0.0855958674795044
2019-03-04,0.372910385537635,0.2967548626017,1,0.0761555229359344
2019-03-05,0.361755238497835,0.297002528808424,1,0.0647527096894113
2019-03-07,0.341138669934412,0.317709604171716,1,0.0234290657626961
2019-03-12,0.322103624548197,0.24226986690674,1,0.0798337576414574
2019-03-15,0.297649948638008,0.243997823227649,1,0.0536521254103596
2019-03-16,0.298363919951779,0.243982709699117,1,0.0543812102526623
2019-03-17,0.291246934307748,0.246174582307215,1,0.0450723520005328
2019-03-25,0.252848758441573,0.053500310787745,1,0.199348447653828
2019-03-27,0.243293808651343,0.0502365279867977,1,0.193057280664545
2019-03-29,0.237523404815465,0.0586843615102576,1,0.178839043305207
2019-04-11,0.440865948874204,0.415543688183539,1,0.0253222606906653
2019-04-12,0.427444174746153,0.424374212759443,1,0.00306996198671006
2019-04-14,0.389478291958982,0.455681290031111,1,-0.0662029980721287
2019-04-15,0.380072964290052,0.455344271540753,1,-0.0752713072507017
2019-04-17,0.354754072516295,0.465610692032269,1,-0.110856619515974
2019-04-19,0.333313041317718,0.475149693743232,1,-0.141836652425515
2019-04-21,0.310373586240755,0.476508180655899,1,-0.166134594415144
2019-04-26,0.34187258535638,0.481937318927079,1,-0.140064733570699
2019-04-28,0.343199756726427,0.508859170246183,1,-0.165659413519755
2019-04-30,0.356469440766995,0.507986430362385,1,-0.15151698959539
2019-05-01,0.357776545555412,0.153930710869534,1,0.203845834685878
2019-05-03,0.362943901735076,0.150916875852616,1,0.212027025882461
2019-05-04,0.368993371874884,0.145254242686739,1,0.223739129188145
2019-05-06,0.391243520398751,0.172382034752966,1,0.218861485645785
2019-05-09,0.423712360755927,0.159837639278742,1,0.263874721477184
2019-05-10,0.43629886976621,0.134525151852784,1,0.301773717913426
2019-09-20,0.543887914051489,0.160973986934978,1,0.38291392711651
2019-09-21,0.528803021537789,0.151694978896485,1,0.377108042641303
