Return,Q_density
-1,0.0138469826775325
-0.999,0.0139368182965507
-0.998,0.0140272044221312
-0.997,0.0141181442201112
-0.996,0.0142096408732103
-0.995,0.0143016975811117
-0.994,0.0143943175605436
-0.993,0.0144875040453614
-0.992,0.0145812602866298
-0.991,0.0146755895527051
-0.99,0.0147704951293184
-0.989,0.0148659803196589
-0.988,0.0149620484444569
-0.987,0.0150587028420683
-0.986,0.0151559468685584
-0.985,0.0152537838977865
-0.984,0.0153522173214908
-0.983,0.0154512505493738
-0.982,0.0155508870091874
-0.981,0.0156511301468192
-0.98,0.0157519834263784
-0.979,0.0158534503302825
-0.978,0.0159555343593443
-0.977,0.0160582390328584
-0.976,0.01616156788869
-0.975,0.0162655244833615
-0.974,0.0163701123921417
-0.973,0.0164753352091338
-0.972,0.0165811965473644
-0.971,0.0166877000388731
-0.97,0.0167948493348017
-0.969,0.0169026481054841
-0.968,0.017011100040537
-0.967,0.0171202088489501
-0.966,0.0172299782591772
-0.965,0.0173404120192276
-0.964,0.0174515138967578
-0.963,0.0175632876791631
-0.962,0.0176757371736703
-0.961,0.0177888662074305
-0.96,0.0179026786276117
-0.959,0.0180171783014925
-0.958,0.0181323691165558
-0.957,0.0182482549805829
-0.956,0.0183648398217477
-0.955,0.0184821275887117
-0.954,0.0186001222507191
-0.953,0.0187188277976923
-0.952,0.0188382482403276
-0.951,0.0189583876101913
-0.95,0.0190792499598167
-0.949,0.0192008393628005
-0.948,0.0193231599139002
-0.947,0.0194462157291315
-0.946,0.0195700109458669
-0.945,0.019694549722933
-0.944,0.0198198362407099
-0.943,0.01994587470123
-0.942,0.0200726693282773
-0.941,0.0202002243674868
-0.94,0.0203285440864453
-0.939,0.0204576327747913
-0.938,0.0205874947443156
-0.937,0.020718134329063
-0.936,0.0208495558854334
-0.935,0.0209817637922835
-0.934,0.0211147624510296
-0.933,0.0212485562857494
-0.932,0.0213831497432855
-0.931,0.0215185472933483
-0.93,0.0216547534286199
-0.929,0.0217917726648577
-0.928,0.0219296095409992
-0.927,0.0220682686192663
-0.926,0.0222077544852706
-0.925,0.0223480717481186
-0.924,0.0224892250405178
-0.923,0.0226312190188824
-0.922,0.02277405836344
-0.921,0.0229177477783384
-0.92,0.0230622919917529
-0.919,0.0232076957559937
-0.918,0.0233539638476139
-0.917,0.0235011010675175
-0.916,0.0236491122410687
-0.915,0.0237980022182
-0.914,0.0239477758735221
-0.913,0.0240984381064336
-0.912,0.0242499938412307
-0.911,0.0244024480272181
-0.91,0.024555805638819
-0.909,0.0247100716756872
-0.908,0.0248652511628177
-0.907,0.0250213491506592
-0.906,0.0251783707152258
-0.905,0.0253363209582096
-0.904,0.0254952050070942
-0.903,0.0256550280152669
-0.902,0.0258157951621334
-0.901,0.0259775116532307
-0.9,0.0261401827203425
-0.899,0.0263038136216129
-0.898,0.0264684096416621
-0.897,0.0266339760917013
-0.896,0.0268005183096487
-0.895,0.0269680416602457
-0.894,0.0271365515351727
-0.893,0.0273060533531668
-0.892,0.027476552560138
-0.891,0.0276480546292872
-0.89,0.0278205650612242
-0.889,0.0279940893840851
-0.888,0.0281686331536516
-0.887,0.0283442019534696
-0.886,0.0285208013949683
-0.885,0.0286984371175797
-0.884,0.0288771147888586
-0.883,0.0290568401046032
-0.882,0.029237618788975
-0.881,0.02941945659462
-0.88,0.0296023593027905
-0.879,0.0297863327234656
-0.878,0.0299713826954743
-0.877,0.030157515086617
-0.876,0.0303447357937885
-0.875,0.0305330507431007
