Date,EMA
2017-07-01,86.39677364948902
2017-07-10,86.01729184814462
2017-07-14,88.46280419582223
2017-07-15,89.73604070911708
2017-07-16,91.72484761074612
2017-07-17,94.15595591158531
2017-07-20,96.05432354835484
2017-07-21,94.84784017686314
2017-07-22,95.21653862505883
2017-07-24,88.65323825951327
2017-07-30,89.10768170641504
2017-07-31,90.59849778365961
2017-08-05,90.74641270496463
2017-08-09,90.30253105629306
2017-08-11,90.67562958905046
2017-08-12,90.74736914060773
2017-08-19,92.88369734242019
2017-08-22,93.50929323992894
2017-08-24,89.94104224367977
2017-08-25,87.15621828951707
2017-08-29,84.2296644099073
2017-08-30,81.11173107804217
2017-08-31,78.34859931135003
2017-09-01,77.04209062500395
2017-09-02,77.11172888563146
2017-09-04,78.60607224948942
2017-09-05,80.23036855244271
2017-09-14,86.23176816387137
2017-09-15,94.87265022852597
2017-09-16,99.1582659822171
2017-09-19,101.62462335736882
2017-09-21,102.73336560964738
2017-09-28,101.35674284854133
2017-10-02,95.97635924430776
2017-10-09,91.09233547889387
2017-10-11,87.59773473656901
2017-10-12,85.78759755946825
2017-10-13,85.68506008494765
2017-10-18,84.57682642515526
2017-10-19,86.86211044928108
2017-10-21,88.07198011784368
2017-10-22,88.14321569651399
2017-10-23,89.94717002008524
2017-10-24,90.79677763274509
2017-10-26,91.78468432914104
2017-10-28,90.16734165082732
2017-10-31,89.16544459283885
2017-11-02,90.0119434781484
2017-11-08,88.27317110195739
2017-11-10,88.00021388031902
2017-11-12,90.91326462944006
2017-11-13,92.69005899000517
2017-11-15,93.80642222773818
2017-11-16,95.22617382333011
2017-11-17,98.13589646518415
2017-11-18,98.39315731514905
2017-11-19,98.67371456160315
2017-11-20,100.50795581334722
2017-11-21,99.22375219986252
2017-11-22,99.53957232729435
2017-11-23,98.08458254524028
2017-11-24,96.55111040122276
2017-11-25,95.829793126904
2017-11-26,93.60046831459739
2017-11-27,93.74781781428312
2017-11-28,92.48185687842869
2017-11-29,95.2263697195271
2017-11-30,98.58847301250476
2017-12-01,102.46596301794034
2017-12-02,104.75609369036974
2017-12-03,104.73798615834274
2017-12-04,108.73781347624943
2017-12-07,112.60266550153699
2017-12-09,121.63842150868965
2017-12-13,125.04989579736636
2017-12-14,128.15175285251948
2017-12-15,132.1151881097985
2017-12-16,131.68588148830588
2017-12-18,133.4198886994469
2017-12-19,134.48416909198212
2017-12-20,135.88462606271173
2017-12-21,136.4099274080714
2017-12-22,141.4338704503939
2017-12-23,143.86987051683184
2017-12-24,147.7700234562786
2017-12-27,144.69998160445036
2017-12-28,142.52527030090295
2017-12-30,142.30561813049925
2018-01-02,141.54018024870524
2018-01-04,141.78669643430985
2018-01-05,141.433606444843
2018-01-06,140.55378589074664
2018-01-07,139.4819054711456
2018-01-08,138.68184974200864
2018-01-10,137.44602825409117
2018-01-11,136.58531358868822
2018-01-12,135.3344820737525
2018-01-15,134.0475836442779
2018-01-16,134.22303131107003
2018-01-17,136.73670693164163
2018-01-18,137.49535796795618
2018-01-22,136.77227951731243
2018-01-23,138.18712227578197
2018-01-25,140.3718469018823
2018-01-26,139.16415826431322
2018-01-29,136.34551699350982
2018-01-30,138.12316903024902
2018-01-31,137.01318086089645
2018-02-01,136.07127738097347
2018-02-02,137.253058137094
2018-02-03,136.9926785662799
2018-02-05,136.21077709185707
2018-02-06,136.10514976378477
2018-02-07,135.79221188046276
2018-02-08,135.50600579664197
2018-02-09,136.03726872151728
2018-02-15,137.65131093995615
2018-02-16,138.77391169270658
2018-02-17,139.13029295583286
2018-02-18,140.44115924629327
2018-02-19,142.65499488065737
2018-02-20,144.9280775164741
2018-02-21,147.22194622629604
2018-02-22,146.94456039243855
2018-02-23,149.12464217771978
2018-02-24,149.59267479852207
2018-02-26,149.07637261456244
2018-02-27,148.37101043608985
2018-02-28,147.75758800573954
2018-03-01,146.43030484935036
2018-03-02,144.98200028219284
2018-03-03,144.9455495162164
2018-03-04,143.43625712479673
2018-03-05,143.48595992271567
2018-03-06,143.21362996514196
2018-03-07,142.7786384869833
2018-03-08,143.04413832842727
2018-03-09,143.09123913286686
2018-03-10,141.47660032945834
2018-03-11,139.2535629764039
2018-03-12,138.02073565400474
2018-03-13,134.40327137243142
2018-03-14,131.78151468903897
2018-03-15,129.52652806721778
2018-03-16,126.1707589215752
2018-03-17,123.21019882460857
2018-03-18,122.3408581522622
2018-03-19,120.99272496500691
2018-03-20,116.56318663341798
2018-03-21,114.3541366341048
2018-03-22,112.33407679036186
2018-03-24,109.33091790096088
2018-03-25,106.8832759558903
2018-03-26,106.95175464198863
2018-03-27,103.60209362105076
2018-03-28,103.06295453404977
2018-03-29,101.69612132851877
2018-03-30,102.24423728533996
2018-03-31,98.60990229429463
2018-04-01,99.16943800593201
2018-04-02,96.14415660209578
2018-04-03,97.66487855635575
2018-04-04,99.09091472151162
2018-04-05,99.68812013935823
2018-04-06,101.21978147504329
2018-04-08,100.77083449469794
2018-04-09,98.22898740496957
2018-04-10,97.37562150316317
2018-04-11,97.23670868503109
2018-04-12,96.24829062489037
2018-04-13,95.02629661218326
2018-04-14,93.84146359795838
2018-04-15,92.86601432387266
2018-04-16,91.86567586276817
2018-04-17,90.08875311570274
2018-04-18,90.27736677072662
2018-04-19,90.55772653063768
2018-04-20,89.5242669048398
2018-04-21,90.23096995734602
2018-04-22,89.67589012981054
2018-04-23,89.19782212251303
2018-04-24,88.89086219969546
2018-04-25,88.1635443987598
2018-04-27,88.54811442298833
2018-04-28,88.90194440158282
2018-04-29,89.51305742052178
