Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Call simple Cluster0,"(-Inf,-0.6]",13.1,12.66,13.1,1.9,14.44,11.76,2
Long Call simple Cluster0,"(-0.6,-0.05]",8.78,30.22,33.93,77.16,176.98,-100,148
Long Call simple Cluster0,"(-0.05,0.05]",6.09,-13.45,-29.56,96.14,249.47,-100,352
Long Call simple Cluster0,"(0.05,0.6]",-86.77,-82.61,-100,52.48,259.3,-100,1341
Long Call simple Cluster0,"(0.6, Inf)",-100,-100,-100,0,-100,-100,225
