Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Std_Dev,Max,Min,Num_obs
Long Straddle DH Cluster0,"(-Inf,-0.6]",-42.78,-42.78,-42.78,NA,-42.78,-42.78,1
Long Straddle DH Cluster0,"(-0.6,-0.1]",-36.15,-43.75,-33.41,32.93,13.8,-92.33,9
Long Straddle DH Cluster0,"(-0.1,0.1]",-6.3,-49.07,-13.29,55.49,93.74,-82.99,17
Long Straddle DH Cluster0,"(0.1,0.6]",-66.48,-87.73,-87.54,51.05,8.88,-99.74,4
Long Straddle DH Cluster0,"(0.6, Inf)",-62.27,-62.27,-62.27,NA,-62.27,-62.27,1
