Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Num_obs
Long Straddle simple Cluster1,"(-Inf,-0.5]",NA,NA,NA,NA
Long Straddle simple Cluster1,"(-0.5,-0.1]",-34.39,-41.57,-40.34,8
Long Straddle simple Cluster1,"(-0.1,0.1]",-36.83,-32.57,-60.32,18
Long Straddle simple Cluster1,"(0.1,0.45]",-23.21,-41.11,-51.03,8
Long Straddle simple Cluster1,"(0.45, Inf)",-49.45,-49.45,-49.45,1
