Cluster,Group,Equally_Average,Weighted_Average,Median_Return,Num_obs
Long Straddle simple Overall,"(-Inf,-0.6]",-42.78,-42.78,-42.78,1
Long Straddle simple Overall,"(-0.6,-0.1]",-35.32,-42.92,-33.43,17
Long Straddle simple Overall,"(-0.1,0.1]",-22.02,-44.2,-32.13,35
Long Straddle simple Overall,"(0.1,0.6]",-37.65,-76.88,-65.66,12
Long Straddle simple Overall,"(0.6, Inf)",-55.8,-56.25,-55.8,2
