Date,Q_variance_Qdensity,RV,Cluster,VRP
2017-08-11,0.805487305690616,1.79529782445786,1,-0.989810518767242
2017-08-13,0.929097224546672,1.66273006697725,1,-0.733632842430576
2017-08-21,1.44878800610628,0.913912812958706,1,0.534875193147574
2017-08-25,0.675729426909849,0.859855796613824,1,-0.184126369703975
2017-09-02,0.617194558668998,0.603364812001082,1,0.013829746667916
2017-09-05,0.826627301658283,0.63065343215595,1,0.195973869502333
2017-09-10,1.40751426300756,0.626142292742891,1,0.781371970264672
2017-09-12,0.828290230265733,0.487997496431715,1,0.340292733834018
2017-10-01,0.725387993183381,1.28290489985238,1,-0.557516906668997
2017-10-07,0.731324238743016,1.1535118927844,1,-0.422187654041386
2017-10-09,0.676654303845893,1.18503664704484,1,-0.50838234319895
2017-10-14,0.716019360563978,0.664733687156614,1,0.0512856734073642
2017-10-29,0.740452886655034,0.474786322650097,1,0.265666564004937
2017-10-30,1.00138940829853,0.528818256796547,1,0.472571151501982
2017-11-21,1.01557964069975,1.09367063248882,1,-0.0780909917890629
2018-03-27,0.889552661208965,0.525916230902046,1,0.36363643030692
2018-03-30,1.21019445561117,0.546737939486779,1,0.66345651612439
2018-04-08,1.37936764606868,0.717537015408735,1,0.661830630659948
2018-04-14,0.732931051597888,0.854682486782944,1,-0.121751435185056
2018-04-20,0.79221135902985,0.882515083533694,1,-0.0903037245038441
2018-04-24,0.720257819089615,0.896550853976558,1,-0.176293034886943
2018-05-10,0.925519052344178,0.356827507385991,1,0.568691544958187
2018-05-22,0.582692024297002,0.302117963928898,1,0.280574060368104
2018-05-26,0.657115161515246,0.415935816771364,1,0.241179344743882
2018-05-28,0.632467868184696,0.40174375944959,1,0.230724108735106
2018-05-29,0.760107063408957,0.401755012594991,1,0.358352050813966
2018-06-01,0.715326948241581,0.377925617231074,1,0.337401331010507
2018-06-04,0.585917225580559,0.381483314624893,1,0.204433910955666
2018-06-21,0.51434105759534,0.388818898597204,1,0.125522158998136
2018-06-23,0.580079082176873,0.434026341723096,1,0.146052740453777
2018-06-26,0.503321262404476,0.444145852042802,1,0.0591754103616737
2018-06-30,0.588598314529413,0.454744343980145,1,0.133853970549268
2018-07-07,0.471373846997036,0.501798234773387,1,-0.0304243877763502
2018-07-13,0.609359737389262,0.209284180815638,1,0.400075556573624
2018-07-19,0.921088168051461,0.30117787010061,1,0.619910297950851
2018-07-24,0.530632133028803,0.250271381112925,1,0.280360751915878
2018-07-27,0.694996499806833,0.292101647018503,1,0.40289485278833
2018-07-29,0.600785990833314,0.272880087683364,1,0.32790590314995
2018-08-02,0.658858200129042,0.308012665817182,1,0.350845534311861
2018-08-03,0.579784197884104,0.307615531803927,1,0.272168666080177
2018-08-09,0.724082657725803,0.332315349253164,1,0.391767308472639
2018-08-10,0.691334358082956,0.356286614087125,1,0.33504774399583
2018-08-11,0.849947283368445,0.356282729208224,1,0.493664554160221
2018-08-13,0.867318773377967,0.366018982068158,1,0.50129979130981
2018-08-16,0.84445113890211,0.279291182781529,1,0.565159956120581
2018-08-18,0.71924097276491,0.277332396866116,1,0.441908575898794
2018-08-19,0.90644131448642,0.279099986113249,1,0.627341328373171
2018-08-20,0.774720396729015,0.266020101676223,1,0.508700295052791
2018-08-23,0.855608144397695,0.218365918519734,1,0.637242225877961
2018-09-22,0.456808396406883,0.241365064045229,1,0.215443332361653
2018-09-23,0.393212267318292,0.243484442764634,1,0.149727824553658
2018-09-25,0.330899697236379,0.22287956004965,1,0.10802013718673
2018-10-01,0.457500890078761,0.22017021714208,1,0.23733067293668
2018-10-06,0.2955611093378,0.0761419597122341,1,0.219419149625566
2018-10-07,0.419998251152174,0.0740496204327392,1,0.345948630719434
2018-10-08,0.411835578963531,0.073357319748074,1,0.338478259215457
2018-10-09,0.390955192750281,0.0729314452995767,1,0.318023747450704
2018-10-17,0.454298238987834,0.115064542287253,1,0.339233696700581
2018-10-21,0.394223632546003,0.0918003602283379,1,0.302423272317665
2018-10-22,0.27854078868691,0.0908483531868608,1,0.187692435500049
2018-10-23,0.316455166217093,0.0901124002739957,1,0.226342765943098
2018-10-26,0.259982319224789,0.0779986517707377,1,0.181983667454052
2018-11-12,0.290959416818811,0.0208522970203308,1,0.27010711979848
2018-11-16,1.08513067371274,0.0934711341015077,1,0.99165953961123
2019-01-06,0.703996528267655,0.35060542292726,1,0.353391105340395
2019-01-07,0.825738610882538,0.348759632850364,1,0.476978978032174
2019-01-08,0.656101227987505,0.349480831692013,1,0.306620396295493
2019-01-09,0.671926963041011,0.349079014285475,1,0.322847948755536
2019-01-11,0.851519909453712,0.372264117172153,1,0.479255792281559
2019-01-13,0.802903739407104,0.39646231336802,1,0.406441426039084
2019-01-18,0.486542645316525,0.263729914619048,1,0.222812730697477
2019-01-29,0.557616081832827,0.155235968233511,1,0.402380113599316
2019-02-15,0.397436920610093,0.139867968072223,1,0.25756895253787
2019-02-19,0.592158675070513,0.114395403326077,1,0.477763271744435
2019-03-07,0.332736828036464,0.317709604171716,1,0.0150272238647476
2019-03-18,0.385572919956656,0.248906075570265,1,0.136666844386391
2019-03-19,0.334107705832934,0.1950281715409,1,0.139079534292034
2019-03-21,0.22162435620019,0.192419056086071,1,0.0292053001141194
2019-03-26,0.25113606020797,0.0475830073750951,1,0.203553052832874
2019-03-27,0.299154360658568,0.0502365279867977,1,0.24891783267177
2019-03-28,0.27720167573595,0.0503557842732121,1,0.226845891462738
2019-04-04,0.771819824592629,0.393961420455133,1,0.377858404137496
2019-04-05,0.697968028528814,0.397175716913885,1,0.300792311614928
