Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,1,9500,7579.36,72,27,1.25340398133879,0.959514433927331,0.6494,0.0156,0,227380.8,30,7194.4,0,-1,1.25,0.25340398133879005,1
2019-11-30,1,9500,7727.38,92.73,27,1.22939469781478,0.960268552624459,0.6506,0.0156,0,38636.9,5,7194.4,0,-1,1.22,0.22939469781478006,1
2019-11-30,1,9500,7540.85,67.87,27,1.25980492915255,0.959819250093737,0.6514,0.0156,0,37704.25,5,7194.4,0,-1,1.25,0.25980492915254993,1
2019-11-30,1,9500,7670.66,88.21,27,1.23848534545919,0.962169258787673,0.6605,0.0156,0,767.066,0.1,7194.4,0,-1,1.23,0.23848534545918998,1
2019-11-30,1,9500,7692.08,80.77,27,1.23503655708209,0.957051538251583,0.6366,0.0156,0,61536.64,8,7194.4,0,-1,1.23,0.23503655708209004,1
2019-11-30,1,9500,7692.08,80.77,27,1.23503655708209,0.957051538251583,0.6366,0.0156,0,123073.28,16,7194.4,0,-1,1.23,0.23503655708209004,1
2019-11-30,1,10000,7505.24,52.54,27,1.33240242817019,0.971291287605059,0.7175,0.0156,0,7505.24,1,7194.4,0,-1,1.33,0.33240242817019006,1
2019-11-30,1,10000,7700.08,65.45,27,1.29868780584098,0.968579711971508,0.6991,0.0156,0,7700.08,1,7194.4,0,-1,1.29,0.2986878058409801,1
2019-11-30,1,10000,7705.46,65.5,27,1.29778105395395,0.968070267380667,0.6962,0.0156,0,23116.38,3,7194.4,0,-1,1.29,0.29778105395395005,1
2019-11-30,1,10000,7705.46,65.5,27,1.29778105395395,0.968070267380667,0.6962,0.0156,0,2311.638,0.3,7194.4,0,-1,1.29,0.29778105395395005,1
2019-11-30,1,10000,7601.83,53.21,27,1.31547272169991,0.967154687711058,0.6927,0.0156,0,6081.464,0.8,7194.4,0,-1,1.31,0.31547272169991003,1
