Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,1,14000,7547.10234243551,7.6300199518443,27,1.85524588295171,0.992699383769013,0.956138611621737,0.0156,0,339577.63,45,7194.4,0,-1,1.85,0.85524588295171,1
2019-11-30,1,15000,7604.13604396258,9.18542686382145,27,1.97309124468384,0.996407025254274,1.05282164854667,0.0156,0,3801.142,0.5,7194.4,0,-1,1.97,0.97309124468384,1
2020-03-28,-1,3000,6215.59459753416,42.3374462170224,27,0.482679261865362,7.15736858689759e-6,1.64982199225173,3e-4,0,453717.442,73,7477.6,0,-1,0.48,-0.5173207381346381,0
2020-03-28,-1,3500,6168.16545479294,71.1110158676206,27,0.567470470072173,3.6980404908362e-5,1.49761035050277,3e-4,0,2264787.452,367.2,7477.6,0,-1,0.56,-0.432529529927827,0
2020-03-28,-1,4000,6214.72016726423,121.532652311148,27,0.643634804683716,7.83092928388958e-5,1.4334266081371,3e-4,0,54689.398,8.8,7477.6,0,-1,0.64,-0.35636519531628397,0
2020-03-28,1,4500,6261.88418634659,1866.0412509981,27,0.718634020453921,0.998468790720255,1.11982910914933,3e-4,0,125237.6,20,7477.6,2977.6000000000004,0.5956774794808821,0.71,-0.281365979546079,0
2020-03-28,-1,4500,6220.2323327657,180.885908527762,27,0.72346598932324,3.0645092507817e-4,1.30002017221292,3e-4,0,1063629.82,171,7477.6,0,-1,0.72,-0.27653401067676,0
2020-03-28,-1,5000,6269.52013135901,266.619833506406,27,0.797520409894452,8.2101499835719e-4,1.19787202695595,3e-4,0,2412477.444,384.8,7477.6,0,-1,0.79,-0.20247959010554795,0
2020-03-28,1,5500,6196.07208320039,1046.51762337875,27,0.887800809781951,0.996678920646485,1.03853661446577,3e-4,0,18585.25,3,7477.6,1977.6000000000004,0.8896958405871758,0.88,-0.11219919021804903,0
2020-03-28,-1,5500,6240.56255696381,410.591085872406,27,0.881378849111322,0.00162518206784,1.12459072540202,3e-4,0,592821.124,95,7477.6,0,-1,0.88,-0.11862115088867797,0
2020-03-28,1,6000,6190.95809186838,769.716459273174,27,0.969300977078348,0.996170996398814,1.02451683121048,3e-4,0,992880.46,160.4,7477.6,1477.6000000000004,0.9196679273238679,0.96,-0.030699022921652053,0
2020-03-28,-1,6000,6215.62678131973,619.241228421103,27,0.965395560244279,0.00248563346368635,1.0785556917731,3e-4,0,499691.546,80.4,7477.6,0,-1,0.96,-0.03460443975572103,0
2020-03-28,1,6500,6184.81690001595,528.114203310089,27,1.05109623065524,0.994836870637853,0.991215608404473,3e-4,0,578824.262,93.6,7477.6,977.6000000000004,0.8511147662241343,1.05,0.05109623065524005,0
2020-03-28,-1,6500,6238.35600059525,857.124598447693,27,1.04198409160345,0.00388222383305468,1.02810146748847,3e-4,0,81095.288,13,7477.6,0,-1,1.04,0.04198409160344996,0
2020-03-28,1,7000,6228.07162050672,363.189371580053,27,1.12402155954606,0.993365405236887,0.961781950556594,3e-4,0,103378.8,16.6,7477.6,477.60000000000036,0.31501645525089206,1.12,0.12402155954606009,0
2020-03-28,1,7500,6221.03590714006,246.446160421696,27,1.20566983044072,0.993429675382014,0.969131860220461,3e-4,0,656896.258,105.6,7477.6,0,-1,1.2,0.20566983044072007,0
2020-03-28,1,8000,6225.23694781932,173.822726770108,27,1.28513131276344,0.994185287720126,0.989854288339376,3e-4,0,1075687.742,172.8,7477.6,0,-1,1.28,0.28513131276344006,0
2020-03-28,1,9000,6204.7191055211,88.2901001548043,27,1.45058839267822,0.995594866232636,1.03488777551753,3e-4,0,301532.814,48.6,7477.6,0,-1,1.45,0.45058839267821993,0
2020-03-28,1,10000,6227.68557848456,53.6588901432224,27,1.60582501789597,0.997112837671938,1.09458666456928,3e-4,0,389830.768,62.6,7477.6,0,-1,1.6,0.6058250178959701,0
2020-03-28,1,11000,6244.22711306803,37.4542184202066,27,1.76162719878911,0.998411760759403,1.17082444724004,3e-4,0,1001574,160.4,7477.6,0,-1,1.76,0.7616271987891099,0
2020-03-28,1,12000,6207.89925918227,30.4292595694757,27,1.93305794248879,0.999349350559631,1.27557884679598,3e-4,0,1241556.162,200,7477.6,0,-1,1.93,0.9330579424887899,0
2020-05-30,-1,2500,9557,4.78,27,0.261588364549545,7.09503772400311e-8,1.9739,0.0014,0,19114,2,9240.85,0,-1,0.26,-0.7384116354504551,1
2020-05-30,-1,4000,9690.96,14.54,27,0.412755805410403,1.76683957163748e-5,1.5478,0.0014,0,3876.384,0.4,9240.85,0,-1,0.41,-0.587244194589597,1
2020-05-30,-1,4500,9538.03,9.54,27,0.471795538491701,3.6597251307835e-4,1.2533,0.0014,0,5722.818,0.6,9240.85,0,-1,0.47,-0.528204461508299,1
2020-05-30,-1,5000,9531.09053554762,13.275006203804,27,0.524602901833457,0.00109915176528811,1.13755563350822,0.0014,0,26686.852,2.8,9240.85,0,-1,0.52,-0.47539709816654296,1
2020-05-30,-1,6000,9544.35746990259,36.4782944698021,27,0.6286650233985,0.00328276080955721,1.00989925173107,0.0014,0,261506.516,27.4,9240.85,0,-1,0.62,-0.37133497660150006,1
2020-05-30,-1,7000,9429.46028684153,99.1081120507622,27,0.74242984041947,0.00862292913404994,0.889295038221384,0.0014,0,2411810.386,255.8,9240.85,0,-1,0.74,-0.25757015958053,1
2020-05-30,-1,7500,9379.59803467515,130.538552638307,27,0.799636467737565,0.0180539041836805,0.782762667989694,0.0014,0,4616472.796,492.2,9240.85,0,-1,0.79,-0.20036353226243497,1
2020-05-30,1,8000,9596.17660727808,1826.7543512364,27,0.833722403788435,0.980383964730955,0.773524914374553,0.0014,0,55654.016,5.8,9240.85,1240.8500000000004,-0.32073516115609235,0.83,-0.16627759621156502,1
2020-05-30,-1,8000,9558.0805957335,176.115463195964,27,0.836999944919129,0.0224706368371597,0.750925771842725,0.0014,0,1695579.562,177.4,9240.85,0,-1,0.83,-0.163000055080871,1
2020-05-30,-1,8500,9386.76809623827,299.192047246371,27,0.905543498719976,0.0353603252395217,0.680835835627797,0.0014,0,13618119.966,1450.8,9240.85,0,-1,0.9,-0.09445650128002403,1
2020-05-30,1,9000,9616.6968484759691,1065.7202024663,27,0.93590178816799,0.963309053215022,0.677862758244463,0.0014,0,444277.386,46.2,9240.85,240.85000000000036,-0.7740025952002947,0.93,-0.06409821183201003,1
2020-05-30,-1,9000,9501.23057989519,427.273588067239,27,0.947277876482071,0.0388368312610623,0.669364504511596,0.0014,0,798076.276,84,9240.85,0,-1,0.94,-0.05272212351792904,1
2020-05-30,1,9500,9512.9241279803009,703.927805901912,27,0.998694153779826,0.957047016776871,0.657239818791214,0.0014,0,237810.544,25,9240.85,0,-1,0.99,-0.001305846220174045,1
2020-05-30,-1,9500,9475.8703392352,647.135837382928,27,1.00265936159107,0.0470917245786716,0.640657382663575,0.0014,0,2713583.6,286.4,9240.85,259.14999999999964,-0.5995431174882477,1,0.002659361591069942,1
2020-05-30,1,10000,9509.33368562919,482.940529144987,27,1.05162644910243,0.953510362172295,0.648327651487786,0.0014,0,1732554.37,182.2,9240.85,0,-1,1.05,0.05162644910243008,1
