test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019/11/30,1,9500,7692.08,80.77,27,1.235036557,0.957051538,0.6366,0.0156,0,61536.64,8,7194.4,0,-1,1.23,0.235036557,1
2019/11/30,1,9500,7692.08,80.77,27,1.235036557,0.957051538,0.6366,0.0156,0,123073.28,16,7194.4,0,-1,1.23,0.235036557,1
2019/11/30,1,10000,7505.24,52.54,27,1.332402428,0.971291288,0.7175,0.0156,0,7505.24,1,7194.4,0,-1,1.33,0.332402428,1
2019/11/30,1,10000,7700.08,65.45,27,1.298687806,0.968579712,0.6991,0.0156,0,7700.08,1,7194.4,0,-1,1.29,0.298687806,1
2019/11/30,1,10000,7705.46,65.5,27,1.297781054,0.968070267,0.6962,0.0156,0,23116.38,3,7194.4,0,-1,1.29,0.297781054,1
2019/11/30,1,10000,7705.46,65.5,27,1.297781054,0.968070267,0.6962,0.0156,0,2311.638,0.3,7194.4,0,-1,1.29,0.297781054,1
2019/11/30,1,10000,7601.83,53.21,27,1.315472722,0.967154688,0.6927,0.0156,0,6081.464,0.8,7194.4,0,-1,1.31,0.315472722,1
2019/11/30,1,10000,7580.88,53.07,27,1.319108072,0.967819459,0.6966,0.0156,0,121294.08,16,7194.4,0,-1,1.31,0.319108072,1
2019/11/30,1,10000,7743.24,73.56,27,1.291449058,0.969588286,0.7042,0.0156,0,7743.24,1,7194.4,0,-1,1.29,0.291449058,1
2019/11/30,1,10000,7743.56,73.56,27,1.291395689,0.969554174,0.704,0.0156,0,15487.12,2,7194.4,0,-1,1.29,0.291395689,1
2019/11/30,1,10000,7569.55,52.99,27,1.321082495,0.968570455,0.7009,0.0156,0,7569.55,1,7194.4,0,-1,1.32,0.321082495,1
2019/11/30,1,10000,7709.24,61.67,27,1.297144725,0.966070163,0.6854,0.0156,0,3854.62,0.5,7194.4,0,-1,1.29,0.297144725,1
2019/11/30,1,10000,7807.42,74.17,27,1.280832849,0.96676962,0.6877,0.0156,0,39037.1,5,7194.4,0,-1,1.28,0.280832849,1
2019/11/30,1,11000,7596.8,26.59,27,1.447978096,0.976016047,0.7562,0.0156,0,37984,5,7194.4,0,-1,1.44,0.447978096,1
2019/11/30,1,11000,7596.8,26.59,27,1.447978096,0.976016047,0.7562,0.0156,0,84324.48,11.1,7194.4,0,-1,1.44,0.447978096,1
2019/11/30,1,12000,7674.62,15.35,27,1.563595331,0.980964126,0.8007,0.0156,0,767.462,0.1,7194.4,0,-1,1.56,0.563595331,1
